Features: 16,,,,,,,,,,
Target Class: vips,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92,155
"Nu: 0.0001, Gamma: 0.0001",0,12,0,113,90.4,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,12,0,113,90.4,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,12,0,113,90.4,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,12,0,113,90.4,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,12,0,113,90.4,0,40,,,
"Nu: 0.0001, Gamma: 0.05",12,0,91,22,27.2,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",12,0,91,22,27.2,0,40,,,
"Nu: 0.0001, Gamma: 0.1",11,1,74,39,40,0,40,,,
"Nu: 0.0001, Gamma: 0.2",10,2,45,68,62.4,0,40,,,
"Nu: 0.0001, Gamma: 0.5",11,1,77,36,37.6,0,40,,,
"Nu: 0.0001, Gamma: 0.7",6,6,29,84,72,0,40,,,
"Nu: 0.0001, Gamma: 0.9",5,7,38,75,64,0,40,,,
"Nu: 0.0001, Gamma: 0.99",2,10,20,93,76,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,12,0,113,90.4,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,12,0,113,90.4,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,12,0,113,90.4,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,12,0,113,90.4,0,40,,,
"Nu: 0.0002, Gamma: 0.005",12,0,92,21,26.4,0,40,,,
"Nu: 0.0002, Gamma: 0.05",12,0,91,22,27.2,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",12,0,91,22,27.2,0,40,,,
"Nu: 0.0002, Gamma: 0.1",11,1,74,39,40,0,40,,,
"Nu: 0.0002, Gamma: 0.2",10,2,45,68,62.4,0,40,,,
"Nu: 0.0002, Gamma: 0.5",9,3,73,40,39.2,0,40,,,
"Nu: 0.0002, Gamma: 0.7",6,6,45,68,59.2,0,40,,,
"Nu: 0.0002, Gamma: 0.9",7,5,33,80,69.6,0,40,,,
"Nu: 0.0002, Gamma: 0.99",2,10,16,97,79.2,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,12,0,113,90.4,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,12,0,113,90.4,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,12,0,113,90.4,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,12,0,113,90.4,0,40,,,
"Nu: 0.0003, Gamma: 0.005",12,0,92,21,26.4,0,40,,,
"Nu: 0.0003, Gamma: 0.05",12,0,112,1,10.4,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",12,0,111,2,11.2,0,40,,,
"Nu: 0.0003, Gamma: 0.1",11,1,92,21,25.6,0,40,,,
"Nu: 0.0003, Gamma: 0.2",11,1,81,32,34.4,0,40,,,
"Nu: 0.0003, Gamma: 0.5",11,1,83,30,32.8,0,40,,,
"Nu: 0.0003, Gamma: 0.7",6,6,42,71,61.6,0,40,,,
"Nu: 0.0003, Gamma: 0.9",8,4,56,57,52,0,40,,,
"Nu: 0.0003, Gamma: 0.99",7,5,61,52,47.2,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,12,0,113,90.4,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,12,0,113,90.4,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,12,0,113,90.4,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,12,0,113,90.4,0,40,,,
"Nu: 0.0004, Gamma: 0.005",12,0,92,21,26.4,0,40,,,
"Nu: 0.0004, Gamma: 0.05",12,0,112,1,10.4,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",12,0,111,2,11.2,0,40,,,
"Nu: 0.0004, Gamma: 0.1",11,1,92,21,25.6,0,40,,,
"Nu: 0.0004, Gamma: 0.2",11,1,81,32,34.4,0,40,,,
"Nu: 0.0004, Gamma: 0.5",11,1,83,30,32.8,0,40,,,
"Nu: 0.0004, Gamma: 0.7",11,1,78,35,36.8,0,40,,,
"Nu: 0.0004, Gamma: 0.9",10,2,66,47,45.6,0,40,,,
"Nu: 0.0004, Gamma: 0.99",10,2,71,42,41.6,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,12,0,113,90.4,0,40,,,
"Nu: 0.005, Gamma: 0.0002",12,0,93,20,25.6,0,40,,,
"Nu: 0.005, Gamma: 0.0003",12,0,93,20,25.6,0,40,,,
"Nu: 0.005, Gamma: 0.0004",12,0,92,21,26.4,0,40,,,
"Nu: 0.005, Gamma: 0.005",12,0,112,1,10.4,0,40,,,
"Nu: 0.005, Gamma: 0.05",12,0,112,1,10.4,0,40,,,
"Nu: 0.005, Gamma: 0.0625",12,0,111,2,11.2,0,40,,,
"Nu: 0.005, Gamma: 0.1",12,0,93,20,25.6,0,40,,,
"Nu: 0.005, Gamma: 0.2",11,1,88,25,28.8,0,40,,,
"Nu: 0.005, Gamma: 0.5",12,0,82,31,34.4,0,40,,,
"Nu: 0.005, Gamma: 0.7",12,0,81,32,35.2,0,40,,,
"Nu: 0.005, Gamma: 0.9",12,0,75,38,40,0,40,,,
"Nu: 0.005, Gamma: 0.99",11,1,73,40,40.8,0,40,,,
"Nu: 0.05, Gamma: 0.0001",12,0,101,12,19.2,0,40,,,
"Nu: 0.05, Gamma: 0.0002",12,0,109,4,12.8,0,40,,,
"Nu: 0.05, Gamma: 0.0003",12,0,109,4,12.8,0,40,,,
"Nu: 0.05, Gamma: 0.0004",12,0,109,4,12.8,0,40,,,
"Nu: 0.05, Gamma: 0.005",12,0,110,3,12,0,40,,,
"Nu: 0.05, Gamma: 0.05",12,0,110,3,12,0,40,,,
"Nu: 0.05, Gamma: 0.0625",12,0,109,4,12.8,0,40,,,
"Nu: 0.05, Gamma: 0.1",12,0,91,22,27.2,0,40,,,
"Nu: 0.05, Gamma: 0.2",12,0,82,31,34.4,0,40,,,
"Nu: 0.05, Gamma: 0.5",12,0,82,31,34.4,0,40,,,
"Nu: 0.05, Gamma: 0.7",12,0,79,34,36.8,0,40,,,
"Nu: 0.05, Gamma: 0.9",12,0,74,39,40.8,0,40,,,
"Nu: 0.05, Gamma: 0.99",12,0,70,43,44,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",11,1,91,22,26.4,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",12,0,104,9,16.8,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",12,0,104,9,16.8,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",12,0,104,9,16.8,0,40,,,
"Nu: 0.0625, Gamma: 0.005",12,0,103,10,17.6,0,40,,,
"Nu: 0.0625, Gamma: 0.05",12,0,88,25,29.6,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",12,0,84,29,32.8,0,40,,,
"Nu: 0.0625, Gamma: 0.1",12,0,85,28,32,0,40,,,
"Nu: 0.0625, Gamma: 0.2",12,0,82,31,34.4,0,40,,,
"Nu: 0.0625, Gamma: 0.5",12,0,79,34,36.8,0,40,,,
"Nu: 0.0625, Gamma: 0.7",12,0,79,34,36.8,0,40,,,
"Nu: 0.0625, Gamma: 0.9",12,0,74,39,40.8,0,40,,,
"Nu: 0.0625, Gamma: 0.99",12,0,70,43,44,0,40,,,
"Nu: 0.1, Gamma: 0.0001",11,1,72,41,41.6,0,40,,,
"Nu: 0.1, Gamma: 0.0002",11,1,73,40,40.8,0,40,,,
"Nu: 0.1, Gamma: 0.0003",11,1,79,34,36,0,40,,,
"Nu: 0.1, Gamma: 0.0004",11,1,79,34,36,0,40,,,
"Nu: 0.1, Gamma: 0.005",12,0,80,33,36,0,40,,,
"Nu: 0.1, Gamma: 0.05",12,0,80,33,36,0,40,,,
"Nu: 0.1, Gamma: 0.0625",12,0,79,34,36.8,0,40,,,
"Nu: 0.1, Gamma: 0.1",12,0,77,36,38.4,0,40,,,
"Nu: 0.1, Gamma: 0.2",12,0,78,35,37.6,0,40,,,
"Nu: 0.1, Gamma: 0.5",12,0,75,38,40,0,40,,,
"Nu: 0.1, Gamma: 0.7",12,0,67,46,46.4,0,40,,,
"Nu: 0.1, Gamma: 0.9",11,1,65,48,47.2,0,40,,,
"Nu: 0.1, Gamma: 0.99",11,1,61,52,50.4,0,40,,,
"Nu: 0.2, Gamma: 0.0001",12,0,70,43,44,0,40,,,
"Nu: 0.2, Gamma: 0.0002",10,2,67,46,44.8,0,40,,,
"Nu: 0.2, Gamma: 0.0003",11,1,70,43,43.2,0,40,,,
"Nu: 0.2, Gamma: 0.0004",11,1,70,43,43.2,0,40,,,
"Nu: 0.2, Gamma: 0.005",11,1,70,43,43.2,0,40,,,
"Nu: 0.2, Gamma: 0.05",11,1,69,44,44,0,40,,,
"Nu: 0.2, Gamma: 0.0625",11,1,69,44,44,0,40,,,
"Nu: 0.2, Gamma: 0.1",11,1,68,45,44.8,0,40,,,
"Nu: 0.2, Gamma: 0.2",11,1,61,52,50.4,0,40,,,
"Nu: 0.2, Gamma: 0.5",12,0,61,52,51.2,0,40,,,
"Nu: 0.2, Gamma: 0.7",12,0,56,57,55.2,0,40,,,
"Nu: 0.2, Gamma: 0.9",11,1,48,65,60.8,0,40,,,
"Nu: 0.2, Gamma: 0.99",11,1,44,69,64,0,40,,,
"Nu: 0.5, Gamma: 0.0001",6,6,46,67,58.4,0,40,,,
"Nu: 0.5, Gamma: 0.0002",6,6,46,67,58.4,0,40,,,
"Nu: 0.5, Gamma: 0.0003",6,6,46,67,58.4,0,40,,,
"Nu: 0.5, Gamma: 0.0004",6,6,46,67,58.4,0,40,,,
"Nu: 0.5, Gamma: 0.005",6,6,46,67,58.4,0,40,,,
"Nu: 0.5, Gamma: 0.05",6,6,47,66,57.6,0,40,,,
"Nu: 0.5, Gamma: 0.0625",6,6,46,67,58.4,0,40,,,
"Nu: 0.5, Gamma: 0.1",6,6,43,70,60.8,0,40,,,
"Nu: 0.5, Gamma: 0.2",6,6,30,83,71.2,0,40,,,
"Nu: 0.5, Gamma: 0.5",9,3,35,78,69.6,0,40,,,
"Nu: 0.5, Gamma: 0.7",8,4,21,92,80,0,40,,,
"Nu: 0.5, Gamma: 0.9",8,4,12,101,87.2,0,40,,,
"Nu: 0.5, Gamma: 0.99",8,4,8,105,90.4,0,40,,,
"Nu: 0.7, Gamma: 0.0001",5,7,30,83,70.4,0,40,,,
"Nu: 0.7, Gamma: 0.0002",5,7,29,84,71.2,0,40,,,
"Nu: 0.7, Gamma: 0.0003",5,7,29,84,71.2,0,40,,,
"Nu: 0.7, Gamma: 0.0004",5,7,29,84,71.2,0,40,,,
"Nu: 0.7, Gamma: 0.005",5,7,29,84,71.2,0,40,,,
"Nu: 0.7, Gamma: 0.05",5,7,29,84,71.2,0,40,,,
"Nu: 0.7, Gamma: 0.0625",5,7,29,84,71.2,0,40,,,
"Nu: 0.7, Gamma: 0.1",4,8,28,85,71.2,0,40,,,
"Nu: 0.7, Gamma: 0.2",4,8,25,88,73.6,0,40,,,
"Nu: 0.7, Gamma: 0.5",4,8,6,107,88.8,0,40,,,
"Nu: 0.7, Gamma: 0.7",5,7,8,105,88,0,40,,,
"Nu: 0.7, Gamma: 0.9",4,8,4,109,90.4,0,40,,,
"Nu: 0.7, Gamma: 0.99",3,9,3,110,90.4,0,40,,,
"Nu: 0.9, Gamma: 0.0001",0,12,14,99,79.2,0,40,,,
"Nu: 0.9, Gamma: 0.0002",0,12,12,101,80.8,0,40,,,
"Nu: 0.9, Gamma: 0.0003",0,12,12,101,80.8,0,40,,,
"Nu: 0.9, Gamma: 0.0004",0,12,12,101,80.8,0,40,,,
"Nu: 0.9, Gamma: 0.005",0,12,12,101,80.8,0,40,,,
"Nu: 0.9, Gamma: 0.05",1,11,13,100,80.8,0,40,,,
"Nu: 0.9, Gamma: 0.0625",1,11,13,100,80.8,0,40,,,
"Nu: 0.9, Gamma: 0.1",1,11,13,100,80.8,0,40,,,
"Nu: 0.9, Gamma: 0.2",1,11,12,101,81.6,0,40,,,
"Nu: 0.9, Gamma: 0.5",2,10,0,113,92,0,40,,,
"Nu: 0.9, Gamma: 0.7",1,11,0,113,91.2,0,40,,,
"Nu: 0.9, Gamma: 0.9",1,11,0,113,91.2,0,40,,,
"Nu: 0.9, Gamma: 0.99",0,12,0,113,90.4,0,40,,,
"Nu: 0.99, Gamma: 0.0001",0,12,5,108,86.4,0,40,,,
"Nu: 0.99, Gamma: 0.0002",0,12,5,108,86.4,0,40,,,
"Nu: 0.99, Gamma: 0.0003",0,12,5,108,86.4,0,40,,,
"Nu: 0.99, Gamma: 0.0004",0,12,0,113,90.4,0,40,,,
"Nu: 0.99, Gamma: 0.005",0,12,0,113,90.4,0,40,,,
"Nu: 0.99, Gamma: 0.05",0,12,0,113,90.4,0,40,,,
"Nu: 0.99, Gamma: 0.0625",0,12,1,112,89.6,0,40,,,
"Nu: 0.99, Gamma: 0.1",0,12,1,112,89.6,0,40,,,
"Nu: 0.99, Gamma: 0.2",0,12,0,113,90.4,0,40,,,
"Nu: 0.99, Gamma: 0.5",0,12,0,113,90.4,0,40,,,
"Nu: 0.99, Gamma: 0.7",0,12,0,113,90.4,0,40,,,
"Nu: 0.99, Gamma: 0.9",0,12,0,113,90.4,0,40,,,
"Nu: 0.99, Gamma: 0.99",0,12,0,113,90.4,0,40,,,
,,,,,,,,,,
Target Class: vips_IndirectBP,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,,
"Nu: 0.0001, Gamma: 0.0001",0,12,0,118,90.76923077,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,12,0,118,90.76923077,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,12,0,118,90.76923077,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,12,0,118,90.76923077,0,40,,,
