From router 0 to router 0,From router 0 to router 1,From router 0 to router 2,From router 0 to router 3,From router 0 to router 4,From router 0 to router 5,From router 0 to router 6,From router 0 to router 7,From router 0 to router 8,From router 0 to router 9,From router 0 to router 10,From router 0 to router 11,From router 0 to router 12,From router 0 to router 13,From router 0 to router 14,From router 0 to router 15,From router 1 to router 0,From router 1 to router 1,From router 1 to router 2,From router 1 to router 3,From router 1 to router 4,From router 1 to router 5,From router 1 to router 6,From router 1 to router 7,From router 1 to router 8,From router 1 to router 9,From router 1 to router 10,From router 1 to router 11,From router 1 to router 12,From router 1 to router 13,From router 1 to router 14,From router 1 to router 15,From router 2 to router 0,From router 2 to router 1,From router 2 to router 2,From router 2 to router 3,From router 2 to router 4,From router 2 to router 5,From router 2 to router 6,From router 2 to router 7,From router 2 to router 8,From router 2 to router 9,From router 2 to router 10,From router 2 to router 11,From router 2 to router 12,From router 2 to router 13,From router 2 to router 14,From router 2 to router 15,From router 3 to router 0,From router 3 to router 1,From router 3 to router 2,From router 3 to router 3,From router 3 to router 4,From router 3 to router 5,From router 3 to router 6,From router 3 to router 7,From router 3 to router 8,From router 3 to router 9,From router 3 to router 10,From router 3 to router 11,From router 3 to router 12,From router 3 to router 13,From router 3 to router 14,From router 3 to router 15,From router 4 to router 0,From router 4 to router 1,From router 4 to router 2,From router 4 to router 3,From router 4 to router 4,From router 4 to router 5,From router 4 to router 6,From router 4 to router 7,From router 4 to router 8,From router 4 to router 9,From router 4 to router 10,From router 4 to router 11,From router 4 to router 12,From router 4 to router 13,From router 4 to router 14,From router 4 to router 15,From router 5 to router 0,From router 5 to router 1,From router 5 to router 2,From router 5 to router 3,From router 5 to router 4,From router 5 to router 5,From router 5 to router 6,From router 5 to router 7,From router 5 to router 8,From router 5 to router 9,From router 5 to router 10,From router 5 to router 11,From router 5 to router 12,From router 5 to router 13,From router 5 to router 14,From router 5 to router 15,From router 6 to router 0,From router 6 to router 1,From router 6 to router 2,From router 6 to router 3,From router 6 to router 4,From router 6 to router 5,From router 6 to router 6,From router 6 to router 7,From router 6 to router 8,From router 6 to router 9,From router 6 to router 10,From router 6 to router 11,From router 6 to router 12,From router 6 to router 13,From router 6 to router 14,From router 6 to router 15,From router 7 to router 0,From router 7 to router 1,From router 7 to router 2,From router 7 to router 3,From router 7 to router 4,From router 7 to router 5,From router 7 to router 6,From router 7 to router 7,From router 7 to router 8,From router 7 to router 9,From router 7 to router 10,From router 7 to router 11,From router 7 to router 12,From router 7 to router 13,From router 7 to router 14,From router 7 to router 15,From router 8 to router 0,From router 8 to router 1,From router 8 to router 2,From router 8 to router 3,From router 8 to router 4,From router 8 to router 5,From router 8 to router 6,From router 8 to router 7,From router 8 to router 8,From router 8 to router 9,From router 8 to router 10,From router 8 to router 11,From router 8 to router 12,From router 8 to router 13,From router 8 to router 14,From router 8 to router 15,From router 9 to router 0,From router 9 to router 1,From router 9 to router 2,From router 9 to router 3,From router 9 to router 4,From router 9 to router 5,From router 9 to router 6,From router 9 to router 7,From router 9 to router 8,From router 9 to router 9,From router 9 to router 10,From router 9 to router 11,From router 9 to router 12,From router 9 to router 13,From router 9 to router 14,From router 9 to router 15,From router 10 to router 0,From router 10 to router 1,From router 10 to router 2,From router 10 to router 3,From router 10 to router 4,From router 10 to router 5,From router 10 to router 6,From router 10 to router 7,From router 10 to router 8,From router 10 to router 9,From router 10 to router 10,From router 10 to router 11,From router 10 to router 12,From router 10 to router 13,From router 10 to router 14,From router 10 to router 15,From router 11 to router 0,From router 11 to router 1,From router 11 to router 2,From router 11 to router 3,From router 11 to router 4,From router 11 to router 5,From router 11 to router 6,From router 11 to router 7,From router 11 to router 8,From router 11 to router 9,From router 11 to router 10,From router 11 to router 11,From router 11 to router 12,From router 11 to router 13,From router 11 to router 14,From router 11 to router 15,From router 12 to router 0,From router 12 to router 1,From router 12 to router 2,From router 12 to router 3,From router 12 to router 4,From router 12 to router 5,From router 12 to router 6,From router 12 to router 7,From router 12 to router 8,From router 12 to router 9,From router 12 to router 10,From router 12 to router 11,From router 12 to router 12,From router 12 to router 13,From router 12 to router 14,From router 12 to router 15,From router 13 to router 0,From router 13 to router 1,From router 13 to router 2,From router 13 to router 3,From router 13 to router 4,From router 13 to router 5,From router 13 to router 6,From router 13 to router 7,From router 13 to router 8,From router 13 to router 9,From router 13 to router 10,From router 13 to router 11,From router 13 to router 12,From router 13 to router 13,From router 13 to router 14,From router 13 to router 15,From router 14 to router 0,From router 14 to router 1,From router 14 to router 2,From router 14 to router 3,From router 14 to router 4,From router 14 to router 5,From router 14 to router 6,From router 14 to router 7,From router 14 to router 8,From router 14 to router 9,From router 14 to router 10,From router 14 to router 11,From router 14 to router 12,From router 14 to router 13,From router 14 to router 14,From router 14 to router 15,From router 15 to router 0,From router 15 to router 1,From router 15 to router 2,From router 15 to router 3,From router 15 to router 4,From router 15 to router 5,From router 15 to router 6,From router 15 to router 7,From router 15 to router 8,From router 15 to router 9,From router 15 to router 10,From router 15 to router 11,From router 15 to router 12,From router 15 to router 13,From router 15 to router 14,From router 15 to router 15,Applications (Label Classes)
6934,2115,2019,2061,2086,2108,2039,2059,2078,2045,1988,4531,2021,2062,5384,2059,3031,15,19,26,24,34,16,13,15,16,16,1844,9,34,1705,11,2906,5,2,10,21,22,8,6,4,4,7,1688,4,16,1657,6,2914,9,4,10,28,23,9,6,6,10,5,1681,6,19,1645,12,2943,10,10,43,20,20,6,4,4,7,7,1761,8,18,1805,10,2893,8,9,14,23,20,9,10,11,12,16,1817,13,24,1952,14,2856,48,38,45,52,61,33,35,43,35,32,1708,47,52,1665,36,2904,31,25,32,35,38,28,26,20,37,28,1711,28,41,1597,28,2801,9,8,26,17,34,11,17,8,12,10,1696,6,24,1531,10,2892,28,29,40,38,44,16,23,23,28,31,1642,31,35,1546,25,2741,10,7,18,22,24,11,13,10,10,7,1666,5,23,1430,10,2860,22,16,26,35,33,19,24,9,20,19,1608,20,24,1861,31,2772,5,2,19,18,18,4,5,5,7,4,1663,4,14,1523,8,2855,15,9,18,31,27,20,9,14,16,9,1761,11,19,1659,15,3191,13,17,23,28,23,17,17,19,16,17,1840,16,33,1758,25,3090,8,4,12,17,17,5,7,6,7,7,1849,6,17,1951,7,x264_IndirectBP
54,6,1,3,10,2,3,3,3,4,3,3,2,9,11,12,7,0,2,1,2,1,1,1,1,1,1,1,1,1,2,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,8,1,0,0,1,2,1,1,1,1,1,1,1,1,2,2,4,0,0,0,2,0,0,0,0,0,0,0,0,1,1,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,1,2,8,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,9,0,1,1,2,1,3,2,2,2,2,2,2,2,3,4,8,0,0,0,1,0,0,2,1,1,1,1,2,1,3,2,x264_IndirectBP
58,6,6,4,7,4,3,3,2,4,7,3,3,34,10,11,7,0,1,1,1,1,1,1,1,1,1,1,1,2,3,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,1,1,0,0,0,0,0,0,0,0,0,0,2,1,0,19,0,1,1,1,0,1,1,1,1,1,1,2,2,2,1,9,0,3,2,2,2,2,2,2,2,2,2,2,3,3,2,7,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,x264_IndirectBP
64,7,6,11,11,6,30,5,6,33,6,29,4,8,8,15,7,0,1,1,1,1,6,1,1,4,1,4,2,1,1,2,5,0,1,0,0,0,9,0,0,5,0,5,1,0,1,1,8,0,0,0,0,0,6,0,0,4,0,4,1,0,0,1,8,0,0,1,0,0,22,0,0,20,0,20,1,0,1,2,5,0,0,0,0,0,5,0,0,4,0,3,1,0,0,1,5,0,0,0,0,0,2,2,2,10,3,7,2,2,4,3,5,0,0,0,0,0,5,0,0,5,0,3,2,0,0,2,6,0,0,0,0,0,7,0,0,8,0,5,2,0,0,2,7,0,0,1,1,0,5,0,0,1,2,10,4,2,3,4,7,0,0,0,0,0,7,0,0,4,0,8,2,0,0,3,5,0,0,1,1,0,5,0,0,3,0,0,3,2,2,3,5,0,0,0,0,0,8,1,2,20,2,20,2,1,1,2,7,1,0,0,1,0,5,0,0,3,0,3,1,0,0,1,9,2,1,1,1,1,41,1,1,38,1,38,2,1,1,2,7,0,0,0,2,0,8,1,1,19,2,20,2,1,1,2,x264_IndirectBP
54,7,4,3,8,4,7,3,2,8,6,7,2,9,9,12,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,2,2,2,2,2,2,2,3,2,0,0,0,0,1,5,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,8,0,1,1,2,1,2,1,2,2,1,2,1,1,1,1,8,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,x264_IndirectBP
71,6,5,4,8,5,3,5,3,5,5,4,4,33,11,16,8,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,20,0,1,1,1,0,1,1,1,1,1,1,2,2,1,2,11,0,1,1,1,1,1,1,1,1,2,1,1,2,3,1,9,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,x264_IndirectBP
50,8,5,4,11,5,5,3,2,3,5,2,2,8,10,15,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,1,1,1,2,1,1,1,1,1,1,2,1,1,4,7,0,2,1,1,1,1,1,1,1,1,1,1,1,3,2,x264_IndirectBP
67,6,4,4,7,4,3,4,2,4,5,3,3,8,9,15,7,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,1,1,1,1,1,2,2,1,1,1,1,1,1,1,9,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,x264_IndirectBP
55,7,5,3,15,5,4,3,2,3,5,2,2,33,8,10,6,0,1,1,2,1,1,1,1,1,1,1,1,2,1,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,10,0,2,1,2,1,1,1,1,1,1,1,1,2,2,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,18,0,1,1,2,0,1,1,1,1,1,1,2,2,2,1,8,0,2,1,3,1,1,1,1,1,1,1,1,3,1,1,5,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,x264_IndirectBP
62,6,4,4,8,4,3,4,2,3,6,3,4,8,12,16,7,0,1,1,2,1,1,1,1,1,1,1,1,1,2,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,0,0,0,0,1,0,1,0,0,0,0,0,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,1,3,2,2,3,2,2,2,2,2,2,2,3,2,9,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,x264_IndirectBP
