Features: 16,,,,,,,,,,
Target Class: x264,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.4545125,303
"Nu: 0.0001, Gamma: 0.0001",0,502,0,5017,90.9041493,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,502,0,5017,90.9041493,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",273,229,2185,2832,56.26019206,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",270,232,2175,2842,56.38702664,0,40,,,
"Nu: 0.0001, Gamma: 0.005",502,0,5015,2,9.132089147,0,40,,,
"Nu: 0.0001, Gamma: 0.05",502,0,5014,3,9.150208371,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",502,0,5014,3,9.150208371,0,40,,,
"Nu: 0.0001, Gamma: 0.1",502,0,5015,2,9.132089147,0,40,,,
"Nu: 0.0001, Gamma: 0.2",500,2,5008,9,9.222685269,0,40,,,
"Nu: 0.0001, Gamma: 0.5",377,125,2940,2077,44.46457692,0,40,,,
"Nu: 0.0001, Gamma: 0.7",499,3,5001,16,9.331400616,0,40,,,
"Nu: 0.0001, Gamma: 0.9",498,4,5000,17,9.331400616,0,40,,,
"Nu: 0.0001, Gamma: 0.99",348,154,2452,2565,52.78130096,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,502,0,5017,90.9041493,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",270,232,2178,2839,56.33266896,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",273,229,2185,2832,56.26019206,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",270,232,2175,2842,56.38702664,0,40,,,
"Nu: 0.0002, Gamma: 0.005",502,0,5010,7,9.222685269,0,40,,,
"Nu: 0.0002, Gamma: 0.05",502,0,5014,3,9.150208371,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",502,0,5014,3,9.150208371,0,40,,,
"Nu: 0.0002, Gamma: 0.1",367,135,3077,1940,41.80105092,0,40,,,
"Nu: 0.0002, Gamma: 0.2",458,44,4222,795,22.70338829,0,40,,,
"Nu: 0.0002, Gamma: 0.5",330,172,2518,2499,51.2592861,0,40,,,
"Nu: 0.0002, Gamma: 0.7",498,4,5000,17,9.331400616,0,40,,,
"Nu: 0.0002, Gamma: 0.9",337,165,2424,2593,53.08932778,0,40,,,
"Nu: 0.0002, Gamma: 0.99",153,349,1228,3789,71.42598297,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",312,190,2447,2570,52.219605,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",316,186,2477,2540,51.74850516,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",318,184,2484,2533,51.65790904,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",314,188,2462,2555,51.98405508,0,40,,,
"Nu: 0.0003, Gamma: 0.005",502,0,4951,66,10.29171951,0,40,,,
"Nu: 0.0003, Gamma: 0.05",342,160,2856,2161,45.35241892,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",355,147,2947,2070,43.93911941,0,40,,,
"Nu: 0.0003, Gamma: 0.1",376,126,3155,1862,40.55082442,0,40,,,
"Nu: 0.0003, Gamma: 0.2",500,2,5007,10,9.240804494,0,40,,,
"Nu: 0.0003, Gamma: 0.5",498,4,4921,96,10.76281935,0,40,,,
"Nu: 0.0003, Gamma: 0.7",498,4,4994,23,9.440115963,0,40,,,
"Nu: 0.0003, Gamma: 0.9",493,9,4649,368,15.60065229,0,40,,,
"Nu: 0.0003, Gamma: 0.99",494,8,4707,310,14.5678565,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",312,190,2448,2569,52.20148578,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",316,186,2479,2538,51.71226671,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",318,184,2485,2532,51.63978982,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",314,188,2462,2555,51.98405508,0,40,,,
"Nu: 0.0004, Gamma: 0.005",502,0,4951,66,10.29171951,0,40,,,
"Nu: 0.0004, Gamma: 0.05",342,160,2857,2160,45.33429969,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",350,152,2915,2102,44.42833847,0,40,,,
"Nu: 0.0004, Gamma: 0.1",376,126,3163,1854,40.40587063,0,40,,,
"Nu: 0.0004, Gamma: 0.2",455,47,4190,827,23.22884581,0,40,,,
"Nu: 0.0004, Gamma: 0.5",498,4,5000,17,9.331400616,0,40,,,
"Nu: 0.0004, Gamma: 0.7",498,4,4995,22,9.421996739,0,40,,,
"Nu: 0.0004, Gamma: 0.9",497,5,5000,17,9.313281392,0,40,,,
"Nu: 0.0004, Gamma: 0.99",185,317,1526,3491,66.60626925,0,40,,,
"Nu: 0.005, Gamma: 0.0001",500,2,5006,11,9.258923718,0,40,,,
"Nu: 0.005, Gamma: 0.0002",263,239,2100,2917,57.6191339,0,40,,,
"Nu: 0.005, Gamma: 0.0003",259,243,2098,2919,57.58289545,0,40,,,
"Nu: 0.005, Gamma: 0.0004",261,241,2100,2917,57.58289545,0,40,,,
"Nu: 0.005, Gamma: 0.005",261,241,2106,2911,57.47418011,0,40,,,
"Nu: 0.005, Gamma: 0.05",493,9,4801,216,12.84653017,0,40,,,
"Nu: 0.005, Gamma: 0.0625",493,9,4800,217,12.86464939,0,40,,,
"Nu: 0.005, Gamma: 0.1",493,9,4752,265,13.73437217,0,40,,,
"Nu: 0.005, Gamma: 0.2",493,9,4736,281,14.02427976,0,40,,,
"Nu: 0.005, Gamma: 0.5",494,8,4504,513,18.24605907,0,40,,,
"Nu: 0.005, Gamma: 0.7",494,8,4369,648,20.69215438,0,40,,,
"Nu: 0.005, Gamma: 0.9",495,7,4253,764,22.81210364,0,40,,,
"Nu: 0.005, Gamma: 0.99",495,7,4187,830,24.00797246,0,40,,,
"Nu: 0.05, Gamma: 0.0001",248,254,1843,3174,62.00398623,0,40,,,
"Nu: 0.05, Gamma: 0.0002",276,226,1992,3025,59.81156007,0,40,,,
"Nu: 0.05, Gamma: 0.0003",274,228,1968,3049,60.210183,0,40,,,
"Nu: 0.05, Gamma: 0.0004",275,227,1978,3039,60.04710998,0,40,,,
"Nu: 0.05, Gamma: 0.005",468,34,4078,939,25.49374887,0,40,,,
"Nu: 0.05, Gamma: 0.05",465,37,3944,1073,27.86736728,0,40,,,
"Nu: 0.05, Gamma: 0.0625",465,37,3919,1098,28.32034789,0,40,,,
"Nu: 0.05, Gamma: 0.1",465,37,3821,1196,30.09603189,0,40,,,
"Nu: 0.05, Gamma: 0.2",464,38,3557,1460,34.86138793,0,40,,,
"Nu: 0.05, Gamma: 0.5",464,38,2643,2374,51.42235912,0,40,,,
"Nu: 0.05, Gamma: 0.7",467,35,2859,2158,47.56296431,0,40,,,
"Nu: 0.05, Gamma: 0.9",466,36,3012,2005,44.77260373,0,40,,,
"Nu: 0.05, Gamma: 0.99",467,35,3081,1936,43.54049647,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",416,86,3132,1885,41.69233557,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",426,76,3349,1668,37.9416561,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",426,76,3346,1671,37.99601377,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",426,76,3340,1677,38.10472912,0,40,,,
"Nu: 0.0625, Gamma: 0.005",460,42,3922,1095,28.17539409,0,40,,,
"Nu: 0.0625, Gamma: 0.05",456,46,3734,1283,31.5093314,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",456,46,3704,1313,32.05290814,0,40,,,
"Nu: 0.0625, Gamma: 0.1",445,57,3347,1670,38.32215981,0,40,,,
"Nu: 0.0625, Gamma: 0.2",444,58,2865,2152,47.03750679,0,40,,,
"Nu: 0.0625, Gamma: 0.5",457,45,2700,2317,50.26272876,0,40,,,
"Nu: 0.0625, Gamma: 0.7",461,41,2909,2108,46.54828773,0,40,,,
"Nu: 0.0625, Gamma: 0.9",458,44,3153,1864,42.07283928,0,40,,,
"Nu: 0.0625, Gamma: 0.99",460,42,3255,1762,40.26091683,0,40,,,
"Nu: 0.1, Gamma: 0.0001",52,450,213,4804,87.98695416,0,40,,,
"Nu: 0.1, Gamma: 0.0002",94,408,615,4402,81.46403334,0,40,,,
"Nu: 0.1, Gamma: 0.0003",76,426,434,4583,84.41746693,0,40,,,
"Nu: 0.1, Gamma: 0.0004",94,408,545,4472,82.73237905,0,40,,,
"Nu: 0.1, Gamma: 0.005",95,407,578,4439,82.15256387,0,40,,,
"Nu: 0.1, Gamma: 0.05",447,55,3262,1755,39.89853234,0,40,,,
"Nu: 0.1, Gamma: 0.0625",397,105,2405,2612,54.52074651,0,40,,,
"Nu: 0.1, Gamma: 0.1",445,57,2910,2107,46.24026092,0,40,,,
"Nu: 0.1, Gamma: 0.2",440,62,2408,2609,55.24551549,0,40,,,
"Nu: 0.1, Gamma: 0.5",441,61,2783,2234,48.46892553,0,40,,,
"Nu: 0.1, Gamma: 0.7",438,64,3050,1967,43.57673492,0,40,,,
"Nu: 0.1, Gamma: 0.9",443,59,3530,1487,34.97010328,0,40,,,
"Nu: 0.1, Gamma: 0.99",443,59,3631,1386,33.14006161,0,40,,,
"Nu: 0.2, Gamma: 0.0001",75,427,361,4656,85.7220511,0,40,,,
