Features: 16,,,,,,,,,Max Acc,,Max TN,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.60273973,49,24,223
"Nu: 5e-05, Gamma: 1e-05",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 5e-05, Gamma: 2e-05",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 5e-05, Gamma: 3e-05",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 5e-05, Gamma: 4e-05",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 5e-05, Gamma: 5e-05",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 5e-05, Gamma: 6e-05",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 5e-05, Gamma: 7e-05",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 5e-05, Gamma: 8e-05",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 5e-05, Gamma: 9e-05",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 5e-05, Gamma: 0.0001",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 5e-05, Gamma: 0.0002",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 5e-05, Gamma: 0.0003",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 5e-05, Gamma: 0.0004",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 5e-05, Gamma: 0.005",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 5e-05, Gamma: 0.05",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 5e-05, Gamma: 0.0625",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 5e-05, Gamma: 0.1",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 5e-05, Gamma: 0.2",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 5e-05, Gamma: 0.5",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 5e-05, Gamma: 0.7",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 5e-05, Gamma: 0.9",336,29,0,0,92.05479452,0,40,,,,,
"Nu: 5e-05, Gamma: 0.99",336,29,0,0,92.05479452,0,40,,,,,
