From router 0 to router 0,From router 0 to router 1,From router 0 to router 2,From router 0 to router 3,From router 0 to router 4,From router 0 to router 5,From router 0 to router 6,From router 0 to router 7,From router 0 to router 8,From router 0 to router 9,From router 0 to router 10,From router 0 to router 11,From router 0 to router 12,From router 0 to router 13,From router 0 to router 14,From router 0 to router 15,From router 1 to router 0,From router 1 to router 1,From router 1 to router 2,From router 1 to router 3,From router 1 to router 4,From router 1 to router 5,From router 1 to router 6,From router 1 to router 7,From router 1 to router 8,From router 1 to router 9,From router 1 to router 10,From router 1 to router 11,From router 1 to router 12,From router 1 to router 13,From router 1 to router 14,From router 1 to router 15,From router 2 to router 0,From router 2 to router 1,From router 2 to router 2,From router 2 to router 3,From router 2 to router 4,From router 2 to router 5,From router 2 to router 6,From router 2 to router 7,From router 2 to router 8,From router 2 to router 9,From router 2 to router 10,From router 2 to router 11,From router 2 to router 12,From router 2 to router 13,From router 2 to router 14,From router 2 to router 15,From router 3 to router 0,From router 3 to router 1,From router 3 to router 2,From router 3 to router 3,From router 3 to router 4,From router 3 to router 5,From router 3 to router 6,From router 3 to router 7,From router 3 to router 8,From router 3 to router 9,From router 3 to router 10,From router 3 to router 11,From router 3 to router 12,From router 3 to router 13,From router 3 to router 14,From router 3 to router 15,From router 4 to router 0,From router 4 to router 1,From router 4 to router 2,From router 4 to router 3,From router 4 to router 4,From router 4 to router 5,From router 4 to router 6,From router 4 to router 7,From router 4 to router 8,From router 4 to router 9,From router 4 to router 10,From router 4 to router 11,From router 4 to router 12,From router 4 to router 13,From router 4 to router 14,From router 4 to router 15,From router 5 to router 0,From router 5 to router 1,From router 5 to router 2,From router 5 to router 3,From router 5 to router 4,From router 5 to router 5,From router 5 to router 6,From router 5 to router 7,From router 5 to router 8,From router 5 to router 9,From router 5 to router 10,From router 5 to router 11,From router 5 to router 12,From router 5 to router 13,From router 5 to router 14,From router 5 to router 15,From router 6 to router 0,From router 6 to router 1,From router 6 to router 2,From router 6 to router 3,From router 6 to router 4,From router 6 to router 5,From router 6 to router 6,From router 6 to router 7,From router 6 to router 8,From router 6 to router 9,From router 6 to router 10,From router 6 to router 11,From router 6 to router 12,From router 6 to router 13,From router 6 to router 14,From router 6 to router 15,From router 7 to router 0,From router 7 to router 1,From router 7 to router 2,From router 7 to router 3,From router 7 to router 4,From router 7 to router 5,From router 7 to router 6,From router 7 to router 7,From router 7 to router 8,From router 7 to router 9,From router 7 to router 10,From router 7 to router 11,From router 7 to router 12,From router 7 to router 13,From router 7 to router 14,From router 7 to router 15,From router 8 to router 0,From router 8 to router 1,From router 8 to router 2,From router 8 to router 3,From router 8 to router 4,From router 8 to router 5,From router 8 to router 6,From router 8 to router 7,From router 8 to router 8,From router 8 to router 9,From router 8 to router 10,From router 8 to router 11,From router 8 to router 12,From router 8 to router 13,From router 8 to router 14,From router 8 to router 15,From router 9 to router 0,From router 9 to router 1,From router 9 to router 2,From router 9 to router 3,From router 9 to router 4,From router 9 to router 5,From router 9 to router 6,From router 9 to router 7,From router 9 to router 8,From router 9 to router 9,From router 9 to router 10,From router 9 to router 11,From router 9 to router 12,From router 9 to router 13,From router 9 to router 14,From router 9 to router 15,From router 10 to router 0,From router 10 to router 1,From router 10 to router 2,From router 10 to router 3,From router 10 to router 4,From router 10 to router 5,From router 10 to router 6,From router 10 to router 7,From router 10 to router 8,From router 10 to router 9,From router 10 to router 10,From router 10 to router 11,From router 10 to router 12,From router 10 to router 13,From router 10 to router 14,From router 10 to router 15,From router 11 to router 0,From router 11 to router 1,From router 11 to router 2,From router 11 to router 3,From router 11 to router 4,From router 11 to router 5,From router 11 to router 6,From router 11 to router 7,From router 11 to router 8,From router 11 to router 9,From router 11 to router 10,From router 11 to router 11,From router 11 to router 12,From router 11 to router 13,From router 11 to router 14,From router 11 to router 15,From router 12 to router 0,From router 12 to router 1,From router 12 to router 2,From router 12 to router 3,From router 12 to router 4,From router 12 to router 5,From router 12 to router 6,From router 12 to router 7,From router 12 to router 8,From router 12 to router 9,From router 12 to router 10,From router 12 to router 11,From router 12 to router 12,From router 12 to router 13,From router 12 to router 14,From router 12 to router 15,From router 13 to router 0,From router 13 to router 1,From router 13 to router 2,From router 13 to router 3,From router 13 to router 4,From router 13 to router 5,From router 13 to router 6,From router 13 to router 7,From router 13 to router 8,From router 13 to router 9,From router 13 to router 10,From router 13 to router 11,From router 13 to router 12,From router 13 to router 13,From router 13 to router 14,From router 13 to router 15,From router 14 to router 0,From router 14 to router 1,From router 14 to router 2,From router 14 to router 3,From router 14 to router 4,From router 14 to router 5,From router 14 to router 6,From router 14 to router 7,From router 14 to router 8,From router 14 to router 9,From router 14 to router 10,From router 14 to router 11,From router 14 to router 12,From router 14 to router 13,From router 14 to router 14,From router 14 to router 15,From router 15 to router 0,From router 15 to router 1,From router 15 to router 2,From router 15 to router 3,From router 15 to router 4,From router 15 to router 5,From router 15 to router 6,From router 15 to router 7,From router 15 to router 8,From router 15 to router 9,From router 15 to router 10,From router 15 to router 11,From router 15 to router 12,From router 15 to router 13,From router 15 to router 14,From router 15 to router 15,Applications (Label Classes)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blackscholes
62.0,14.0,5.0,9.0,32.0,3.0,4.0,7.0,8.0,4.0,22.0,10.0,3.0,14.0,16.0,17.0,7.0,0.0,3.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,3.0,2.0,1.0,1.0,1.0,3.0,4.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,5.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,1.0,1.0,2.0,2.0,11.0,0.0,0.0,1.0,5.0,2.0,1.0,0.0,1.0,0.0,3.0,32.0,1.0,0.0,2.0,1.0,4.0,1.0,0.0,1.0,4.0,0.0,2.0,1.0,0.0,0.0,1.0,16.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,1.0,1.0,7.0,1.0,1.0,1.0,2.0,5.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,2.0,1.0,8.0,0.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,1.0,13.0,1.0,1.0,1.0,6.0,1.0,1.0,0.0,2.0,2.0,4.0,13.0,4.0,2.0,2.0,3.0,6.0,0.0,0.0,2.0,19.0,7.0,1.0,3.0,0.0,0.0,3.0,6.0,2.0,0.0,1.0,1.0,5.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,2.0,14.0,0.0,3.0,0.0,2.0,8.0,0.0,0.0,0.0,7.0,1.0,0.0,1.0,1.0,0.0,2.0,12.0,1.0,0.0,2.0,1.0,13.0,0.0,1.0,1.0,8.0,1.0,2.0,2.0,2.0,1.0,3.0,8.0,1.0,1.0,4.0,5.0,12.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,1.0,0.0,2.0,2.0,blackscholes
56.0,10.0,2.0,3.0,10.0,2.0,3.0,5.0,9.0,5.0,4.0,4.0,2.0,10.0,13.0,16.0,7.0,0.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,2.0,5.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,1.0,2.0,2.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,1.0,1.0,1.0,3.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,12.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,blackscholes
226.0,183.0,21.0,15.0,24.0,20.0,13.0,13.0,13.0,16.0,11.0,7.0,5.0,13.0,20.0,24.0,12.0,106.0,2.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,5.0,1.0,7.0,152.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,148.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,124.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,1.0,10.0,175.0,1.0,1.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0,8.0,125.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,6.0,115.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,143.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,95.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,93.0,1.0,1.0,3.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,5.0,72.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,83.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,94.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14.0,89.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,1.0,11.0,90.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,blackscholes
131.0,102.0,5.0,3.0,31.0,23.0,3.0,5.0,6.0,6.0,4.0,2.0,6.0,18.0,20.0,23.0,11.0,55.0,1.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,6.0,67.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,75.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,21.0,62.0,1.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,15.0,83.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,1.0,1.0,0.0,7.0,61.0,2.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,6.0,68.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,81.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,63.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,8.0,46.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,32.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,41.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,42.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,1.0,12.0,39.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,11.0,53.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,blackscholes
2400.0,882.0,285.0,286.0,302.0,297.0,459.0,206.0,309.0,406.0,219.0,338.0,218.0,222.0,189.0,274.0,135.0,310.0,83.0,109.0,97.0,90.0,209.0,56.0,69.0,239.0,46.0,169.0,70.0,54.0,21.0,92.0,346.0,523.0,59.0,138.0,54.0,416.0,158.0,56.0,54.0,148.0,34.0,124.0,377.0,47.0,9.0,317.0,86.0,428.0,198.0,65.0,69.0,139.0,195.0,68.0,72.0,174.0,44.0,161.0,57.0,51.0,4.0,54.0,110.0,468.0,61.0,73.0,55.0,63.0,219.0,65.0,66.0,191.0,105.0,196.0,51.0,49.0,4.0,70.0,104.0,526.0,73.0,140.0,57.0,73.0,180.0,162.0,63.0,163.0,37.0,140.0,47.0,44.0,5.0,65.0,71.0,475.0,61.0,80.0,82.0,61.0,142.0,66.0,136.0,243.0,45.0,172.0,92.0,91.0,19.0,64.0,91.0,418.0,56.0,59.0,49.0,57.0,269.0,55.0,137.0,131.0,40.0,130.0,42.0,36.0,6.0,52.0,127.0,455.0,72.0,73.0,47.0,54.0,148.0,120.0,43.0,137.0,35.0,131.0,49.0,41.0,2.0,57.0,71.0,366.0,58.0,69.0,66.0,50.0,242.0,50.0,42.0,132.0,37.0,257.0,49.0,47.0,14.0,58.0,69.0,297.0,57.0,61.0,96.0,49.0,152.0,48.0,39.0,155.0,30.0,101.0,38.0,49.0,5.0,115.0,80.0,292.0,59.0,77.0,95.0,58.0,235.0,59.0,55.0,186.0,48.0,104.0,57.0,42.0,15.0,63.0,64.0,298.0,53.0,68.0,43.0,51.0,235.0,46.0,51.0,173.0,36.0,160.0,48.0,55.0,4.0,56.0,77.0,295.0,62.0,73.0,50.0,484.0,214.0,70.0,65.0,155.0,42.0,137.0,482.0,38.0,4.0,69.0,85.0,296.0,68.0,64.0,47.0,66.0,194.0,59.0,54.0,168.0,34.0,165.0,48.0,40.0,4.0,86.0,85.0,367.0,73.0,70.0,63.0,60.0,191.0,63.0,64.0,200.0,98.0,157.0,50.0,54.0,9.0,65.0,blackscholes
675.0,241.0,389.0,477.0,516.0,580.0,330.0,375.0,447.0,215.0,404.0,204.0,462.0,487.0,318.0,566.0,239.0,28.0,167.0,180.0,190.0,196.0,147.0,140.0,133.0,37.0,126.0,26.0,169.0,193.0,47.0,180.0,580.0,29.0,159.0,467.0,214.0,566.0,123.0,135.0,164.0,54.0,159.0,26.0,577.0,224.0,86.0,573.0,248.0,32.0,390.0,248.0,314.0,280.0,125.0,179.0,191.0,38.0,226.0,28.0,148.0,313.0,69.0,214.0,256.0,30.0,193.0,307.0,195.0,227.0,128.0,134.0,216.0,39.0,236.0,34.0,122.0,286.0,93.0,225.0,255.0,36.0,224.0,284.0,214.0,211.0,190.0,189.0,187.0,36.0,204.0,33.0,157.0,251.0,97.0,288.0,176.0,14.0,149.0,150.0,151.0,143.0,91.0,102.0,121.0,26.0,130.0,18.0,173.0,244.0,45.0,136.0,172.0,21.0,188.0,166.0,171.0,219.0,126.0,181.0,217.0,30.0,157.0,20.0,112.0,193.0,52.0,182.0,259.0,19.0,162.0,179.0,184.0,183.0,109.0,243.0,196.0,31.0,205.0,22.0,143.0,211.0,34.0,207.0,188.0,25.0,219.0,185.0,182.0,191.0,130.0,128.0,129.0,27.0,191.0,35.0,133.0,200.0,37.0,170.0,227.0,25.0,181.0,257.0,336.0,191.0,118.0,167.0,166.0,42.0,121.0,30.0,160.0,302.0,64.0,285.0,187.0,13.0,162.0,153.0,174.0,204.0,94.0,101.0,119.0,14.0,139.0,13.0,136.0,181.0,60.0,229.0,253.0,19.0,166.0,159.0,173.0,195.0,231.0,132.0,146.0,31.0,135.0,44.0,148.0,219.0,48.0,228.0,259.0,32.0,192.0,291.0,313.0,777.0,189.0,152.0,168.0,28.0,184.0,23.0,715.0,205.0,63.0,236.0,255.0,31.0,205.0,176.0,217.0,229.0,115.0,119.0,145.0,39.0,142.0,46.0,163.0,228.0,40.0,233.0,453.0,36.0,234.0,254.0,250.0,347.0,202.0,208.0,210.0,51.0,249.0,63.0,338.0,274.0,80.0,308.0,blackscholes
1002.0,679.0,68.0,81.0,112.0,101.0,156.0,57.0,51.0,102.0,68.0,149.0,72.0,83.0,100.0,100.0,87.0,292.0,22.0,25.0,37.0,24.0,108.0,21.0,21.0,64.0,20.0,73.0,20.0,17.0,20.0,23.0,40.0,395.0,14.0,18.0,21.0,14.0,59.0,13.0,10.0,37.0,10.0,62.0,14.0,12.0,11.0,14.0,50.0,355.0,14.0,12.0,29.0,15.0,67.0,13.0,11.0,46.0,13.0,68.0,14.0,20.0,10.0,14.0,53.0,398.0,13.0,17.0,35.0,22.0,77.0,18.0,14.0,47.0,16.0,73.0,17.0,17.0,18.0,28.0,59.0,404.0,17.0,14.0,32.0,17.0,66.0,16.0,17.0,53.0,13.0,61.0,15.0,17.0,12.0,16.0,45.0,406.0,12.0,14.0,29.0,16.0,54.0,14.0,15.0,50.0,18.0,115.0,20.0,15.0,17.0,19.0,51.0,318.0,11.0,14.0,29.0,18.0,48.0,15.0,12.0,33.0,18.0,55.0,14.0,16.0,8.0,18.0,52.0,379.0,17.0,17.0,21.0,21.0,58.0,18.0,14.0,37.0,17.0,68.0,20.0,16.0,5.0,17.0,45.0,314.0,19.0,20.0,25.0,23.0,69.0,17.0,19.0,37.0,24.0,73.0,23.0,19.0,7.0,19.0,54.0,243.0,13.0,15.0,22.0,17.0,63.0,18.0,12.0,51.0,12.0,74.0,19.0,17.0,5.0,17.0,36.0,612.0,18.0,20.0,20.0,16.0,347.0,16.0,12.0,476.0,15.0,532.0,15.0,15.0,15.0,20.0,47.0,273.0,16.0,14.0,34.0,14.0,71.0,13.0,15.0,52.0,12.0,69.0,13.0,17.0,7.0,15.0,49.0,297.0,11.0,14.0,20.0,14.0,59.0,11.0,12.0,54.0,13.0,72.0,17.0,16.0,13.0,18.0,51.0,238.0,15.0,12.0,47.0,12.0,73.0,8.0,9.0,54.0,10.0,60.0,13.0,14.0,11.0,14.0,69.0,342.0,19.0,14.0,50.0,20.0,83.0,13.0,13.0,65.0,12.0,75.0,22.0,12.0,21.0,20.0,blackscholes
329.0,517.0,180.0,186.0,252.0,196.0,485.0,157.0,168.0,353.0,163.0,463.0,204.0,417.0,1283.0,377.0,40.0,216.0,6.0,38.0,27.0,4.0,168.0,6.0,6.0,170.0,4.0,168.0,14.0,100.0,802.0,104.0,32.0,177.0,1.0,5.0,19.0,1.0,174.0,4.0,6.0,155.0,6.0,165.0,10.0,102.0,680.0,98.0,37.0,224.0,4.0,3.0,16.0,4.0,174.0,9.0,5.0,148.0,6.0,163.0,8.0,111.0,752.0,114.0,63.0,178.0,5.0,5.0,23.0,4.0,199.0,4.0,5.0,144.0,5.0,190.0,11.0,109.0,811.0,108.0,42.0,214.0,5.0,3.0,12.0,6.0,194.0,3.0,4.0,168.0,4.0,207.0,12.0,110.0,734.0,103.0,46.0,168.0,5.0,8.0,23.0,3.0,139.0,6.0,7.0,137.0,7.0,256.0,19.0,91.0,645.0,84.0,20.0,175.0,5.0,5.0,16.0,3.0,173.0,3.0,3.0,141.0,6.0,163.0,10.0,101.0,662.0,99.0,21.0,193.0,7.0,6.0,18.0,3.0,142.0,5.0,5.0,130.0,7.0,153.0,11.0,113.0,584.0,107.0,29.0,196.0,1.0,6.0,15.0,3.0,157.0,5.0,7.0,141.0,6.0,195.0,11.0,101.0,600.0,106.0,31.0,151.0,5.0,8.0,14.0,6.0,155.0,4.0,3.0,136.0,5.0,148.0,17.0,116.0,622.0,126.0,39.0,636.0,6.0,8.0,16.0,4.0,515.0,3.0,6.0,621.0,7.0,665.0,18.0,111.0,733.0,122.0,39.0,167.0,3.0,4.0,14.0,3.0,180.0,2.0,2.0,139.0,2.0,178.0,7.0,108.0,627.0,115.0,43.0,168.0,8.0,7.0,18.0,5.0,196.0,5.0,3.0,156.0,6.0,159.0,9.0,89.0,614.0,148.0,49.0,368.0,17.0,16.0,21.0,22.0,252.0,12.0,5.0,167.0,9.0,237.0,15.0,126.0,667.0,108.0,59.0,321.0,9.0,4.0,37.0,6.0,233.0,4.0,4.0,199.0,7.0,230.0,9.0,153.0,932.0,120.0,blackscholes
192.0,75.0,13.0,42.0,38.0,38.0,35.0,16.0,25.0,43.0,41.0,68.0,42.0,63.0,715.0,75.0,32.0,19.0,4.0,5.0,11.0,8.0,20.0,3.0,3.0,15.0,4.0,44.0,4.0,16.0,475.0,17.0,12.0,18.0,2.0,3.0,2.0,1.0,17.0,1.0,2.0,13.0,0.0,19.0,4.0,14.0,596.0,15.0,26.0,22.0,3.0,7.0,4.0,4.0,18.0,4.0,2.0,15.0,7.0,29.0,3.0,14.0,629.0,18.0,17.0,25.0,1.0,3.0,6.0,3.0,13.0,4.0,0.0,14.0,4.0,33.0,2.0,14.0,642.0,15.0,23.0,22.0,1.0,3.0,1.0,1.0,16.0,3.0,4.0,17.0,5.0,31.0,5.0,15.0,576.0,18.0,13.0,22.0,2.0,2.0,5.0,4.0,14.0,3.0,4.0,14.0,4.0,24.0,6.0,14.0,496.0,14.0,14.0,22.0,0.0,1.0,4.0,4.0,14.0,2.0,2.0,17.0,3.0,26.0,2.0,15.0,540.0,15.0,17.0,23.0,0.0,2.0,2.0,1.0,17.0,0.0,0.0,17.0,4.0,40.0,0.0,20.0,460.0,17.0,20.0,27.0,2.0,0.0,6.0,2.0,18.0,0.0,0.0,16.0,5.0,34.0,0.0,17.0,571.0,17.0,23.0,24.0,0.0,3.0,3.0,3.0,14.0,2.0,5.0,16.0,6.0,38.0,2.0,21.0,568.0,19.0,22.0,27.0,2.0,9.0,3.0,4.0,12.0,5.0,5.0,7.0,4.0,29.0,7.0,10.0,563.0,12.0,21.0,19.0,2.0,3.0,1.0,3.0,15.0,3.0,0.0,11.0,4.0,31.0,3.0,17.0,558.0,16.0,30.0,22.0,1.0,0.0,2.0,2.0,12.0,1.0,3.0,14.0,4.0,29.0,2.0,17.0,477.0,15.0,33.0,12.0,3.0,3.0,1.0,4.0,10.0,3.0,3.0,10.0,3.0,28.0,5.0,14.0,550.0,16.0,44.0,16.0,2.0,7.0,2.0,5.0,16.0,2.0,2.0,11.0,4.0,26.0,4.0,15.0,528.0,13.0,blackscholes
