Features: 16,,,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0001, Gamma: 0.0001",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.0001, Gamma: 0.005",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.0001, Gamma: 0.05",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.0001, Gamma: 0.0625",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.0001, Gamma: 0.1",1,3,23,18,42.22222222222222,0,40,
"Nu: 0.0001, Gamma: 0.2",2,2,10,31,73.33333333333333,0,40,
"Nu: 0.0001, Gamma: 0.5",2,2,0,41,95.55555555555556,0,40,
"Nu: 0.0001, Gamma: 0.7",2,2,0,41,95.55555555555556,0,40,
"Nu: 0.0001, Gamma: 0.9",2,2,0,41,95.55555555555556,0,40,
"Nu: 0.0001, Gamma: 0.99",2,2,0,41,95.55555555555556,0,40,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.0002, Gamma: 0.0003",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.0002, Gamma: 0.0004",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.0002, Gamma: 0.005",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.0002, Gamma: 0.05",3,1,29,12,33.33333333333333,0,40,
"Nu: 0.0002, Gamma: 0.0625",3,1,28,13,35.55555555555556,0,40,
"Nu: 0.0002, Gamma: 0.1",3,1,27,14,37.77777777777778,0,40,
"Nu: 0.0002, Gamma: 0.2",2,2,10,31,73.33333333333333,0,40,
"Nu: 0.0002, Gamma: 0.5",3,1,21,20,51.11111111111111,0,40,
"Nu: 0.0002, Gamma: 0.7",3,1,20,21,53.333333333333336,0,40,
"Nu: 0.0002, Gamma: 0.9",3,1,8,33,80.0,0,40,
"Nu: 0.0002, Gamma: 0.99",3,1,3,38,91.11111111111111,0,40,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.0003, Gamma: 0.0002",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.0003, Gamma: 0.0003",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.0003, Gamma: 0.0004",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.0003, Gamma: 0.005",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.0003, Gamma: 0.05",3,1,29,12,33.33333333333333,0,40,
"Nu: 0.0003, Gamma: 0.0625",3,1,28,13,35.55555555555556,0,40,
"Nu: 0.0003, Gamma: 0.1",3,1,27,14,37.77777777777778,0,40,
"Nu: 0.0003, Gamma: 0.2",2,2,27,14,35.55555555555556,0,40,
"Nu: 0.0003, Gamma: 0.5",3,1,21,20,51.11111111111111,0,40,
"Nu: 0.0003, Gamma: 0.7",3,1,15,26,64.44444444444444,0,40,
"Nu: 0.0003, Gamma: 0.9",3,1,8,33,80.0,0,40,
"Nu: 0.0003, Gamma: 0.99",3,1,3,38,91.11111111111111,0,40,
"Nu: 0.0004, Gamma: 0.0001",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.0004, Gamma: 0.0002",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.0004, Gamma: 0.0003",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.0004, Gamma: 0.0004",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.0004, Gamma: 0.005",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.0004, Gamma: 0.05",3,1,29,12,33.33333333333333,0,40,
"Nu: 0.0004, Gamma: 0.0625",3,1,28,13,35.55555555555556,0,40,
"Nu: 0.0004, Gamma: 0.1",3,1,27,14,37.77777777777778,0,40,
"Nu: 0.0004, Gamma: 0.2",2,2,23,18,44.44444444444444,0,40,
"Nu: 0.0004, Gamma: 0.5",3,1,19,22,55.55555555555556,0,40,
"Nu: 0.0004, Gamma: 0.7",3,1,15,26,64.44444444444444,0,40,
"Nu: 0.0004, Gamma: 0.9",3,1,8,33,80.0,0,40,
"Nu: 0.0004, Gamma: 0.99",3,1,3,38,91.11111111111111,0,40,
"Nu: 0.005, Gamma: 0.0001",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.005, Gamma: 0.0002",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.005, Gamma: 0.0003",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.005, Gamma: 0.0004",0,4,0,41,91.11111111111111,0,40,
"Nu: 0.005, Gamma: 0.005",3,1,29,12,33.33333333333333,0,40,
"Nu: 0.005, Gamma: 0.05",3,1,29,12,33.33333333333333,0,40,
"Nu: 0.005, Gamma: 0.0625",3,1,28,13,35.55555555555556,0,40,
"Nu: 0.005, Gamma: 0.1",3,1,27,14,37.77777777777778,0,40,
"Nu: 0.005, Gamma: 0.2",3,1,23,18,46.666666666666664,0,40,
"Nu: 0.005, Gamma: 0.5",3,1,20,21,53.333333333333336,0,40,
"Nu: 0.005, Gamma: 0.7",3,1,19,22,55.55555555555556,0,40,
"Nu: 0.005, Gamma: 0.9",3,1,19,22,55.55555555555556,0,40,
"Nu: 0.005, Gamma: 0.99",3,1,18,23,57.77777777777777,0,40,
