Features: 16,,,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0001, Gamma: 0.0001",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.0001, Gamma: 0.0002",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.0001, Gamma: 0.0003",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.0001, Gamma: 0.0004",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.0001, Gamma: 0.005",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.0001, Gamma: 0.05",5,1,12,26,70.45454545454545,0,40,
"Nu: 0.0001, Gamma: 0.0625",5,1,12,26,70.45454545454545,0,40,
"Nu: 0.0001, Gamma: 0.1",5,1,12,26,70.45454545454545,0,40,
"Nu: 0.0001, Gamma: 0.2",5,1,12,26,70.45454545454545,0,40,
"Nu: 0.0001, Gamma: 0.5",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.0001, Gamma: 0.7",1,5,25,13,31.818181818181817,0,40,
"Nu: 0.0001, Gamma: 0.9",2,4,6,32,77.27272727272727,0,40,
"Nu: 0.0001, Gamma: 0.99",2,4,24,14,36.36363636363637,0,40,
"Nu: 0.0002, Gamma: 0.0001",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.0002, Gamma: 0.0002",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.0002, Gamma: 0.0003",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.0002, Gamma: 0.0004",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.0002, Gamma: 0.005",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.0002, Gamma: 0.05",5,1,12,26,70.45454545454545,0,40,
"Nu: 0.0002, Gamma: 0.0625",5,1,12,26,70.45454545454545,0,40,
"Nu: 0.0002, Gamma: 0.1",5,1,12,26,70.45454545454545,0,40,
"Nu: 0.0002, Gamma: 0.2",5,1,12,26,70.45454545454545,0,40,
"Nu: 0.0002, Gamma: 0.5",4,2,9,29,75.0,0,40,
"Nu: 0.0002, Gamma: 0.7",3,3,9,29,72.72727272727273,0,40,
"Nu: 0.0002, Gamma: 0.9",2,4,6,32,77.27272727272727,0,40,
"Nu: 0.0002, Gamma: 0.99",2,4,6,32,77.27272727272727,0,40,
"Nu: 0.0003, Gamma: 0.0001",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.0003, Gamma: 0.0002",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.0003, Gamma: 0.0003",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.0003, Gamma: 0.0004",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.0003, Gamma: 0.005",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.0003, Gamma: 0.05",5,1,12,26,70.45454545454545,0,40,
"Nu: 0.0003, Gamma: 0.0625",5,1,12,26,70.45454545454545,0,40,
"Nu: 0.0003, Gamma: 0.1",5,1,12,26,70.45454545454545,0,40,
"Nu: 0.0003, Gamma: 0.2",5,1,12,26,70.45454545454545,0,40,
"Nu: 0.0003, Gamma: 0.5",4,2,9,29,75.0,0,40,
"Nu: 0.0003, Gamma: 0.7",1,5,26,12,29.545454545454547,0,40,
"Nu: 0.0003, Gamma: 0.9",2,4,14,24,59.09090909090909,0,40,
"Nu: 0.0003, Gamma: 0.99",2,4,6,32,77.27272727272727,0,40,
"Nu: 0.0004, Gamma: 0.0001",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.0004, Gamma: 0.0002",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.0004, Gamma: 0.0003",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.0004, Gamma: 0.0004",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.0004, Gamma: 0.005",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.0004, Gamma: 0.05",5,1,12,26,70.45454545454545,0,40,
"Nu: 0.0004, Gamma: 0.0625",5,1,12,26,70.45454545454545,0,40,
"Nu: 0.0004, Gamma: 0.1",5,1,12,26,70.45454545454545,0,40,
"Nu: 0.0004, Gamma: 0.2",5,1,12,26,70.45454545454545,0,40,
"Nu: 0.0004, Gamma: 0.5",2,4,29,9,25.0,0,40,
"Nu: 0.0004, Gamma: 0.7",1,5,26,12,29.545454545454547,0,40,
"Nu: 0.0004, Gamma: 0.9",2,4,14,24,59.09090909090909,0,40,
"Nu: 0.0004, Gamma: 0.99",2,4,7,31,75.0,0,40,
"Nu: 0.005, Gamma: 0.0001",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.005, Gamma: 0.0002",0,6,0,38,86.36363636363636,0,40,
"Nu: 0.005, Gamma: 0.0003",0,6,0,38,86.36363636363636,0,40,
