Features: 16,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0001, Gamma: 0.0001",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.0001, Gamma: 0.0002",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.0001, Gamma: 0.0003",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.0001, Gamma: 0.0004",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.0001, Gamma: 0.005",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.0001, Gamma: 0.05",10,0,265,3,4.676258992805756,0,40,
"Nu: 0.0001, Gamma: 0.0625",9,1,261,7,5.755395683453238,0,40,
"Nu: 0.0001, Gamma: 0.1",8,2,215,53,21.942446043165468,0,40,
"Nu: 0.0001, Gamma: 0.2",6,4,145,123,46.402877697841724,0,40,
"Nu: 0.0001, Gamma: 0.5",8,2,26,242,89.92805755395683,0,40,
"Nu: 0.0001, Gamma: 0.7",5,5,10,258,94.60431654676259,0,40,
"Nu: 0.0001, Gamma: 0.9",5,5,10,258,94.60431654676259,0,40,
"Nu: 0.0001, Gamma: 0.99",1,9,10,258,93.16546762589928,0,40,
"Nu: 0.0002, Gamma: 0.0001",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.0002, Gamma: 0.0002",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.0002, Gamma: 0.0003",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.0002, Gamma: 0.0004",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.0002, Gamma: 0.005",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.0002, Gamma: 0.05",10,0,265,3,4.676258992805756,0,40,
"Nu: 0.0002, Gamma: 0.0625",9,1,261,7,5.755395683453238,0,40,
"Nu: 0.0002, Gamma: 0.1",10,0,253,15,8.992805755395683,0,40,
"Nu: 0.0002, Gamma: 0.2",10,0,149,119,46.402877697841724,0,40,
"Nu: 0.0002, Gamma: 0.5",7,3,11,257,94.96402877697841,0,40,
"Nu: 0.0002, Gamma: 0.7",6,4,1,267,98.20143884892086,0,40,
"Nu: 0.0002, Gamma: 0.9",8,2,14,254,94.24460431654677,0,40,
"Nu: 0.0002, Gamma: 0.99",8,2,14,254,94.24460431654677,0,40,
"Nu: 0.0003, Gamma: 0.0001",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.0003, Gamma: 0.0002",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.0003, Gamma: 0.0003",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.0003, Gamma: 0.0004",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.0003, Gamma: 0.005",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.0003, Gamma: 0.05",10,0,265,3,4.676258992805756,0,40,
"Nu: 0.0003, Gamma: 0.0625",9,1,261,7,5.755395683453238,0,40,
"Nu: 0.0003, Gamma: 0.1",10,0,240,28,13.66906474820144,0,40,
"Nu: 0.0003, Gamma: 0.2",10,0,160,108,42.44604316546763,0,40,
"Nu: 0.0003, Gamma: 0.5",7,3,11,257,94.96402877697841,0,40,
"Nu: 0.0003, Gamma: 0.7",8,2,19,249,92.44604316546763,0,40,
"Nu: 0.0003, Gamma: 0.9",8,2,14,254,94.24460431654677,0,40,
"Nu: 0.0003, Gamma: 0.99",8,2,14,254,94.24460431654677,0,40,
"Nu: 0.0004, Gamma: 0.0001",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.0004, Gamma: 0.0002",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.0004, Gamma: 0.0003",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.0004, Gamma: 0.0004",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.0004, Gamma: 0.005",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.0004, Gamma: 0.05",10,0,265,3,4.676258992805756,0,40,
"Nu: 0.0004, Gamma: 0.0625",9,1,261,7,5.755395683453238,0,40,
"Nu: 0.0004, Gamma: 0.1",10,0,240,28,13.66906474820144,0,40,
"Nu: 0.0004, Gamma: 0.2",10,0,160,108,42.44604316546763,0,40,
"Nu: 0.0004, Gamma: 0.5",7,3,3,265,97.84172661870504,0,40,
"Nu: 0.0004, Gamma: 0.7",8,2,19,249,92.44604316546763,0,40,
"Nu: 0.0004, Gamma: 0.9",8,2,14,254,94.24460431654677,0,40,
"Nu: 0.0004, Gamma: 0.99",10,0,18,250,93.5251798561151,0,40,
"Nu: 0.005, Gamma: 0.0001",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.005, Gamma: 0.0002",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.005, Gamma: 0.0003",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.005, Gamma: 0.0004",0,10,0,268,96.40287769784173,0,40,
"Nu: 0.005, Gamma: 0.005",10,0,268,0,3.597122302158273,0,40,
"Nu: 0.005, Gamma: 0.05",10,0,268,0,3.597122302158273,0,40,
"Nu: 0.005, Gamma: 0.0625",10,0,263,5,5.39568345323741,0,40,
"Nu: 0.005, Gamma: 0.1",10,0,240,28,13.66906474820144,0,40,
"Nu: 0.005, Gamma: 0.2",10,0,122,146,56.11510791366906,0,40,
"Nu: 0.005, Gamma: 0.5",10,0,23,245,91.72661870503596,0,40,
"Nu: 0.005, Gamma: 0.7",9,1,15,253,94.24460431654677,0,40,
"Nu: 0.005, Gamma: 0.9",9,1,13,255,94.96402877697841,0,40,
"Nu: 0.005, Gamma: 0.99",10,0,13,255,95.32374100719424,0,40,
"Nu: 0.05, Gamma: 0.0001",9,1,263,5,5.0359712230215825,0,40,
"Nu: 0.05, Gamma: 0.0002",9,1,263,5,5.0359712230215825,0,40,
"Nu: 0.05, Gamma: 0.0003",9,1,265,3,4.316546762589928,0,40,
"Nu: 0.05, Gamma: 0.0004",9,1,263,5,5.0359712230215825,0,40,
"Nu: 0.05, Gamma: 0.005",10,0,263,5,5.39568345323741,0,40,
"Nu: 0.05, Gamma: 0.05",10,0,247,21,11.151079136690647,0,40,
"Nu: 0.05, Gamma: 0.0625",9,1,246,22,11.151079136690647,0,40,
"Nu: 0.05, Gamma: 0.1",10,0,223,45,19.784172661870503,0,40,
"Nu: 0.05, Gamma: 0.2",10,0,120,148,56.83453237410072,0,40,
"Nu: 0.05, Gamma: 0.5",10,0,19,249,93.16546762589928,0,40,
"Nu: 0.05, Gamma: 0.7",10,0,14,254,94.96402877697841,0,40,
"Nu: 0.05, Gamma: 0.9",10,0,13,255,95.32374100719424,0,40,
"Nu: 0.05, Gamma: 0.99",10,0,11,257,96.0431654676259,0,40,
"Nu: 0.0625, Gamma: 0.0001",9,1,265,3,4.316546762589928,0,40,
"Nu: 0.0625, Gamma: 0.0002",9,1,265,3,4.316546762589928,0,40,
"Nu: 0.0625, Gamma: 0.0003",9,1,265,3,4.316546762589928,0,40,
"Nu: 0.0625, Gamma: 0.0004",9,1,265,3,4.316546762589928,0,40,
