Features: 16,,,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.20143885,26
"Nu: 0.0001, Gamma: 0.0001",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.0001, Gamma: 0.05",10,0,265,3,4.676258993,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",9,1,261,7,5.755395683,0,40,,,
"Nu: 0.0001, Gamma: 0.1",8,2,215,53,21.94244604,0,40,,,
"Nu: 0.0001, Gamma: 0.2",6,4,145,123,46.4028777,0,40,,,
"Nu: 0.0001, Gamma: 0.5",8,2,26,242,89.92805755,0,40,,,
"Nu: 0.0001, Gamma: 0.7",5,5,10,258,94.60431655,0,40,,,
"Nu: 0.0001, Gamma: 0.9",5,5,10,258,94.60431655,0,40,,,
"Nu: 0.0001, Gamma: 0.99",1,9,10,258,93.16546763,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.0002, Gamma: 0.05",10,0,265,3,4.676258993,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",9,1,261,7,5.755395683,0,40,,,
"Nu: 0.0002, Gamma: 0.1",10,0,253,15,8.992805755,0,40,,,
"Nu: 0.0002, Gamma: 0.2",10,0,149,119,46.4028777,0,40,,,
"Nu: 0.0002, Gamma: 0.5",7,3,11,257,94.96402878,0,40,,,
"Nu: 0.0002, Gamma: 0.7",6,4,1,267,98.20143885,0,40,,,
"Nu: 0.0002, Gamma: 0.9",8,2,14,254,94.24460432,0,40,,,
"Nu: 0.0002, Gamma: 0.99",8,2,14,254,94.24460432,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,10,0,268,96.4028777,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,10,0,268,96.4028777,0,40,,,
