Features: 16,,,,,,,,,,
Target Class: facesim,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.63126844,116
"Nu: 0.0001, Gamma: 0.0001",0,24,0,1332,98.2300885,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,24,0,1332,98.2300885,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,24,0,1332,98.2300885,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,24,0,1332,98.2300885,0,40,,,
"Nu: 0.0001, Gamma: 0.005",11,13,906,426,32.22713864,0,40,,,
"Nu: 0.0001, Gamma: 0.05",24,0,1332,0,1.769911504,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",24,0,1330,2,1.91740413,0,40,,,
"Nu: 0.0001, Gamma: 0.1",24,0,1330,2,1.91740413,0,40,,,
"Nu: 0.0001, Gamma: 0.2",10,14,756,576,43.21533923,0,40,,,
"Nu: 0.0001, Gamma: 0.5",23,1,861,471,36.43067847,0,40,,,
"Nu: 0.0001, Gamma: 0.7",23,1,730,602,46.09144543,0,40,,,
"Nu: 0.0001, Gamma: 0.9",23,1,498,834,63.20058997,0,40,,,
"Nu: 0.0001, Gamma: 0.99",23,1,513,819,62.09439528,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,24,0,1332,98.2300885,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,24,0,1332,98.2300885,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,24,0,1332,98.2300885,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,24,0,1332,98.2300885,0,40,,,
"Nu: 0.0002, Gamma: 0.005",11,13,906,426,32.22713864,0,40,,,
"Nu: 0.0002, Gamma: 0.05",24,0,1332,0,1.769911504,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",24,0,1330,2,1.91740413,0,40,,,
"Nu: 0.0002, Gamma: 0.1",24,0,1330,2,1.91740413,0,40,,,
"Nu: 0.0002, Gamma: 0.2",24,0,1331,1,1.843657817,0,40,,,
"Nu: 0.0002, Gamma: 0.5",23,1,976,356,27.94985251,0,40,,,
"Nu: 0.0002, Gamma: 0.7",20,4,772,560,42.77286136,0,40,,,
"Nu: 0.0002, Gamma: 0.9",23,1,498,834,63.20058997,0,40,,,
"Nu: 0.0002, Gamma: 0.99",3,21,396,936,69.24778761,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,24,0,1332,98.2300885,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,24,0,1332,98.2300885,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,24,0,1332,98.2300885,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,24,0,1332,98.2300885,0,40,,,
"Nu: 0.0003, Gamma: 0.005",11,13,906,426,32.22713864,0,40,,,
"Nu: 0.0003, Gamma: 0.05",24,0,1332,0,1.769911504,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",24,0,1330,2,1.91740413,0,40,,,
"Nu: 0.0003, Gamma: 0.1",24,0,1330,2,1.91740413,0,40,,,
"Nu: 0.0003, Gamma: 0.2",24,0,1331,1,1.843657817,0,40,,,
"Nu: 0.0003, Gamma: 0.5",23,1,976,356,27.94985251,0,40,,,
"Nu: 0.0003, Gamma: 0.7",20,4,772,560,42.77286136,0,40,,,
"Nu: 0.0003, Gamma: 0.9",20,4,646,686,52.06489676,0,40,,,
"Nu: 0.0003, Gamma: 0.99",3,21,396,936,69.24778761,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,24,0,1332,98.2300885,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,24,0,1332,98.2300885,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,24,0,1332,98.2300885,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,24,0,1332,98.2300885,0,40,,,
"Nu: 0.0004, Gamma: 0.005",11,13,906,426,32.22713864,0,40,,,
"Nu: 0.0004, Gamma: 0.05",24,0,1332,0,1.769911504,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",24,0,1330,2,1.91740413,0,40,,,
"Nu: 0.0004, Gamma: 0.1",24,0,1330,2,1.91740413,0,40,,,
"Nu: 0.0004, Gamma: 0.2",24,0,1331,1,1.843657817,0,40,,,
"Nu: 0.0004, Gamma: 0.5",23,1,976,356,27.94985251,0,40,,,
"Nu: 0.0004, Gamma: 0.7",18,6,756,576,43.80530973,0,40,,,
"Nu: 0.0004, Gamma: 0.9",5,19,580,752,55.8259587,0,40,,,
"Nu: 0.0004, Gamma: 0.99",24,0,496,836,63.42182891,0,40,,,
"Nu: 0.005, Gamma: 0.0001",11,13,905,427,32.30088496,0,40,,,
"Nu: 0.005, Gamma: 0.0002",11,13,906,426,32.22713864,0,40,,,
"Nu: 0.005, Gamma: 0.0003",11,13,906,426,32.22713864,0,40,,,
"Nu: 0.005, Gamma: 0.0004",11,13,906,426,32.22713864,0,40,,,
"Nu: 0.005, Gamma: 0.005",24,0,1332,0,1.769911504,0,40,,,
"Nu: 0.005, Gamma: 0.05",24,0,1332,0,1.769911504,0,40,,,
"Nu: 0.005, Gamma: 0.0625",24,0,1330,2,1.91740413,0,40,,,
"Nu: 0.005, Gamma: 0.1",24,0,1330,2,1.91740413,0,40,,,
"Nu: 0.005, Gamma: 0.2",24,0,1278,54,5.752212389,0,40,,,
"Nu: 0.005, Gamma: 0.5",24,0,1012,320,25.36873156,0,40,,,
"Nu: 0.005, Gamma: 0.7",24,0,743,589,45.20648968,0,40,,,
"Nu: 0.005, Gamma: 0.9",24,0,568,764,58.1120944,0,40,,,
"Nu: 0.005, Gamma: 0.99",24,0,535,797,60.54572271,0,40,,,
"Nu: 0.05, Gamma: 0.0001",23,1,513,819,62.09439528,0,40,,,
"Nu: 0.05, Gamma: 0.0002",0,24,401,931,68.65781711,0,40,,,
"Nu: 0.05, Gamma: 0.0003",23,1,686,646,49.33628319,0,40,,,
"Nu: 0.05, Gamma: 0.0004",23,1,686,646,49.33628319,0,40,,,
"Nu: 0.05, Gamma: 0.005",23,1,581,751,57.07964602,0,40,,,
"Nu: 0.05, Gamma: 0.05",23,1,681,651,49.70501475,0,40,,,
"Nu: 0.05, Gamma: 0.0625",23,1,680,652,49.77876106,0,40,,,
"Nu: 0.05, Gamma: 0.1",23,1,679,653,49.85250737,0,40,,,
"Nu: 0.05, Gamma: 0.2",23,1,674,658,50.22123894,0,40,,,
"Nu: 0.05, Gamma: 0.5",24,0,367,965,72.93510324,0,40,,,
"Nu: 0.05, Gamma: 0.7",24,0,366,966,73.00884956,0,40,,,
"Nu: 0.05, Gamma: 0.9",24,0,352,980,74.04129794,0,40,,,
"Nu: 0.05, Gamma: 0.99",24,0,354,978,73.89380531,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",19,5,415,917,69.02654867,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",19,5,432,900,67.77286136,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",19,5,430,902,67.92035398,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",19,5,430,902,67.92035398,0,40,,,
"Nu: 0.0625, Gamma: 0.005",23,1,511,821,62.24188791,0,40,,,
"Nu: 0.0625, Gamma: 0.05",23,1,519,813,61.6519174,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",23,1,519,813,61.6519174,0,40,,,
"Nu: 0.0625, Gamma: 0.1",23,1,662,670,51.10619469,0,40,,,
"Nu: 0.0625, Gamma: 0.2",22,2,540,792,60.02949853,0,40,,,
"Nu: 0.0625, Gamma: 0.5",22,2,198,1134,85.25073746,0,40,,,
"Nu: 0.0625, Gamma: 0.7",24,0,54,1278,96.01769912,0,40,,,
"Nu: 0.0625, Gamma: 0.9",24,0,276,1056,79.6460177,0,40,,,
"Nu: 0.0625, Gamma: 0.99",24,0,330,1002,75.66371681,0,40,,,
"Nu: 0.1, Gamma: 0.0001",20,4,492,840,63.42182891,0,40,,,
"Nu: 0.1, Gamma: 0.0002",22,2,501,831,62.90560472,0,40,,,
"Nu: 0.1, Gamma: 0.0003",22,2,501,831,62.90560472,0,40,,,
"Nu: 0.1, Gamma: 0.0004",19,5,490,842,63.49557522,0,40,,,
"Nu: 0.1, Gamma: 0.005",21,3,491,841,63.56932153,0,40,,,
"Nu: 0.1, Gamma: 0.05",21,3,487,845,63.86430678,0,40,,,
"Nu: 0.1, Gamma: 0.0625",21,3,487,845,63.86430678,0,40,,,
"Nu: 0.1, Gamma: 0.1",21,3,487,845,63.86430678,0,40,,,
"Nu: 0.1, Gamma: 0.2",21,3,486,846,63.9380531,0,40,,,
"Nu: 0.1, Gamma: 0.5",22,2,439,893,67.47787611,0,40,,,
"Nu: 0.1, Gamma: 0.7",22,2,29,1303,97.71386431,0,40,,,
"Nu: 0.1, Gamma: 0.9",22,2,26,1306,97.93510324,0,40,,,
"Nu: 0.1, Gamma: 0.99",22,2,26,1306,97.93510324,0,40,,,
"Nu: 0.2, Gamma: 0.0001",3,21,283,1049,77.58112094,0,40,,,
"Nu: 0.2, Gamma: 0.0002",20,4,328,1004,75.51622419,0,40,,,
"Nu: 0.2, Gamma: 0.0003",20,4,328,1004,75.51622419,0,40,,,
"Nu: 0.2, Gamma: 0.0004",20,4,328,1004,75.51622419,0,40,,,
"Nu: 0.2, Gamma: 0.005",20,4,326,1006,75.66371681,0,40,,,
"Nu: 0.2, Gamma: 0.05",20,4,299,1033,77.65486726,0,40,,,
"Nu: 0.2, Gamma: 0.0625",20,4,270,1062,79.79351032,0,40,,,
"Nu: 0.2, Gamma: 0.1",20,4,130,1202,90.1179941,0,40,,,
"Nu: 0.2, Gamma: 0.2",20,4,62,1270,95.13274336,0,40,,,
"Nu: 0.2, Gamma: 0.5",20,4,1,1331,99.63126844,0,40,,,
"Nu: 0.2, Gamma: 0.7",20,4,26,1306,97.78761062,0,40,,,
"Nu: 0.2, Gamma: 0.9",20,4,26,1306,97.78761062,0,40,,,
"Nu: 0.2, Gamma: 0.99",20,4,26,1306,97.78761062,0,40,,,
"Nu: 0.5, Gamma: 0.0001",4,20,35,1297,95.9439528,0,40,,,
"Nu: 0.5, Gamma: 0.0002",4,20,24,1308,96.75516224,0,40,,,
"Nu: 0.5, Gamma: 0.0003",4,20,21,1311,96.97640118,0,40,,,
"Nu: 0.5, Gamma: 0.0004",4,20,19,1313,97.12389381,0,40,,,
"Nu: 0.5, Gamma: 0.005",9,15,14,1318,97.86135693,0,40,,,
"Nu: 0.5, Gamma: 0.05",14,10,6,1326,98.820059,0,40,,,
"Nu: 0.5, Gamma: 0.0625",15,9,5,1327,98.96755162,0,40,,,
"Nu: 0.5, Gamma: 0.1",15,9,5,1327,98.96755162,0,40,,,
"Nu: 0.5, Gamma: 0.2",13,11,0,1332,99.18879056,0,40,,,
