From router 0 to router 0,From router 0 to router 1,From router 0 to router 2,From router 0 to router 3,From router 0 to router 4,From router 0 to router 5,From router 0 to router 6,From router 0 to router 7,From router 0 to router 8,From router 0 to router 9,From router 0 to router 10,From router 0 to router 11,From router 0 to router 12,From router 0 to router 13,From router 0 to router 14,From router 0 to router 15,From router 1 to router 0,From router 1 to router 1,From router 1 to router 2,From router 1 to router 3,From router 1 to router 4,From router 1 to router 5,From router 1 to router 6,From router 1 to router 7,From router 1 to router 8,From router 1 to router 9,From router 1 to router 10,From router 1 to router 11,From router 1 to router 12,From router 1 to router 13,From router 1 to router 14,From router 1 to router 15,From router 2 to router 0,From router 2 to router 1,From router 2 to router 2,From router 2 to router 3,From router 2 to router 4,From router 2 to router 5,From router 2 to router 6,From router 2 to router 7,From router 2 to router 8,From router 2 to router 9,From router 2 to router 10,From router 2 to router 11,From router 2 to router 12,From router 2 to router 13,From router 2 to router 14,From router 2 to router 15,From router 3 to router 0,From router 3 to router 1,From router 3 to router 2,From router 3 to router 3,From router 3 to router 4,From router 3 to router 5,From router 3 to router 6,From router 3 to router 7,From router 3 to router 8,From router 3 to router 9,From router 3 to router 10,From router 3 to router 11,From router 3 to router 12,From router 3 to router 13,From router 3 to router 14,From router 3 to router 15,From router 4 to router 0,From router 4 to router 1,From router 4 to router 2,From router 4 to router 3,From router 4 to router 4,From router 4 to router 5,From router 4 to router 6,From router 4 to router 7,From router 4 to router 8,From router 4 to router 9,From router 4 to router 10,From router 4 to router 11,From router 4 to router 12,From router 4 to router 13,From router 4 to router 14,From router 4 to router 15,From router 5 to router 0,From router 5 to router 1,From router 5 to router 2,From router 5 to router 3,From router 5 to router 4,From router 5 to router 5,From router 5 to router 6,From router 5 to router 7,From router 5 to router 8,From router 5 to router 9,From router 5 to router 10,From router 5 to router 11,From router 5 to router 12,From router 5 to router 13,From router 5 to router 14,From router 5 to router 15,From router 6 to router 0,From router 6 to router 1,From router 6 to router 2,From router 6 to router 3,From router 6 to router 4,From router 6 to router 5,From router 6 to router 6,From router 6 to router 7,From router 6 to router 8,From router 6 to router 9,From router 6 to router 10,From router 6 to router 11,From router 6 to router 12,From router 6 to router 13,From router 6 to router 14,From router 6 to router 15,From router 7 to router 0,From router 7 to router 1,From router 7 to router 2,From router 7 to router 3,From router 7 to router 4,From router 7 to router 5,From router 7 to router 6,From router 7 to router 7,From router 7 to router 8,From router 7 to router 9,From router 7 to router 10,From router 7 to router 11,From router 7 to router 12,From router 7 to router 13,From router 7 to router 14,From router 7 to router 15,From router 8 to router 0,From router 8 to router 1,From router 8 to router 2,From router 8 to router 3,From router 8 to router 4,From router 8 to router 5,From router 8 to router 6,From router 8 to router 7,From router 8 to router 8,From router 8 to router 9,From router 8 to router 10,From router 8 to router 11,From router 8 to router 12,From router 8 to router 13,From router 8 to router 14,From router 8 to router 15,From router 9 to router 0,From router 9 to router 1,From router 9 to router 2,From router 9 to router 3,From router 9 to router 4,From router 9 to router 5,From router 9 to router 6,From router 9 to router 7,From router 9 to router 8,From router 9 to router 9,From router 9 to router 10,From router 9 to router 11,From router 9 to router 12,From router 9 to router 13,From router 9 to router 14,From router 9 to router 15,From router 10 to router 0,From router 10 to router 1,From router 10 to router 2,From router 10 to router 3,From router 10 to router 4,From router 10 to router 5,From router 10 to router 6,From router 10 to router 7,From router 10 to router 8,From router 10 to router 9,From router 10 to router 10,From router 10 to router 11,From router 10 to router 12,From router 10 to router 13,From router 10 to router 14,From router 10 to router 15,From router 11 to router 0,From router 11 to router 1,From router 11 to router 2,From router 11 to router 3,From router 11 to router 4,From router 11 to router 5,From router 11 to router 6,From router 11 to router 7,From router 11 to router 8,From router 11 to router 9,From router 11 to router 10,From router 11 to router 11,From router 11 to router 12,From router 11 to router 13,From router 11 to router 14,From router 11 to router 15,From router 12 to router 0,From router 12 to router 1,From router 12 to router 2,From router 12 to router 3,From router 12 to router 4,From router 12 to router 5,From router 12 to router 6,From router 12 to router 7,From router 12 to router 8,From router 12 to router 9,From router 12 to router 10,From router 12 to router 11,From router 12 to router 12,From router 12 to router 13,From router 12 to router 14,From router 12 to router 15,From router 13 to router 0,From router 13 to router 1,From router 13 to router 2,From router 13 to router 3,From router 13 to router 4,From router 13 to router 5,From router 13 to router 6,From router 13 to router 7,From router 13 to router 8,From router 13 to router 9,From router 13 to router 10,From router 13 to router 11,From router 13 to router 12,From router 13 to router 13,From router 13 to router 14,From router 13 to router 15,From router 14 to router 0,From router 14 to router 1,From router 14 to router 2,From router 14 to router 3,From router 14 to router 4,From router 14 to router 5,From router 14 to router 6,From router 14 to router 7,From router 14 to router 8,From router 14 to router 9,From router 14 to router 10,From router 14 to router 11,From router 14 to router 12,From router 14 to router 13,From router 14 to router 14,From router 14 to router 15,From router 15 to router 0,From router 15 to router 1,From router 15 to router 2,From router 15 to router 3,From router 15 to router 4,From router 15 to router 5,From router 15 to router 6,From router 15 to router 7,From router 15 to router 8,From router 15 to router 9,From router 15 to router 10,From router 15 to router 11,From router 15 to router 12,From router 15 to router 13,From router 15 to router 14,From router 15 to router 15,Applications (Label Classes)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,ferret_MRURP
5391,3558,3428,3578,3482,3535,3416,6150,3491,5559,7380,6126,3457,3501,3499,3567,1791,23,19,41,23,20,20,2407,22,1781,2558,1589,31,21,14,44,1715,17,9,31,15,11,17,2351,27,1116,2883,1871,29,18,8,36,1777,19,17,39,21,20,21,2272,42,1516,2740,1677,32,20,12,42,1747,14,16,37,19,18,23,2410,35,842,2771,1664,39,17,14,40,1775,12,10,46,18,19,24,2373,48,774,2879,1993,46,21,10,46,1708,14,11,26,15,16,13,2166,20,1223,2722,1619,16,16,10,44,1753,64,34,113,61,46,33,2116,117,1276,2840,1914,114,23,47,108,1741,17,15,39,21,24,21,2288,39,1853,2736,1678,45,19,19,48,1760,64,40,61,52,53,38,2147,52,2776,3024,1819,54,44,46,72,1709,57,25,30,30,24,23,2518,32,2120,3006,1898,32,11,22,26,1710,61,19,31,27,30,21,2304,27,1432,3066,1618,31,14,27,21,1723,17,12,32,17,18,14,2110,26,1802,2796,1590,31,21,13,36,1757,13,12,34,17,20,17,2257,41,1694,2830,1801,37,14,15,36,1759,11,15,28,21,16,9,2181,26,1569,2911,1801,22,15,14,35,1780,18,19,44,15,23,19,2259,33,2027,2971,1990,31,22,17,44,ferret_MRURP
1577,52,39,69,54,45,1123,22,52,25,15,24,43,50,61,71,4483,4,6,7,1,3,6487,4,1,2,6,2,5,4,7,4,8910,1,1,3,3,2,11016,1,3,2,2,2,1,5,7,3,3811,3,3,2,6,2,8591,4,5,2,2,2,2,6,7,2,3022,3,2,3,2,4,5371,1,5,2,3,2,1,6,10,2,2613,6,2,3,5,3,2750,1,4,3,2,1,2,8,11,1,1809,0,1,2,0,0,1208,3,1,0,1,0,2,3,3,0,1498,4,1,3,1,1,1045,2,7,0,1,0,2,3,5,2,1426,3,6,6,8,6,1012,4,3,6,3,2,4,4,15,4,1389,1,1,2,1,3,961,0,2,1,2,2,1,2,12,4,1383,3,1,3,1,3,942,1,4,2,3,2,4,5,10,2,1363,1,1,3,2,2,914,2,4,0,1,1,3,3,6,3,1399,3,2,3,4,5,969,2,6,1,3,1,5,4,11,3,1383,2,2,5,6,3,954,2,1,1,2,1,2,4,29,5,1359,1,3,9,6,3,935,5,5,3,5,4,3,16,12,9,1349,4,4,2,5,2,929,2,3,3,4,3,5,7,5,2,ferret_MRURP
1561,47,21,83,30,34,1370,12,31,15,15,20,18,36,49,69,4975,3,3,3,5,4,5895,4,3,2,7,2,2,3,3,2,11657,1,1,4,1,1,11354,1,1,0,1,0,1,1,5,1,9468,5,3,4,6,3,7801,4,3,2,4,3,5,6,5,5,5288,1,1,3,1,4,4604,0,2,0,1,2,4,2,4,3,2105,2,2,3,1,1,3131,0,0,1,2,1,4,1,6,5,1177,1,0,2,0,1,1356,2,0,0,2,0,0,1,2,1,1105,2,2,3,1,2,1072,1,3,2,2,2,1,2,3,2,1038,2,1,3,3,2,1026,0,1,2,2,1,1,2,6,3,998,1,1,1,0,0,1000,1,1,0,2,3,0,0,4,2,1031,3,4,3,2,3,987,2,3,2,6,3,2,2,5,2,1037,1,1,2,1,3,954,0,2,1,2,1,3,1,2,3,1023,1,1,3,1,2,988,0,1,2,1,0,1,5,5,2,1009,1,1,4,2,1,1018,0,2,0,3,1,4,2,6,1,1018,4,3,4,2,1,972,1,3,2,4,3,4,3,5,8,1066,2,2,4,2,5,978,2,2,3,2,3,3,2,5,2,ferret_MRURP
1317,44,23,59,42,67,1278,21,20,14,15,19,27,27,72,71,3574,6,2,6,2,11,6417,3,3,1,8,6,6,3,2,3,8699,1,0,6,2,10,11679,0,2,0,3,1,1,1,4,3,5602,3,3,4,6,12,8339,0,2,1,3,2,1,3,3,4,3150,1,2,4,4,19,5028,2,1,1,2,2,1,2,1,4,2438,1,1,2,3,5,3027,5,2,4,3,4,4,4,13,5,1587,0,0,0,1,6,985,2,0,0,1,0,0,0,2,0,1295,1,0,2,3,6,875,0,3,1,2,1,1,0,2,3,1225,3,0,3,5,14,853,0,0,3,2,0,1,1,10,5,1196,0,0,3,2,10,813,1,0,0,1,2,2,3,4,3,1203,3,3,2,3,9,795,1,1,1,2,1,3,1,2,5,1189,4,1,2,3,7,791,0,1,0,1,0,3,0,1,2,1217,3,0,2,1,17,817,1,2,1,2,1,2,3,5,3,1204,2,0,3,2,15,817,1,1,2,2,0,1,2,3,4,1209,2,5,4,4,49,797,3,2,4,3,2,4,3,4,4,1182,1,2,7,5,24,795,4,4,3,2,2,3,3,4,4,ferret_MRURP
1725,63,24,55,41,46,1330,26,43,17,16,18,37,40,56,45,1868,4,2,2,4,6,5139,2,7,4,5,2,1,2,21,5,7630,5,2,4,2,4,10110,2,11,0,1,0,0,3,8,2,1899,5,1,3,5,6,4298,3,12,3,1,3,1,2,8,3,1785,5,1,3,1,6,2942,2,4,1,3,1,2,1,15,1,1862,10,5,6,11,2,2694,0,8,1,3,2,2,2,16,7,1746,4,0,0,0,0,1456,2,7,0,1,0,0,0,1,0,1707,3,2,1,3,5,1289,2,11,1,2,1,3,2,7,4,1625,4,1,2,5,1,1242,3,6,2,2,2,1,1,11,0,1566,3,1,1,1,2,1190,1,1,0,1,2,1,1,12,1,1567,11,2,4,1,2,1161,2,9,1,2,2,1,3,13,2,1594,3,0,1,2,1,1161,1,5,0,1,0,3,1,9,1,1593,4,0,2,2,4,1183,2,14,0,3,0,3,5,15,0,1568,6,2,2,2,4,1179,0,4,2,1,0,3,0,14,1,1555,18,8,7,3,4,1149,4,8,3,7,6,3,2,8,5,1535,6,5,2,3,3,1143,3,5,1,3,0,0,1,3,0,ferret_MRURP
1522,51,34,61,31,40,1431,24,35,18,17,19,22,47,35,43,4212,5,4,5,3,2,6361,2,4,1,7,2,3,4,6,3,9034,2,1,5,1,0,11406,1,1,1,3,1,2,1,2,0,3715,4,3,1,4,4,6533,2,2,2,5,0,3,2,1,4,2826,2,2,3,2,2,4171,2,3,1,2,2,3,1,1,2,2664,1,3,4,3,3,3382,2,2,0,2,1,1,2,7,1,1543,0,0,0,0,0,1500,2,0,0,2,0,0,0,0,0,1507,3,2,1,0,2,1303,1,3,3,2,1,0,2,3,1,1429,1,2,2,2,1,1230,3,1,2,3,1,2,2,3,2,1393,3,0,2,2,1,1176,0,0,2,1,3,0,1,0,1,1389,3,4,1,2,3,1164,1,3,1,6,1,2,2,0,3,1409,1,1,2,1,1,1143,1,0,1,4,0,3,1,0,3,1402,2,1,1,4,1,1192,0,3,1,2,2,0,4,1,4,1393,1,4,2,1,2,1181,2,2,1,3,3,2,4,4,3,1375,1,3,3,2,4,1156,2,4,1,3,1,1,4,3,3,1360,2,0,5,2,3,1144,0,1,0,2,3,4,3,1,2,ferret_MRURP
1578,109,73,109,93,85,1973,74,72,66,56,66,78,101,98,88,3810,4,2,4,5,5,5533,3,2,4,12,5,4,4,3,3,8836,1,1,1,2,3,10171,1,1,1,0,0,1,2,2,2,3122,4,2,5,5,4,4448,1,5,3,2,1,5,3,5,2,2423,4,2,3,5,3,3725,0,1,2,2,1,0,4,7,3,2377,3,0,3,4,3,3203,1,0,2,3,1,5,4,3,3,1780,0,0,0,0,0,1784,1,0,0,0,0,0,0,3,1,1560,2,0,3,2,0,1580,0,3,0,2,2,1,1,2,2,1466,3,1,2,5,1,1513,1,3,1,2,1,0,1,3,2,1422,2,0,2,1,1,1435,2,1,0,0,0,1,3,4,1,1403,3,2,5,3,1,1454,2,1,3,6,1,1,4,4,2,1430,3,0,0,2,1,1411,1,2,0,1,0,0,2,1,0,1427,3,2,4,0,2,1434,0,2,1,2,0,3,2,3,1,1414,3,2,1,3,5,1479,2,3,3,3,0,1,4,3,4,1388,5,2,4,7,4,1439,4,5,4,3,3,5,3,4,7,1373,2,1,1,2,1,1456,4,3,2,3,3,2,1,7,1,ferret_MRURP
1502,59,24,55,53,33,1572,36,26,25,12,51,41,54,97,58,4642,4,3,3,6,5,6085,3,3,4,7,13,4,2,24,3,10258,3,2,5,3,1,11596,0,1,0,2,10,3,4,11,1,7952,6,1,4,5,3,6936,3,4,2,4,17,4,3,5,4,5190,5,0,1,3,4,6050,4,3,2,2,26,3,1,13,2,3463,7,2,2,4,1,2509,1,2,2,1,17,2,2,18,2,1350,3,0,2,1,0,1072,2,1,0,1,12,1,0,3,2,1302,5,2,3,2,1,890,2,5,2,2,8,4,2,8,4,1242,6,1,2,1,3,853,2,2,3,1,8,2,4,14,2,1225,3,1,2,2,2,815,1,0,2,3,8,3,2,9,2,1182,6,2,3,3,2,812,1,3,1,0,9,5,3,15,4,1205,7,0,2,2,3,777,2,1,3,0,1,7,3,14,7,1254,4,1,2,2,2,806,2,1,1,3,20,3,6,18,2,1243,4,2,3,3,1,820,0,2,1,2,10,7,4,13,4,1215,17,12,6,6,4,809,5,2,4,7,41,6,5,13,6,1193,4,2,0,3,2,790,1,1,0,1,20,2,4,5,4,ferret_MRURP
1310,63,41,32,31,36,1051,12,15,29,11,31,24,42,45,49,5749,5,4,4,1,3,5493,3,7,2,7,4,3,4,3,1,11753,3,2,0,1,1,12216,2,1,0,1,2,2,1,1,1,10824,2,3,2,0,1,10965,2,0,4,2,2,2,3,3,2,6301,3,5,2,1,3,5664,0,0,0,1,3,2,1,2,2,2749,3,3,2,1,2,2985,1,2,1,1,1,3,1,3,1,907,1,1,0,0,1,951,0,0,0,0,1,0,0,0,0,652,1,0,0,1,1,902,0,0,1,1,2,0,2,0,2,626,0,1,1,1,0,913,0,2,0,1,3,1,0,0,1,644,2,1,2,3,0,836,0,2,2,0,2,1,2,2,1,644,5,1,2,1,5,824,1,1,1,1,2,2,3,3,3,632,2,3,2,6,1,839,3,3,3,6,1,4,1,4,5,651,4,3,3,3,4,854,2,1,2,0,1,0,1,1,2,678,3,3,4,3,0,842,3,1,2,1,4,0,2,1,1,682,2,3,2,4,6,831,1,3,3,2,3,1,2,3,3,688,1,3,5,3,1,835,1,2,3,2,2,2,1,2,1,ferret_MRURP
