Features: 16,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0001, Gamma: 0.0001",0,4,0,137,97.16312056737588,0,40,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,137,97.16312056737588,0,40,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,137,97.16312056737588,0,40,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,137,97.16312056737588,0,40,
"Nu: 0.0001, Gamma: 0.005",0,4,0,137,97.16312056737588,0,40,
"Nu: 0.0001, Gamma: 0.05",3,1,59,78,57.446808510638306,0,40,
"Nu: 0.0001, Gamma: 0.0625",3,1,58,79,58.156028368794324,0,40,
"Nu: 0.0001, Gamma: 0.1",3,1,55,82,60.28368794326241,0,40,
"Nu: 0.0001, Gamma: 0.2",2,2,30,107,77.30496453900709,0,40,
"Nu: 0.0001, Gamma: 0.5",0,4,0,137,97.16312056737588,0,40,
"Nu: 0.0001, Gamma: 0.7",0,4,1,136,96.45390070921985,0,40,
"Nu: 0.0001, Gamma: 0.9",2,2,0,137,98.58156028368793,0,40,
"Nu: 0.0001, Gamma: 0.99",2,2,0,137,98.58156028368793,0,40,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,137,97.16312056737588,0,40,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,137,97.16312056737588,0,40,
"Nu: 0.0002, Gamma: 0.0003",0,4,0,137,97.16312056737588,0,40,
"Nu: 0.0002, Gamma: 0.0004",0,4,0,137,97.16312056737588,0,40,
"Nu: 0.0002, Gamma: 0.005",0,4,0,137,97.16312056737588,0,40,
"Nu: 0.0002, Gamma: 0.05",3,1,59,78,57.446808510638306,0,40,
"Nu: 0.0002, Gamma: 0.0625",3,1,58,79,58.156028368794324,0,40,
"Nu: 0.0002, Gamma: 0.1",3,1,55,82,60.28368794326241,0,40,
"Nu: 0.0002, Gamma: 0.2",2,2,30,107,77.30496453900709,0,40,
"Nu: 0.0002, Gamma: 0.5",0,4,0,137,97.16312056737588,0,40,
"Nu: 0.0002, Gamma: 0.7",0,4,1,136,96.45390070921985,0,40,
"Nu: 0.0002, Gamma: 0.9",2,2,9,128,92.19858156028369,0,40,
"Nu: 0.0002, Gamma: 0.99",2,2,7,130,93.61702127659575,0,40,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,137,97.16312056737588,0,40,
"Nu: 0.0003, Gamma: 0.0002",0,4,0,137,97.16312056737588,0,40,
"Nu: 0.0003, Gamma: 0.0003",0,4,0,137,97.16312056737588,0,40,
"Nu: 0.0003, Gamma: 0.0004",0,4,0,137,97.16312056737588,0,40,
"Nu: 0.0003, Gamma: 0.005",0,4,0,137,97.16312056737588,0,40,
"Nu: 0.0003, Gamma: 0.05",3,1,59,78,57.446808510638306,0,40,
"Nu: 0.0003, Gamma: 0.0625",3,1,58,79,58.156028368794324,0,40,
"Nu: 0.0003, Gamma: 0.1",3,1,55,82,60.28368794326241,0,40,
"Nu: 0.0003, Gamma: 0.2",2,2,30,107,77.30496453900709,0,40,
"Nu: 0.0003, Gamma: 0.5",3,1,20,117,85.1063829787234,0,40,
"Nu: 0.0003, Gamma: 0.7",2,2,13,124,89.36170212765957,0,40,
"Nu: 0.0003, Gamma: 0.9",2,2,9,128,92.19858156028369,0,40,
"Nu: 0.0003, Gamma: 0.99",2,2,7,130,93.61702127659575,0,40,
"Nu: 0.0004, Gamma: 0.0001",0,4,0,137,97.16312056737588,0,40,
"Nu: 0.0004, Gamma: 0.0002",0,4,0,137,97.16312056737588,0,40,
"Nu: 0.0004, Gamma: 0.0003",0,4,0,137,97.16312056737588,0,40,
"Nu: 0.0004, Gamma: 0.0004",0,4,0,137,97.16312056737588,0,40,
"Nu: 0.0004, Gamma: 0.005",0,4,0,137,97.16312056737588,0,40,
"Nu: 0.0004, Gamma: 0.05",3,1,59,78,57.446808510638306,0,40,
"Nu: 0.0004, Gamma: 0.0625",3,1,58,79,58.156028368794324,0,40,
"Nu: 0.0004, Gamma: 0.1",3,1,55,82,60.28368794326241,0,40,
"Nu: 0.0004, Gamma: 0.2",2,2,30,107,77.30496453900709,0,40,
"Nu: 0.0004, Gamma: 0.5",3,1,20,117,85.1063829787234,0,40,
"Nu: 0.0004, Gamma: 0.7",2,2,20,117,84.39716312056737,0,40,
"Nu: 0.0004, Gamma: 0.9",2,2,12,125,90.0709219858156,0,40,
"Nu: 0.0004, Gamma: 0.99",2,2,21,116,83.68794326241135,0,40,
"Nu: 0.005, Gamma: 0.0001",0,4,0,137,97.16312056737588,0,40,
"Nu: 0.005, Gamma: 0.0002",0,4,0,137,97.16312056737588,0,40,
"Nu: 0.005, Gamma: 0.0003",0,4,0,137,97.16312056737588,0,40,
"Nu: 0.005, Gamma: 0.0004",0,4,0,137,97.16312056737588,0,40,
"Nu: 0.005, Gamma: 0.005",3,1,60,77,56.73758865248227,0,40,
"Nu: 0.005, Gamma: 0.05",3,1,59,78,57.446808510638306,0,40,
"Nu: 0.005, Gamma: 0.0625",3,1,59,78,57.446808510638306,0,40,
"Nu: 0.005, Gamma: 0.1",3,1,58,79,58.156028368794324,0,40,
"Nu: 0.005, Gamma: 0.2",3,1,54,83,60.99290780141844,0,40,
"Nu: 0.005, Gamma: 0.5",2,2,33,104,75.177304964539,0,40,
"Nu: 0.005, Gamma: 0.7",2,2,24,113,81.56028368794325,0,40,
"Nu: 0.005, Gamma: 0.9",2,2,20,117,84.39716312056737,0,40,
"Nu: 0.005, Gamma: 0.99",2,2,20,117,84.39716312056737,0,40,
"Nu: 0.05, Gamma: 0.0001",2,2,88,49,36.17021276595745,0,40,
"Nu: 0.05, Gamma: 0.0002",4,0,137,0,2.8368794326241136,0,40,
"Nu: 0.05, Gamma: 0.0003",4,0,137,0,2.8368794326241136,0,40,
"Nu: 0.05, Gamma: 0.0004",3,1,60,77,56.73758865248227,0,40,
"Nu: 0.05, Gamma: 0.005",3,1,60,77,56.73758865248227,0,40,
"Nu: 0.05, Gamma: 0.05",3,1,62,75,55.319148936170215,0,40,
"Nu: 0.05, Gamma: 0.0625",3,1,61,76,56.02836879432624,0,40,
"Nu: 0.05, Gamma: 0.1",3,1,58,79,58.156028368794324,0,40,
"Nu: 0.05, Gamma: 0.2",3,1,55,82,60.28368794326241,0,40,
"Nu: 0.05, Gamma: 0.5",2,2,33,104,75.177304964539,0,40,
"Nu: 0.05, Gamma: 0.7",2,2,24,113,81.56028368794325,0,40,
"Nu: 0.05, Gamma: 0.9",2,2,20,117,84.39716312056737,0,40,
"Nu: 0.05, Gamma: 0.99",2,2,20,117,84.39716312056737,0,40,
"Nu: 0.0625, Gamma: 0.0001",0,4,4,133,94.32624113475178,0,40,
"Nu: 0.0625, Gamma: 0.0002",0,4,3,134,95.0354609929078,0,40,
"Nu: 0.0625, Gamma: 0.0003",3,1,61,76,56.02836879432624,0,40,
"Nu: 0.0625, Gamma: 0.0004",3,1,61,76,56.02836879432624,0,40,
"Nu: 0.0625, Gamma: 0.005",3,1,62,75,55.319148936170215,0,40,
"Nu: 0.0625, Gamma: 0.05",3,1,61,76,56.02836879432624,0,40,
"Nu: 0.0625, Gamma: 0.0625",3,1,60,77,56.73758865248227,0,40,
"Nu: 0.0625, Gamma: 0.1",3,1,58,79,58.156028368794324,0,40,
"Nu: 0.0625, Gamma: 0.2",3,1,55,82,60.28368794326241,0,40,
"Nu: 0.0625, Gamma: 0.5",2,2,33,104,75.177304964539,0,40,
"Nu: 0.0625, Gamma: 0.7",2,2,24,113,81.56028368794325,0,40,
"Nu: 0.0625, Gamma: 0.9",2,2,20,117,84.39716312056737,0,40,
"Nu: 0.0625, Gamma: 0.99",2,2,20,117,84.39716312056737,0,40,
"Nu: 0.1, Gamma: 0.0001",3,1,52,85,62.4113475177305,0,40,
"Nu: 0.1, Gamma: 0.0002",3,1,57,80,58.86524822695035,0,40,
"Nu: 0.1, Gamma: 0.0003",3,1,57,80,58.86524822695035,0,40,
"Nu: 0.1, Gamma: 0.0004",3,1,57,80,58.86524822695035,0,40,
"Nu: 0.1, Gamma: 0.005",3,1,61,76,56.02836879432624,0,40,
"Nu: 0.1, Gamma: 0.05",3,1,58,79,58.156028368794324,0,40,
"Nu: 0.1, Gamma: 0.0625",3,1,58,79,58.156028368794324,0,40,
"Nu: 0.1, Gamma: 0.1",3,1,57,80,58.86524822695035,0,40,
"Nu: 0.1, Gamma: 0.2",3,1,55,82,60.28368794326241,0,40,
"Nu: 0.1, Gamma: 0.5",2,2,33,104,75.177304964539,0,40,
"Nu: 0.1, Gamma: 0.7",2,2,24,113,81.56028368794325,0,40,
"Nu: 0.1, Gamma: 0.9",2,2,20,117,84.39716312056737,0,40,
"Nu: 0.1, Gamma: 0.99",2,2,20,117,84.39716312056737,0,40,
"Nu: 0.2, Gamma: 0.0001",3,1,50,87,63.829787234042556,0,40,
"Nu: 0.2, Gamma: 0.0002",3,1,54,83,60.99290780141844,0,40,
"Nu: 0.2, Gamma: 0.0003",3,1,56,81,59.57446808510638,0,40,
"Nu: 0.2, Gamma: 0.0004",3,1,56,81,59.57446808510638,0,40,
"Nu: 0.2, Gamma: 0.005",3,1,56,81,59.57446808510638,0,40,
"Nu: 0.2, Gamma: 0.05",3,1,56,81,59.57446808510638,0,40,
"Nu: 0.2, Gamma: 0.0625",3,1,55,82,60.28368794326241,0,40,
"Nu: 0.2, Gamma: 0.1",3,1,55,82,60.28368794326241,0,40,
"Nu: 0.2, Gamma: 0.2",3,1,54,83,60.99290780141844,0,40,
"Nu: 0.2, Gamma: 0.5",2,2,33,104,75.177304964539,0,40,
"Nu: 0.2, Gamma: 0.7",2,2,23,114,82.26950354609929,0,40,
"Nu: 0.2, Gamma: 0.9",2,2,20,117,84.39716312056737,0,40,
"Nu: 0.2, Gamma: 0.99",2,2,20,117,84.39716312056737,0,40,
"Nu: 0.5, Gamma: 0.0001",3,1,47,90,65.95744680851064,0,40,
"Nu: 0.5, Gamma: 0.0002",3,1,41,96,70.2127659574468,0,40,
"Nu: 0.5, Gamma: 0.0003",3,1,41,96,70.2127659574468,0,40,
"Nu: 0.5, Gamma: 0.0004",3,1,41,96,70.2127659574468,0,40,
"Nu: 0.5, Gamma: 0.005",3,1,40,97,70.92198581560284,0,40,
"Nu: 0.5, Gamma: 0.05",2,2,37,100,72.3404255319149,0,40,
"Nu: 0.5, Gamma: 0.0625",2,2,36,101,73.04964539007092,0,40,
"Nu: 0.5, Gamma: 0.1",2,2,33,104,75.177304964539,0,40,
"Nu: 0.5, Gamma: 0.2",2,2,22,115,82.97872340425532,0,40,
"Nu: 0.5, Gamma: 0.5",2,2,18,119,85.81560283687944,0,40,
"Nu: 0.5, Gamma: 0.7",2,2,17,120,86.52482269503547,0,40,
"Nu: 0.5, Gamma: 0.9",2,2,16,121,87.2340425531915,0,40,
"Nu: 0.5, Gamma: 0.99",2,2,15,122,87.94326241134752,0,40,
"Nu: 0.7, Gamma: 0.0001",0,4,11,126,89.36170212765957,0,40,
"Nu: 0.7, Gamma: 0.0002",0,4,11,126,89.36170212765957,0,40,
"Nu: 0.7, Gamma: 0.0003",0,4,10,127,90.0709219858156,0,40,
"Nu: 0.7, Gamma: 0.0004",0,4,17,120,85.1063829787234,0,40,
"Nu: 0.7, Gamma: 0.005",0,4,16,121,85.81560283687944,0,40,
"Nu: 0.7, Gamma: 0.05",0,4,14,123,87.2340425531915,0,40,
"Nu: 0.7, Gamma: 0.0625",0,4,13,124,87.94326241134752,0,40,
"Nu: 0.7, Gamma: 0.1",0,4,12,125,88.65248226950354,0,40,
"Nu: 0.7, Gamma: 0.2",1,3,10,127,90.78014184397163,0,40,
"Nu: 0.7, Gamma: 0.5",2,2,15,122,87.94326241134752,0,40,
"Nu: 0.7, Gamma: 0.7",2,2,11,126,90.78014184397163,0,40,
"Nu: 0.7, Gamma: 0.9",2,2,9,128,92.19858156028369,0,40,
"Nu: 0.7, Gamma: 0.99",2,2,9,128,92.19858156028369,0,40,
"Nu: 0.9, Gamma: 0.0001",0,4,18,119,84.39716312056737,0,40,
"Nu: 0.9, Gamma: 0.0002",0,4,2,135,95.74468085106383,0,40,
"Nu: 0.9, Gamma: 0.0003",0,4,2,135,95.74468085106383,0,40,
"Nu: 0.9, Gamma: 0.0004",0,4,2,135,95.74468085106383,0,40,
"Nu: 0.9, Gamma: 0.005",0,4,2,135,95.74468085106383,0,40,
"Nu: 0.9, Gamma: 0.05",0,4,4,133,94.32624113475178,0,40,
"Nu: 0.9, Gamma: 0.0625",0,4,4,133,94.32624113475178,0,40,
"Nu: 0.9, Gamma: 0.1",0,4,5,132,93.61702127659575,0,40,
"Nu: 0.9, Gamma: 0.2",0,4,5,132,93.61702127659575,0,40,
"Nu: 0.9, Gamma: 0.5",2,2,3,134,96.45390070921985,0,40,
"Nu: 0.9, Gamma: 0.7",2,2,3,134,96.45390070921985,0,40,
"Nu: 0.9, Gamma: 0.9",2,2,0,137,98.58156028368793,0,40,
"Nu: 0.9, Gamma: 0.99",2,2,0,137,98.58156028368793,0,40,
"Nu: 0.99, Gamma: 0.0001",0,4,2,135,95.74468085106383,0,40,
"Nu: 0.99, Gamma: 0.0002",0,4,2,135,95.74468085106383,0,40,
