Features: 16,,,,,,,,,,
Target Class: fluidanimate,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.5,169
"Nu: 0.0001, Gamma: 0.0001",0,4,0,36,90,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,36,90,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,36,90,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,36,90,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,4,0,36,90,0,40,,,
"Nu: 0.0001, Gamma: 0.05",1,3,20,16,42.5,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",1,3,20,16,42.5,0,40,,,
"Nu: 0.0001, Gamma: 0.1",1,3,18,18,47.5,0,40,,,
"Nu: 0.0001, Gamma: 0.2",1,3,12,24,62.5,0,40,,,
"Nu: 0.0001, Gamma: 0.5",0,4,0,36,90,0,40,,,
"Nu: 0.0001, Gamma: 0.7",0,4,2,34,85,0,40,,,
"Nu: 0.0001, Gamma: 0.9",0,4,1,35,87.5,0,40,,,
"Nu: 0.0001, Gamma: 0.99",0,4,1,35,87.5,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,36,90,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,36,90,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,4,0,36,90,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,4,0,36,90,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,4,0,36,90,0,40,,,
"Nu: 0.0002, Gamma: 0.05",1,3,20,16,42.5,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",1,3,20,16,42.5,0,40,,,
"Nu: 0.0002, Gamma: 0.1",1,3,18,18,47.5,0,40,,,
"Nu: 0.0002, Gamma: 0.2",1,3,12,24,62.5,0,40,,,
"Nu: 0.0002, Gamma: 0.5",0,4,6,30,75,0,40,,,
"Nu: 0.0002, Gamma: 0.7",3,1,23,13,40,0,40,,,
"Nu: 0.0002, Gamma: 0.9",3,1,25,11,35,0,40,,,
"Nu: 0.0002, Gamma: 0.99",3,1,25,11,35,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,36,90,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,4,0,36,90,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,4,0,36,90,0,40,,,
