Features: 16,,,,,,,,,,
Target Class: freqmine,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.52336449,3
"Nu: 0.0001, Gamma: 0.0001",0,16,0,198,92.52336449,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,16,0,198,92.52336449,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,16,0,198,92.52336449,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,16,0,198,92.52336449,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,16,0,198,92.52336449,0,40,,,
"Nu: 0.0001, Gamma: 0.05",7,9,83,115,57.00934579,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",7,9,80,118,58.41121495,0,40,,,
"Nu: 0.0001, Gamma: 0.1",7,9,67,131,64.48598131,0,40,,,
"Nu: 0.0001, Gamma: 0.2",1,15,2,196,92.05607477,0,40,,,
"Nu: 0.0001, Gamma: 0.5",14,2,175,23,17.28971963,0,40,,,
"Nu: 0.0001, Gamma: 0.7",6,10,95,103,50.93457944,0,40,,,
"Nu: 0.0001, Gamma: 0.9",15,1,168,30,21.02803738,0,40,,,
"Nu: 0.0001, Gamma: 0.99",15,1,165,33,22.42990654,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,16,0,198,92.52336449,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,16,0,198,92.52336449,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,16,0,198,92.52336449,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,16,0,198,92.52336449,0,40,,,
"Nu: 0.0002, Gamma: 0.005",8,8,88,110,55.14018692,0,40,,,
"Nu: 0.0002, Gamma: 0.05",7,9,83,115,57.00934579,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",7,9,80,118,58.41121495,0,40,,,
"Nu: 0.0002, Gamma: 0.1",7,9,67,131,64.48598131,0,40,,,
"Nu: 0.0002, Gamma: 0.2",16,0,192,6,10.28037383,0,40,,,
"Nu: 0.0002, Gamma: 0.5",16,0,169,29,21.02803738,0,40,,,
"Nu: 0.0002, Gamma: 0.7",16,0,179,19,16.35514019,0,40,,,
"Nu: 0.0002, Gamma: 0.9",13,3,168,30,20.09345794,0,40,,,
"Nu: 0.0002, Gamma: 0.99",13,3,165,33,21.4953271,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,16,0,198,92.52336449,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,16,0,198,92.52336449,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,16,0,198,92.52336449,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,16,0,198,92.52336449,0,40,,,
"Nu: 0.0003, Gamma: 0.005",8,8,88,110,55.14018692,0,40,,,
"Nu: 0.0003, Gamma: 0.05",16,0,197,1,7.943925234,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",16,0,197,1,7.943925234,0,40,,,
"Nu: 0.0003, Gamma: 0.1",15,1,196,2,7.943925234,0,40,,,
"Nu: 0.0003, Gamma: 0.2",15,1,195,3,8.411214953,0,40,,,
"Nu: 0.0003, Gamma: 0.5",16,0,189,9,11.68224299,0,40,,,
"Nu: 0.0003, Gamma: 0.7",16,0,179,19,16.35514019,0,40,,,
"Nu: 0.0003, Gamma: 0.9",16,0,163,35,23.8317757,0,40,,,
"Nu: 0.0003, Gamma: 0.99",16,0,162,36,24.29906542,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,16,0,198,92.52336449,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,16,0,198,92.52336449,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,16,0,198,92.52336449,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,16,0,198,92.52336449,0,40,,,
"Nu: 0.0004, Gamma: 0.005",8,8,88,110,55.14018692,0,40,,,
"Nu: 0.0004, Gamma: 0.05",16,0,197,1,7.943925234,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",16,0,197,1,7.943925234,0,40,,,
"Nu: 0.0004, Gamma: 0.1",15,1,196,2,7.943925234,0,40,,,
"Nu: 0.0004, Gamma: 0.2",16,0,196,2,8.411214953,0,40,,,
"Nu: 0.0004, Gamma: 0.5",16,0,189,9,11.68224299,0,40,,,
"Nu: 0.0004, Gamma: 0.7",16,0,172,26,19.62616822,0,40,,,
"Nu: 0.0004, Gamma: 0.9",16,0,163,35,23.8317757,0,40,,,
"Nu: 0.0004, Gamma: 0.99",16,0,162,36,24.29906542,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,16,0,198,92.52336449,0,40,,,
"Nu: 0.005, Gamma: 0.0002",8,8,89,109,54.6728972,0,40,,,
"Nu: 0.005, Gamma: 0.0003",8,8,89,109,54.6728972,0,40,,,
"Nu: 0.005, Gamma: 0.0004",8,8,89,109,54.6728972,0,40,,,
"Nu: 0.005, Gamma: 0.005",16,0,193,5,9.813084112,0,40,,,
"Nu: 0.005, Gamma: 0.05",16,0,197,1,7.943925234,0,40,,,
"Nu: 0.005, Gamma: 0.0625",16,0,197,1,7.943925234,0,40,,,
"Nu: 0.005, Gamma: 0.1",16,0,197,1,7.943925234,0,40,,,
"Nu: 0.005, Gamma: 0.2",16,0,196,2,8.411214953,0,40,,,
"Nu: 0.005, Gamma: 0.5",16,0,189,9,11.68224299,0,40,,,
"Nu: 0.005, Gamma: 0.7",16,0,168,30,21.4953271,0,40,,,
"Nu: 0.005, Gamma: 0.9",15,1,161,37,24.29906542,0,40,,,
"Nu: 0.005, Gamma: 0.99",15,1,165,33,22.42990654,0,40,,,
"Nu: 0.05, Gamma: 0.0001",15,1,195,3,8.411214953,0,40,,,
"Nu: 0.05, Gamma: 0.0002",15,1,195,3,8.411214953,0,40,,,
"Nu: 0.05, Gamma: 0.0003",7,9,89,109,54.20560748,0,40,,,
"Nu: 0.05, Gamma: 0.0004",8,8,99,99,50,0,40,,,
"Nu: 0.05, Gamma: 0.005",15,1,181,17,14.95327103,0,40,,,
"Nu: 0.05, Gamma: 0.05",15,1,180,18,15.42056075,0,40,,,
"Nu: 0.05, Gamma: 0.0625",15,1,180,18,15.42056075,0,40,,,
"Nu: 0.05, Gamma: 0.1",15,1,180,18,15.42056075,0,40,,,
"Nu: 0.05, Gamma: 0.2",15,1,179,19,15.88785047,0,40,,,
"Nu: 0.05, Gamma: 0.5",15,1,171,27,19.62616822,0,40,,,
"Nu: 0.05, Gamma: 0.7",15,1,166,32,21.96261682,0,40,,,
"Nu: 0.05, Gamma: 0.9",14,2,162,36,23.36448598,0,40,,,
"Nu: 0.05, Gamma: 0.99",14,2,158,40,25.23364486,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",15,1,176,22,17.28971963,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",15,1,176,22,17.28971963,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",15,1,177,21,16.82242991,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",15,1,180,18,15.42056075,0,40,,,
"Nu: 0.0625, Gamma: 0.005",15,1,180,18,15.42056075,0,40,,,
"Nu: 0.0625, Gamma: 0.05",15,1,178,20,16.35514019,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",15,1,178,20,16.35514019,0,40,,,
"Nu: 0.0625, Gamma: 0.1",15,1,180,18,15.42056075,0,40,,,
"Nu: 0.0625, Gamma: 0.2",15,1,179,19,15.88785047,0,40,,,
"Nu: 0.0625, Gamma: 0.5",15,1,171,27,19.62616822,0,40,,,
"Nu: 0.0625, Gamma: 0.7",15,1,163,35,23.36448598,0,40,,,
"Nu: 0.0625, Gamma: 0.9",14,2,160,38,24.29906542,0,40,,,
"Nu: 0.0625, Gamma: 0.99",14,2,147,51,30.37383178,0,40,,,
"Nu: 0.1, Gamma: 0.0001",15,1,193,5,9.345794393,0,40,,,
"Nu: 0.1, Gamma: 0.0002",9,7,111,87,44.85981308,0,40,,,
"Nu: 0.1, Gamma: 0.0003",14,2,153,45,27.57009346,0,40,,,
"Nu: 0.1, Gamma: 0.0004",14,2,153,45,27.57009346,0,40,,,
