Features: 16,,,,,,,,
Target Class: raytrace,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0001, Gamma: 0.0001",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.0001, Gamma: 0.005",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.0001, Gamma: 0.05",4,0,25,4,24.242424242424242,0,40,
"Nu: 0.0001, Gamma: 0.0625",4,0,25,4,24.242424242424242,0,40,
"Nu: 0.0001, Gamma: 0.1",4,0,25,4,24.242424242424242,0,40,
"Nu: 0.0001, Gamma: 0.2",2,2,7,22,72.72727272727273,0,40,
"Nu: 0.0001, Gamma: 0.5",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.0001, Gamma: 0.7",2,2,15,14,48.484848484848484,0,40,
"Nu: 0.0001, Gamma: 0.9",2,2,15,14,48.484848484848484,0,40,
"Nu: 0.0001, Gamma: 0.99",2,2,15,14,48.484848484848484,0,40,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.0002, Gamma: 0.0003",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.0002, Gamma: 0.0004",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.0002, Gamma: 0.005",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.0002, Gamma: 0.05",4,0,25,4,24.242424242424242,0,40,
"Nu: 0.0002, Gamma: 0.0625",4,0,25,4,24.242424242424242,0,40,
"Nu: 0.0002, Gamma: 0.1",4,0,25,4,24.242424242424242,0,40,
"Nu: 0.0002, Gamma: 0.2",2,2,7,22,72.72727272727273,0,40,
"Nu: 0.0002, Gamma: 0.5",2,2,22,7,27.27272727272727,0,40,
"Nu: 0.0002, Gamma: 0.7",1,3,10,19,60.60606060606061,0,40,
"Nu: 0.0002, Gamma: 0.9",1,3,17,12,39.39393939393939,0,40,
"Nu: 0.0002, Gamma: 0.99",1,3,17,12,39.39393939393939,0,40,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.0003, Gamma: 0.0002",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.0003, Gamma: 0.0003",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.0003, Gamma: 0.0004",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.0003, Gamma: 0.005",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.0003, Gamma: 0.05",4,0,25,4,24.242424242424242,0,40,
"Nu: 0.0003, Gamma: 0.0625",4,0,25,4,24.242424242424242,0,40,
"Nu: 0.0003, Gamma: 0.1",4,0,25,4,24.242424242424242,0,40,
"Nu: 0.0003, Gamma: 0.2",2,2,7,22,72.72727272727273,0,40,
"Nu: 0.0003, Gamma: 0.5",2,2,22,7,27.27272727272727,0,40,
"Nu: 0.0003, Gamma: 0.7",1,3,10,19,60.60606060606061,0,40,
"Nu: 0.0003, Gamma: 0.9",1,3,17,12,39.39393939393939,0,40,
"Nu: 0.0003, Gamma: 0.99",1,3,17,12,39.39393939393939,0,40,
"Nu: 0.0004, Gamma: 0.0001",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.0004, Gamma: 0.0002",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.0004, Gamma: 0.0003",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.0004, Gamma: 0.0004",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.0004, Gamma: 0.005",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.0004, Gamma: 0.05",4,0,25,4,24.242424242424242,0,40,
"Nu: 0.0004, Gamma: 0.0625",4,0,25,4,24.242424242424242,0,40,
"Nu: 0.0004, Gamma: 0.1",4,0,25,4,24.242424242424242,0,40,
"Nu: 0.0004, Gamma: 0.2",2,2,7,22,72.72727272727273,0,40,
"Nu: 0.0004, Gamma: 0.5",2,2,22,7,27.27272727272727,0,40,
"Nu: 0.0004, Gamma: 0.7",2,2,26,3,15.151515151515152,0,40,
"Nu: 0.0004, Gamma: 0.9",1,3,15,14,45.45454545454545,0,40,
"Nu: 0.0004, Gamma: 0.99",1,3,15,14,45.45454545454545,0,40,
"Nu: 0.005, Gamma: 0.0001",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.005, Gamma: 0.0002",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.005, Gamma: 0.0003",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.005, Gamma: 0.0004",0,4,0,29,87.87878787878788,0,40,
"Nu: 0.005, Gamma: 0.005",4,0,26,3,21.21212121212121,0,40,
"Nu: 0.005, Gamma: 0.05",4,0,26,3,21.21212121212121,0,40,
"Nu: 0.005, Gamma: 0.0625",4,0,26,3,21.21212121212121,0,40,
"Nu: 0.005, Gamma: 0.1",4,0,26,3,21.21212121212121,0,40,
"Nu: 0.005, Gamma: 0.2",3,1,26,3,18.181818181818183,0,40,
"Nu: 0.005, Gamma: 0.5",2,2,28,1,9.090909090909092,0,40,
"Nu: 0.005, Gamma: 0.7",2,2,21,8,30.303030303030305,0,40,
"Nu: 0.005, Gamma: 0.9",3,1,17,12,45.45454545454545,0,40,
"Nu: 0.005, Gamma: 0.99",2,2,13,16,54.54545454545454,0,40,
"Nu: 0.05, Gamma: 0.0001",4,0,26,3,21.21212121212121,0,40,
"Nu: 0.05, Gamma: 0.0002",4,0,26,3,21.21212121212121,0,40,
"Nu: 0.05, Gamma: 0.0003",4,0,26,3,21.21212121212121,0,40,
