Features: 16,,,,,,,,,,
Target Class: streamcluster,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,100,117
"Nu: 0.0001, Gamma: 0.0001",0,12,0,208,94.54545455,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,12,0,208,94.54545455,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,12,0,208,94.54545455,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,12,0,208,94.54545455,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,12,0,208,94.54545455,0,40,,,
"Nu: 0.0001, Gamma: 0.05",12,0,206,2,6.363636364,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",12,0,205,3,6.818181818,0,40,,,
"Nu: 0.0001, Gamma: 0.1",12,0,183,25,16.81818182,0,40,,,
"Nu: 0.0001, Gamma: 0.2",9,3,103,105,51.81818182,0,40,,,
"Nu: 0.0001, Gamma: 0.5",1,11,52,156,71.36363636,0,40,,,
"Nu: 0.0001, Gamma: 0.7",8,4,6,202,95.45454545,0,40,,,
"Nu: 0.0001, Gamma: 0.9",9,3,45,163,78.18181818,0,40,,,
"Nu: 0.0001, Gamma: 0.99",9,3,44,164,78.63636364,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,12,0,208,94.54545455,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,12,0,208,94.54545455,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,12,0,208,94.54545455,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,12,0,208,94.54545455,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,12,0,208,94.54545455,0,40,,,
"Nu: 0.0002, Gamma: 0.05",12,0,206,2,6.363636364,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",12,0,205,3,6.818181818,0,40,,,
"Nu: 0.0002, Gamma: 0.1",12,0,183,25,16.81818182,0,40,,,
"Nu: 0.0002, Gamma: 0.2",12,0,116,92,47.27272727,0,40,,,
"Nu: 0.0002, Gamma: 0.5",8,4,50,158,75.45454545,0,40,,,
"Nu: 0.0002, Gamma: 0.7",12,0,46,162,79.09090909,0,40,,,
"Nu: 0.0002, Gamma: 0.9",9,3,45,163,78.18181818,0,40,,,
"Nu: 0.0002, Gamma: 0.99",9,3,34,174,83.18181818,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,12,0,208,94.54545455,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,12,0,208,94.54545455,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,12,0,208,94.54545455,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,12,0,208,94.54545455,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,12,0,208,94.54545455,0,40,,,
"Nu: 0.0003, Gamma: 0.05",12,0,206,2,6.363636364,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",12,0,205,3,6.818181818,0,40,,,
"Nu: 0.0003, Gamma: 0.1",12,0,172,36,21.81818182,0,40,,,
"Nu: 0.0003, Gamma: 0.2",12,0,116,92,47.27272727,0,40,,,
"Nu: 0.0003, Gamma: 0.5",12,0,56,152,74.54545455,0,40,,,
"Nu: 0.0003, Gamma: 0.7",12,0,55,153,75,0,40,,,
"Nu: 0.0003, Gamma: 0.9",11,1,51,157,76.36363636,0,40,,,
"Nu: 0.0003, Gamma: 0.99",9,3,50,158,75.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,12,0,208,94.54545455,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,12,0,208,94.54545455,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,12,0,208,94.54545455,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,12,0,208,94.54545455,0,40,,,
"Nu: 0.0004, Gamma: 0.005",12,0,208,0,5.454545455,0,40,,,
"Nu: 0.0004, Gamma: 0.05",12,0,206,2,6.363636364,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",12,0,205,3,6.818181818,0,40,,,
"Nu: 0.0004, Gamma: 0.1",12,0,204,4,7.272727273,0,40,,,
"Nu: 0.0004, Gamma: 0.2",12,0,116,92,47.27272727,0,40,,,
"Nu: 0.0004, Gamma: 0.5",12,0,56,152,74.54545455,0,40,,,
"Nu: 0.0004, Gamma: 0.7",12,0,56,152,74.54545455,0,40,,,
"Nu: 0.0004, Gamma: 0.9",11,1,56,152,74.09090909,0,40,,,
"Nu: 0.0004, Gamma: 0.99",12,0,52,156,76.36363636,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,12,0,208,94.54545455,0,40,,,
"Nu: 0.005, Gamma: 0.0002",0,12,0,208,94.54545455,0,40,,,
"Nu: 0.005, Gamma: 0.0003",0,12,0,208,94.54545455,0,40,,,
"Nu: 0.005, Gamma: 0.0004",12,0,208,0,5.454545455,0,40,,,
"Nu: 0.005, Gamma: 0.005",12,0,208,0,5.454545455,0,40,,,
"Nu: 0.005, Gamma: 0.05",12,0,208,0,5.454545455,0,40,,,
"Nu: 0.005, Gamma: 0.0625",12,0,207,1,5.909090909,0,40,,,
"Nu: 0.005, Gamma: 0.1",12,0,206,2,6.363636364,0,40,,,
"Nu: 0.005, Gamma: 0.2",12,0,149,59,32.27272727,0,40,,,
"Nu: 0.005, Gamma: 0.5",12,0,62,146,71.81818182,0,40,,,
"Nu: 0.005, Gamma: 0.7",12,0,59,149,73.18181818,0,40,,,
"Nu: 0.005, Gamma: 0.9",12,0,51,157,76.81818182,0,40,,,
"Nu: 0.005, Gamma: 0.99",12,0,48,160,78.18181818,0,40,,,
"Nu: 0.05, Gamma: 0.0001",12,0,204,4,7.272727273,0,40,,,
"Nu: 0.05, Gamma: 0.0002",12,0,118,90,46.36363636,0,40,,,
"Nu: 0.05, Gamma: 0.0003",12,0,118,90,46.36363636,0,40,,,
"Nu: 0.05, Gamma: 0.0004",12,0,118,90,46.36363636,0,40,,,
