From router 0 to router 0,From router 0 to router 1,From router 0 to router 2,From router 0 to router 3,From router 0 to router 4,From router 0 to router 5,From router 0 to router 6,From router 0 to router 7,From router 0 to router 8,From router 0 to router 9,From router 0 to router 10,From router 0 to router 11,From router 0 to router 12,From router 0 to router 13,From router 0 to router 14,From router 0 to router 15,From router 1 to router 0,From router 1 to router 1,From router 1 to router 2,From router 1 to router 3,From router 1 to router 4,From router 1 to router 5,From router 1 to router 6,From router 1 to router 7,From router 1 to router 8,From router 1 to router 9,From router 1 to router 10,From router 1 to router 11,From router 1 to router 12,From router 1 to router 13,From router 1 to router 14,From router 1 to router 15,From router 2 to router 0,From router 2 to router 1,From router 2 to router 2,From router 2 to router 3,From router 2 to router 4,From router 2 to router 5,From router 2 to router 6,From router 2 to router 7,From router 2 to router 8,From router 2 to router 9,From router 2 to router 10,From router 2 to router 11,From router 2 to router 12,From router 2 to router 13,From router 2 to router 14,From router 2 to router 15,From router 3 to router 0,From router 3 to router 1,From router 3 to router 2,From router 3 to router 3,From router 3 to router 4,From router 3 to router 5,From router 3 to router 6,From router 3 to router 7,From router 3 to router 8,From router 3 to router 9,From router 3 to router 10,From router 3 to router 11,From router 3 to router 12,From router 3 to router 13,From router 3 to router 14,From router 3 to router 15,From router 4 to router 0,From router 4 to router 1,From router 4 to router 2,From router 4 to router 3,From router 4 to router 4,From router 4 to router 5,From router 4 to router 6,From router 4 to router 7,From router 4 to router 8,From router 4 to router 9,From router 4 to router 10,From router 4 to router 11,From router 4 to router 12,From router 4 to router 13,From router 4 to router 14,From router 4 to router 15,From router 5 to router 0,From router 5 to router 1,From router 5 to router 2,From router 5 to router 3,From router 5 to router 4,From router 5 to router 5,From router 5 to router 6,From router 5 to router 7,From router 5 to router 8,From router 5 to router 9,From router 5 to router 10,From router 5 to router 11,From router 5 to router 12,From router 5 to router 13,From router 5 to router 14,From router 5 to router 15,From router 6 to router 0,From router 6 to router 1,From router 6 to router 2,From router 6 to router 3,From router 6 to router 4,From router 6 to router 5,From router 6 to router 6,From router 6 to router 7,From router 6 to router 8,From router 6 to router 9,From router 6 to router 10,From router 6 to router 11,From router 6 to router 12,From router 6 to router 13,From router 6 to router 14,From router 6 to router 15,From router 7 to router 0,From router 7 to router 1,From router 7 to router 2,From router 7 to router 3,From router 7 to router 4,From router 7 to router 5,From router 7 to router 6,From router 7 to router 7,From router 7 to router 8,From router 7 to router 9,From router 7 to router 10,From router 7 to router 11,From router 7 to router 12,From router 7 to router 13,From router 7 to router 14,From router 7 to router 15,From router 8 to router 0,From router 8 to router 1,From router 8 to router 2,From router 8 to router 3,From router 8 to router 4,From router 8 to router 5,From router 8 to router 6,From router 8 to router 7,From router 8 to router 8,From router 8 to router 9,From router 8 to router 10,From router 8 to router 11,From router 8 to router 12,From router 8 to router 13,From router 8 to router 14,From router 8 to router 15,From router 9 to router 0,From router 9 to router 1,From router 9 to router 2,From router 9 to router 3,From router 9 to router 4,From router 9 to router 5,From router 9 to router 6,From router 9 to router 7,From router 9 to router 8,From router 9 to router 9,From router 9 to router 10,From router 9 to router 11,From router 9 to router 12,From router 9 to router 13,From router 9 to router 14,From router 9 to router 15,From router 10 to router 0,From router 10 to router 1,From router 10 to router 2,From router 10 to router 3,From router 10 to router 4,From router 10 to router 5,From router 10 to router 6,From router 10 to router 7,From router 10 to router 8,From router 10 to router 9,From router 10 to router 10,From router 10 to router 11,From router 10 to router 12,From router 10 to router 13,From router 10 to router 14,From router 10 to router 15,From router 11 to router 0,From router 11 to router 1,From router 11 to router 2,From router 11 to router 3,From router 11 to router 4,From router 11 to router 5,From router 11 to router 6,From router 11 to router 7,From router 11 to router 8,From router 11 to router 9,From router 11 to router 10,From router 11 to router 11,From router 11 to router 12,From router 11 to router 13,From router 11 to router 14,From router 11 to router 15,From router 12 to router 0,From router 12 to router 1,From router 12 to router 2,From router 12 to router 3,From router 12 to router 4,From router 12 to router 5,From router 12 to router 6,From router 12 to router 7,From router 12 to router 8,From router 12 to router 9,From router 12 to router 10,From router 12 to router 11,From router 12 to router 12,From router 12 to router 13,From router 12 to router 14,From router 12 to router 15,From router 13 to router 0,From router 13 to router 1,From router 13 to router 2,From router 13 to router 3,From router 13 to router 4,From router 13 to router 5,From router 13 to router 6,From router 13 to router 7,From router 13 to router 8,From router 13 to router 9,From router 13 to router 10,From router 13 to router 11,From router 13 to router 12,From router 13 to router 13,From router 13 to router 14,From router 13 to router 15,From router 14 to router 0,From router 14 to router 1,From router 14 to router 2,From router 14 to router 3,From router 14 to router 4,From router 14 to router 5,From router 14 to router 6,From router 14 to router 7,From router 14 to router 8,From router 14 to router 9,From router 14 to router 10,From router 14 to router 11,From router 14 to router 12,From router 14 to router 13,From router 14 to router 14,From router 14 to router 15,From router 15 to router 0,From router 15 to router 1,From router 15 to router 2,From router 15 to router 3,From router 15 to router 4,From router 15 to router 5,From router 15 to router 6,From router 15 to router 7,From router 15 to router 8,From router 15 to router 9,From router 15 to router 10,From router 15 to router 11,From router 15 to router 12,From router 15 to router 13,From router 15 to router 14,From router 15 to router 15,Applications (Label Classes)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,swaptions_MRURP
2686,2573,2477,2776,2567,2597,2586,2575,2875,3032,2512,2492,2508,2762,2617,2635,2393,2349,2361,2576,2201,2234,2511,2348,2507,2642,2426,2209,2351,2606,2350,2304,2469,2458,2474,2648,2448,2498,2573,2463,3273,2711,2449,2498,2528,2535,2365,2365,2571,2477,2365,2606,2364,2514,2582,2427,2934,2822,2597,2555,2492,2581,2383,2437,2794,2532,2588,3344,2494,2705,2680,2789,4137,2717,2908,2724,2591,2650,2476,2498,2386,2238,2254,2422,2265,2328,2371,2349,2702,2531,2337,2283,2315,2297,2261,2257,2077,1958,1913,1950,1910,1999,2023,2093,2428,2294,2080,2020,1905,1992,1920,1870,2489,2214,2178,2175,2216,2568,2328,2362,2494,2397,2406,2254,2147,2185,2177,2143,2325,2401,2146,2138,2187,2471,2255,2208,2351,2298,2222,2109,2074,2194,2066,2028,2298,2449,2110,2203,2245,2434,2390,2172,2354,2385,2197,2353,2139,2191,2122,2081,2706,2852,2658,2621,2653,2950,2774,2568,2760,2809,2646,2711,2507,2638,3766,2589,2564,2743,2516,2535,2556,2782,2592,2478,2277,2342,2485,2640,2414,2584,3195,2383,2446,2527,2294,2363,2381,2327,2420,2316,2663,2631,2311,2523,2280,2351,2446,2249,2338,2308,2305,2263,2245,2329,2389,2262,2550,2602,2208,2372,2223,2244,2522,2393,2248,2164,2137,2205,2101,2182,2299,2105,2320,2509,2062,2213,2051,2298,2317,2198,2062,2014,2055,2081,1898,2023,2173,2021,2449,2576,1998,2086,1938,2185,2108,2130,swaptions_MRURP
2716,2609,2514,2678,2554,2592,2600,2565,2839,2944,2474,2499,2475,2652,2526,2632,2399,2374,2355,2583,2341,2306,2512,2322,2540,2565,2395,2252,2372,2432,2366,2440,2431,2451,2405,2861,2409,2555,2607,2459,3205,2713,2476,2539,2556,2542,2449,2414,2534,2429,2463,2599,2391,2540,2563,2488,2873,2848,2500,2503,2408,2560,2350,2540,2702,2704,2575,3316,2551,2604,2693,2760,3955,2850,2746,2592,2583,2497,2505,2570,2386,2324,2284,2444,2217,2327,2422,2353,2643,2382,2309,2363,2307,2271,2273,2212,2132,1941,1878,1866,1872,2036,2047,2035,2424,2278,2085,2016,1896,1888,1883,1879,2424,2248,2165,2127,2259,2601,2340,2396,2385,2438,2437,2257,2131,2196,2164,2194,2211,2400,2067,2083,2162,2466,2264,2293,2329,2371,2178,2162,2083,2130,2105,2060,2302,2409,2110,2115,2245,2529,2353,2142,2343,2403,2169,2343,2078,2161,2145,2109,2605,2889,2642,2600,2656,2946,2845,2573,2764,2803,2670,2696,2555,2608,3787,2601,2527,2730,2552,2461,2587,2774,2584,2446,2308,2354,2466,2589,2461,2469,3312,2418,2397,2525,2340,2354,2299,2451,2427,2292,2659,2749,2378,2497,2187,2282,2525,2255,2319,2292,2281,2218,2245,2316,2432,2292,2555,2621,2265,2413,2177,2228,2489,2406,2172,2156,2055,2120,2084,2188,2335,2191,2354,2529,2084,2206,2020,2283,2256,2235,2055,2033,1991,2053,1930,2047,2182,2057,2378,2623,2021,2086,1941,2165,2036,2082,swaptions_MRURP
2733,2677,2473,2730,2604,2551,2641,2559,2864,2944,2453,2458,2442,2634,2554,2589,2414,2366,2361,2542,2310,2307,2489,2285,2609,2544,2367,2293,2401,2430,2270,2469,2405,2461,2401,3090,2519,2468,2571,2447,3198,2622,2505,2475,2532,2528,2418,2377,2557,2546,2479,2562,2394,2506,2505,2426,2879,2748,2532,2461,2367,2511,2419,2424,2749,2558,2671,3219,2537,2572,2735,2641,3955,2713,2807,2646,2672,2626,2479,2525,2412,2348,2270,2383,2288,2260,2342,2405,2712,2407,2352,2291,2318,2224,2259,2303,2087,2007,1874,1863,1947,1990,2047,2083,2436,2257,2098,1952,1848,1846,1983,1898,2398,2259,2139,2185,2290,2833,2284,2349,2453,2428,2477,2257,2108,2195,2162,2149,2268,2458,2159,2101,2209,2469,2243,2217,2416,2408,2169,2190,2094,2058,2056,2097,2310,2438,2098,2181,2272,2498,2315,2229,2365,2400,2216,2337,2126,2098,2135,2153,2694,2880,2732,2657,2710,2934,2784,2617,2779,2809,2626,2705,2574,2583,3818,2650,2571,2748,2510,2417,2562,2707,2529,2512,2343,2350,2533,2612,2432,2491,3226,2410,2328,2604,2226,2267,2362,2422,2400,2321,2716,2683,2309,2481,2211,2271,2591,2230,2343,2352,2250,2256,2247,2326,2440,2255,2561,2558,2309,2378,2182,2182,2510,2307,2159,2149,2088,2134,2093,2180,2302,2116,2347,2491,2079,2253,2101,2306,2214,2228,2036,2077,1914,2037,1974,2060,2120,2083,2403,2547,2028,2032,1954,2053,2035,2121,swaptions_MRURP
2727,2561,2484,2678,2533,2620,2638,2583,2865,2955,2538,2464,2467,2644,2539,2646,2385,2339,2349,2553,2369,2225,2455,2275,2546,2587,2339,2259,2360,2508,2338,2415,2405,2466,2450,2929,2460,2448,2565,2426,3201,2708,2477,2526,2497,2534,2426,2424,2555,2485,2410,2557,2370,2474,2566,2380,2925,2835,2543,2412,2383,2541,2312,2488,2729,2689,2565,3212,2494,2745,2639,2719,3953,2891,2769,2745,2620,2601,2581,2582,2466,2280,2223,2393,2257,2259,2349,2413,2621,2476,2386,2261,2345,2309,2286,2213,2088,1947,1963,1806,1869,2023,2089,2103,2442,2272,2099,1993,1887,1967,1912,1957,2567,2255,2188,2171,2269,2492,2309,2349,2432,2436,2501,2296,2146,2144,2179,2118,2353,2367,2137,2122,2193,2450,2244,2219,2382,2358,2238,2235,2130,2046,2039,2097,2315,2419,2142,2172,2240,2443,2364,2136,2312,2430,2182,2329,2164,2128,2216,2105,2666,2893,2735,2601,2650,2960,2761,2608,2746,2823,2555,2722,2568,2561,3786,2592,2538,2715,2557,2480,2580,2701,2605,2544,2306,2322,2493,2632,2470,2469,3387,2412,2382,2533,2250,2304,2340,2349,2440,2255,2600,2706,2304,2489,2247,2308,2457,2168,2374,2335,2317,2260,2251,2264,2374,2208,2570,2609,2232,2390,2226,2246,2434,2329,2219,2204,2135,2097,2087,2145,2289,2140,2352,2519,2055,2210,2049,2322,2248,2150,2131,1993,2024,2030,1957,2014,2119,2041,2451,2628,1996,2008,1932,2115,2061,2113,swaptions_MRURP
2669,2604,2502,2707,2539,2618,2595,2563,2824,2926,2520,2494,2466,2689,2523,2581,2377,2387,2407,2434,2286,2244,2429,2269,2482,2544,2372,2267,2421,2436,2366,2340,2472,2477,2430,2909,2432,2493,2600,2453,3112,2714,2468,2496,2546,2496,2349,2432,2606,2452,2394,2498,2361,2480,2534,2434,2793,2809,2534,2463,2381,2595,2344,2418,2767,2755,2591,3335,2544,2571,2636,2734,4169,2817,2628,2646,2798,2494,2507,2546,2324,2285,2365,2354,2240,2316,2297,2382,2686,2493,2364,2308,2268,2254,2310,2211,2068,1954,1951,1874,1821,2013,2053,2016,2451,2274,2071,2029,1880,1853,1944,1887,2535,2199,2217,2115,2264,2412,2318,2309,2357,2368,2529,2271,2116,2117,2161,2155,2227,2369,2079,2025,2259,2466,2253,2254,2339,2341,2221,2263,2061,2068,2173,2068,2291,2403,2143,2117,2270,2425,2369,2151,2342,2394,2227,2290,2144,2123,2136,2139,2701,2823,2709,2594,2701,2934,2814,2551,2734,2750,2595,2686,2549,2565,3700,2554,2609,2749,2610,2489,2602,2743,2594,2537,2279,2332,2430,2696,2357,2462,3254,2447,2366,2551,2320,2388,2410,2389,2428,2302,2579,2683,2243,2477,2203,2284,2502,2224,2364,2243,2330,2264,2230,2258,2397,2265,2545,2583,2254,2380,2212,2195,2436,2385,2264,2107,2129,2156,2100,2112,2340,2143,2295,2510,2152,2208,2099,2286,2133,2235,2067,2029,1948,2053,1977,2005,2108,2063,2381,2577,2029,2081,1952,2133,2089,2089,swaptions_MRURP
2630,2615,2498,2661,2572,2545,2642,2559,2829,2940,2502,2483,2438,2665,2570,2635,2337,2355,2373,2450,2277,2354,2453,2227,2525,2570,2287,2277,2400,2464,2377,2336,2429,2521,2409,3001,2475,2493,2582,2462,3271,2709,2455,2460,2507,2553,2391,2417,2558,2354,2453,2457,2390,2468,2542,2416,2881,2822,2552,2451,2401,2571,2394,2376,2639,2564,2591,3172,2515,2663,2630,2647,3962,2804,2699,2503,2621,2599,2458,2559,2350,2250,2234,2435,2314,2334,2347,2440,2683,2470,2324,2262,2238,2236,2273,2292,2063,1959,1964,1899,1913,2033,2015,2049,2444,2295,2038,1955,1856,1932,1895,1902,2501,2310,2169,2141,2236,2498,2284,2329,2415,2380,2438,2212,2176,2199,2194,2132,2291,2344,2093,2149,2116,2519,2234,2193,2267,2365,2201,2193,2076,2140,2138,2030,2304,2441,2115,2177,2270,2510,2330,2182,2409,2414,2237,2323,2150,2126,2135,2171,2699,2910,2704,2573,2654,2958,2792,2667,2748,2882,2563,2684,2527,2613,3844,2515,2567,2743,2565,2495,2575,2766,2597,2480,2303,2281,2451,2659,2434,2438,3378,2397,2439,2459,2326,2347,2370,2443,2427,2336,2640,2690,2288,2537,2279,2300,2538,2225,2337,2267,2303,2227,2251,2373,2427,2213,2565,2602,2229,2346,2212,2228,2495,2372,2177,2148,2116,2143,2066,2161,2281,2151,2372,2468,2087,2190,2075,2223,2244,2222,2071,2057,2012,2047,2003,2022,2142,2056,2434,2562,2000,2090,1899,2123,2113,2088,swaptions_MRURP
2671,2605,2484,2661,2545,2610,2563,2579,2929,3069,2490,2489,2485,2663,2558,2563,2466,2356,2394,2564,2223,2342,2504,2300,2554,2621,2361,2227,2333,2559,2377,2375,2473,2451,2471,2965,2346,2457,2586,2464,3220,2709,2484,2479,2474,2505,2439,2406,2558,2401,2455,2519,2397,2473,2519,2498,2966,2845,2441,2525,2412,2589,2405,2430,2707,2552,2585,3234,2578,2551,2696,2713,4230,2802,2630,2623,2636,2732,2387,2545,2382,2258,2224,2396,2225,2310,2349,2407,2720,2542,2344,2254,2344,2238,2230,2207,2097,1981,1882,1868,1918,1970,2012,2084,2548,2302,2064,1950,1878,1916,1887,1911,2450,2216,2204,2183,2225,2754,2277,2368,2407,2419,2475,2291,2122,2186,2156,2206,2368,2416,2052,2178,2168,2522,2318,2222,2446,2297,2132,2197,2099,2170,2129,2089,2281,2437,2149,2207,2301,2458,2345,2121,2388,2358,2174,2278,2100,2130,2123,2087,2689,2850,2659,2626,2640,2924,2764,2678,2890,2874,2678,2700,2560,2574,3939,2564,2497,2713,2588,2419,2589,2720,2543,2458,2322,2353,2475,2628,2415,2516,3311,2345,2361,2531,2309,2295,2382,2456,2393,2277,2656,2670,2373,2454,2255,2268,2471,2241,2325,2302,2324,2249,2249,2307,2445,2267,2587,2617,2240,2349,2217,2174,2458,2399,2137,2181,2177,2105,2059,2139,2321,2176,2386,2507,2110,2169,2078,2218,2278,2226,2073,2088,1974,2030,1896,2036,2144,2040,2480,2596,2028,2080,1899,2075,2056,2106,swaptions_MRURP
2611,2587,2524,2653,2591,2620,2625,2604,2791,2973,2467,2478,2419,2662,2576,2607,2369,2339,2439,2452,2298,2328,2439,2295,2539,2575,2436,2223,2322,2439,2308,2370,2368,2417,2445,2990,2420,2469,2600,2405,3206,2683,2546,2504,2524,2516,2419,2432,2525,2481,2439,2504,2439,2492,2551,2452,2884,2782,2440,2510,2416,2535,2411,2316,2631,2562,2625,3384,2519,2646,2588,2642,4031,2870,2748,2735,2679,2423,2510,2535,2334,2323,2241,2406,2287,2307,2365,2377,2641,2486,2323,2270,2281,2260,2273,2198,2081,1940,1903,1827,1924,1975,2058,2083,2400,2221,2063,2004,1890,1878,1809,1933,2562,2186,2204,2210,2246,2603,2313,2379,2447,2368,2412,2266,2197,2168,2101,2162,2230,2439,2093,2147,2215,2442,2249,2250,2407,2378,2232,2175,2124,2161,2015,2164,2298,2455,2127,2150,2205,2479,2384,2171,2373,2384,2199,2339,2134,2144,2132,2094,2691,2864,2628,2651,2657,2943,2818,2636,2772,2797,2613,2747,2570,2567,3872,2548,2514,2740,2558,2456,2545,2759,2639,2503,2336,2419,2454,2650,2411,2485,3335,2424,2311,2503,2295,2300,2358,2416,2400,2197,2680,2660,2316,2506,2172,2201,2515,2278,2299,2285,2288,2205,2216,2318,2459,2243,2576,2597,2270,2355,2219,2308,2491,2351,2146,2094,2174,2075,2099,2169,2287,2069,2338,2475,2093,2221,2017,2309,2298,2239,2042,2024,1918,2038,1949,2011,2123,2033,2410,2590,1995,2054,1930,2079,2114,2123,swaptions_MRURP
2657,2618,2445,2731,2539,2588,2668,2512,2825,2913,2519,2496,2465,2591,2505,2676,2374,2353,2452,2544,2371,2421,2485,2350,2565,2549,2380,2253,2364,2466,2312,2390,2324,2491,2455,2644,2414,2498,2560,2433,3219,2671,2461,2477,2511,2535,2434,2488,2596,2499,2463,2559,2326,2548,2527,2424,2907,2799,2390,2498,2446,2579,2368,2396,2698,2672,2629,3396,2592,2804,2635,2689,4080,2784,2701,2621,2594,2632,2514,2491,2392,2249,2259,2410,2265,2312,2311,2371,2669,2438,2334,2345,2235,2222,2324,2267,2086,1931,1859,1865,1912,1983,1997,1982,2440,2275,1982,1947,1858,1894,1876,1898,2532,2210,2220,2107,2271,2572,2257,2379,2399,2464,2516,2243,2140,2187,2197,2183,2214,2409,2095,2164,2222,2491,2233,2323,2378,2352,2206,2161,2125,2056,2044,2146,2313,2359,2172,2149,2291,2504,2350,2149,2383,2418,2289,2296,2114,2144,2145,2154,2677,2898,2615,2683,2699,2893,2796,2569,2745,2767,2668,2791,2482,2623,4019,2523,2588,2716,2591,2440,2571,2760,2557,2513,2235,2305,2527,2593,2422,2497,3387,2434,2396,2553,2309,2439,2381,2439,2331,2241,2688,2678,2284,2385,2184,2243,2543,2218,2318,2282,2298,2253,2273,2335,2387,2312,2594,2559,2283,2329,2219,2258,2498,2348,2185,2172,2088,2173,2081,2151,2280,2122,2337,2496,2157,2224,2028,2215,2280,2209,2066,1965,2009,2016,1967,2053,2130,1996,2423,2594,1984,1970,1954,2103,2077,2167,swaptions_MRURP
