Features: 16,,,,,,,,
Target Class: swaptions,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0001, Gamma: 0.0001",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.0001, Gamma: 0.0002",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.0001, Gamma: 0.0003",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.0001, Gamma: 0.0004",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.0001, Gamma: 0.005",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.0001, Gamma: 0.05",4,1,25,4,23.52941176470588,0,40,
"Nu: 0.0001, Gamma: 0.0625",4,1,25,4,23.52941176470588,0,40,
"Nu: 0.0001, Gamma: 0.1",3,2,22,7,29.411764705882355,0,40,
"Nu: 0.0001, Gamma: 0.2",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.0001, Gamma: 0.5",1,4,0,29,88.23529411764706,0,40,
"Nu: 0.0001, Gamma: 0.7",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.0001, Gamma: 0.9",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.0001, Gamma: 0.99",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.0002, Gamma: 0.0001",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.0002, Gamma: 0.0002",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.0002, Gamma: 0.0003",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.0002, Gamma: 0.0004",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.0002, Gamma: 0.005",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.0002, Gamma: 0.05",4,1,25,4,23.52941176470588,0,40,
"Nu: 0.0002, Gamma: 0.0625",4,1,25,4,23.52941176470588,0,40,
"Nu: 0.0002, Gamma: 0.1",3,2,22,7,29.411764705882355,0,40,
"Nu: 0.0002, Gamma: 0.2",3,2,21,8,32.35294117647059,0,40,
"Nu: 0.0002, Gamma: 0.5",2,3,14,15,50.0,0,40,
"Nu: 0.0002, Gamma: 0.7",1,4,1,28,85.29411764705883,0,40,
"Nu: 0.0002, Gamma: 0.9",1,4,1,28,85.29411764705883,0,40,
"Nu: 0.0002, Gamma: 0.99",2,3,0,29,91.17647058823529,0,40,
"Nu: 0.0003, Gamma: 0.0001",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.0003, Gamma: 0.0002",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.0003, Gamma: 0.0003",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.0003, Gamma: 0.0004",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.0003, Gamma: 0.005",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.0003, Gamma: 0.05",4,1,25,4,23.52941176470588,0,40,
"Nu: 0.0003, Gamma: 0.0625",4,1,25,4,23.52941176470588,0,40,
"Nu: 0.0003, Gamma: 0.1",3,2,22,7,29.411764705882355,0,40,
"Nu: 0.0003, Gamma: 0.2",3,2,24,5,23.52941176470588,0,40,
"Nu: 0.0003, Gamma: 0.5",3,2,16,13,47.05882352941176,0,40,
"Nu: 0.0003, Gamma: 0.7",1,4,1,28,85.29411764705883,0,40,
"Nu: 0.0003, Gamma: 0.9",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.0003, Gamma: 0.99",2,3,0,29,91.17647058823529,0,40,
"Nu: 0.0004, Gamma: 0.0001",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.0004, Gamma: 0.0002",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.0004, Gamma: 0.0003",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.0004, Gamma: 0.0004",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.0004, Gamma: 0.005",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.0004, Gamma: 0.05",4,1,25,4,23.52941176470588,0,40,
"Nu: 0.0004, Gamma: 0.0625",4,1,25,4,23.52941176470588,0,40,
"Nu: 0.0004, Gamma: 0.1",3,2,25,4,20.588235294117645,0,40,
"Nu: 0.0004, Gamma: 0.2",4,1,23,6,29.411764705882355,0,40,
"Nu: 0.0004, Gamma: 0.5",3,2,16,13,47.05882352941176,0,40,
"Nu: 0.0004, Gamma: 0.7",0,5,14,15,44.11764705882353,0,40,
"Nu: 0.0004, Gamma: 0.9",3,2,1,28,91.17647058823529,0,40,
"Nu: 0.0004, Gamma: 0.99",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.005, Gamma: 0.0001",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.005, Gamma: 0.0002",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.005, Gamma: 0.0003",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.005, Gamma: 0.0004",0,5,0,29,85.29411764705883,0,40,
"Nu: 0.005, Gamma: 0.005",4,1,27,2,17.647058823529413,0,40,
"Nu: 0.005, Gamma: 0.05",5,0,26,3,23.52941176470588,0,40,
"Nu: 0.005, Gamma: 0.0625",5,0,26,3,23.52941176470588,0,40,
"Nu: 0.005, Gamma: 0.1",3,2,25,4,20.588235294117645,0,40,
