From router 0 to router 0,From router 0 to router 1,From router 0 to router 2,From router 0 to router 3,From router 0 to router 4,From router 0 to router 5,From router 0 to router 6,From router 0 to router 7,From router 0 to router 8,From router 0 to router 9,From router 0 to router 10,From router 0 to router 11,From router 0 to router 12,From router 0 to router 13,From router 0 to router 14,From router 0 to router 15,From router 1 to router 0,From router 1 to router 1,From router 1 to router 2,From router 1 to router 3,From router 1 to router 4,From router 1 to router 5,From router 1 to router 6,From router 1 to router 7,From router 1 to router 8,From router 1 to router 9,From router 1 to router 10,From router 1 to router 11,From router 1 to router 12,From router 1 to router 13,From router 1 to router 14,From router 1 to router 15,From router 2 to router 0,From router 2 to router 1,From router 2 to router 2,From router 2 to router 3,From router 2 to router 4,From router 2 to router 5,From router 2 to router 6,From router 2 to router 7,From router 2 to router 8,From router 2 to router 9,From router 2 to router 10,From router 2 to router 11,From router 2 to router 12,From router 2 to router 13,From router 2 to router 14,From router 2 to router 15,From router 3 to router 0,From router 3 to router 1,From router 3 to router 2,From router 3 to router 3,From router 3 to router 4,From router 3 to router 5,From router 3 to router 6,From router 3 to router 7,From router 3 to router 8,From router 3 to router 9,From router 3 to router 10,From router 3 to router 11,From router 3 to router 12,From router 3 to router 13,From router 3 to router 14,From router 3 to router 15,From router 4 to router 0,From router 4 to router 1,From router 4 to router 2,From router 4 to router 3,From router 4 to router 4,From router 4 to router 5,From router 4 to router 6,From router 4 to router 7,From router 4 to router 8,From router 4 to router 9,From router 4 to router 10,From router 4 to router 11,From router 4 to router 12,From router 4 to router 13,From router 4 to router 14,From router 4 to router 15,From router 5 to router 0,From router 5 to router 1,From router 5 to router 2,From router 5 to router 3,From router 5 to router 4,From router 5 to router 5,From router 5 to router 6,From router 5 to router 7,From router 5 to router 8,From router 5 to router 9,From router 5 to router 10,From router 5 to router 11,From router 5 to router 12,From router 5 to router 13,From router 5 to router 14,From router 5 to router 15,From router 6 to router 0,From router 6 to router 1,From router 6 to router 2,From router 6 to router 3,From router 6 to router 4,From router 6 to router 5,From router 6 to router 6,From router 6 to router 7,From router 6 to router 8,From router 6 to router 9,From router 6 to router 10,From router 6 to router 11,From router 6 to router 12,From router 6 to router 13,From router 6 to router 14,From router 6 to router 15,From router 7 to router 0,From router 7 to router 1,From router 7 to router 2,From router 7 to router 3,From router 7 to router 4,From router 7 to router 5,From router 7 to router 6,From router 7 to router 7,From router 7 to router 8,From router 7 to router 9,From router 7 to router 10,From router 7 to router 11,From router 7 to router 12,From router 7 to router 13,From router 7 to router 14,From router 7 to router 15,From router 8 to router 0,From router 8 to router 1,From router 8 to router 2,From router 8 to router 3,From router 8 to router 4,From router 8 to router 5,From router 8 to router 6,From router 8 to router 7,From router 8 to router 8,From router 8 to router 9,From router 8 to router 10,From router 8 to router 11,From router 8 to router 12,From router 8 to router 13,From router 8 to router 14,From router 8 to router 15,From router 9 to router 0,From router 9 to router 1,From router 9 to router 2,From router 9 to router 3,From router 9 to router 4,From router 9 to router 5,From router 9 to router 6,From router 9 to router 7,From router 9 to router 8,From router 9 to router 9,From router 9 to router 10,From router 9 to router 11,From router 9 to router 12,From router 9 to router 13,From router 9 to router 14,From router 9 to router 15,From router 10 to router 0,From router 10 to router 1,From router 10 to router 2,From router 10 to router 3,From router 10 to router 4,From router 10 to router 5,From router 10 to router 6,From router 10 to router 7,From router 10 to router 8,From router 10 to router 9,From router 10 to router 10,From router 10 to router 11,From router 10 to router 12,From router 10 to router 13,From router 10 to router 14,From router 10 to router 15,From router 11 to router 0,From router 11 to router 1,From router 11 to router 2,From router 11 to router 3,From router 11 to router 4,From router 11 to router 5,From router 11 to router 6,From router 11 to router 7,From router 11 to router 8,From router 11 to router 9,From router 11 to router 10,From router 11 to router 11,From router 11 to router 12,From router 11 to router 13,From router 11 to router 14,From router 11 to router 15,From router 12 to router 0,From router 12 to router 1,From router 12 to router 2,From router 12 to router 3,From router 12 to router 4,From router 12 to router 5,From router 12 to router 6,From router 12 to router 7,From router 12 to router 8,From router 12 to router 9,From router 12 to router 10,From router 12 to router 11,From router 12 to router 12,From router 12 to router 13,From router 12 to router 14,From router 12 to router 15,From router 13 to router 0,From router 13 to router 1,From router 13 to router 2,From router 13 to router 3,From router 13 to router 4,From router 13 to router 5,From router 13 to router 6,From router 13 to router 7,From router 13 to router 8,From router 13 to router 9,From router 13 to router 10,From router 13 to router 11,From router 13 to router 12,From router 13 to router 13,From router 13 to router 14,From router 13 to router 15,From router 14 to router 0,From router 14 to router 1,From router 14 to router 2,From router 14 to router 3,From router 14 to router 4,From router 14 to router 5,From router 14 to router 6,From router 14 to router 7,From router 14 to router 8,From router 14 to router 9,From router 14 to router 10,From router 14 to router 11,From router 14 to router 12,From router 14 to router 13,From router 14 to router 14,From router 14 to router 15,From router 15 to router 0,From router 15 to router 1,From router 15 to router 2,From router 15 to router 3,From router 15 to router 4,From router 15 to router 5,From router 15 to router 6,From router 15 to router 7,From router 15 to router 8,From router 15 to router 9,From router 15 to router 10,From router 15 to router 11,From router 15 to router 12,From router 15 to router 13,From router 15 to router 14,From router 15 to router 15,Applications (Label Classes)
22971,1657,756,814,835,804,728,930,756,4625,924,716,727,741,762,802,94,357,79,68,104,66,58,161,50,3549,167,42,70,55,56,66,39,601,20,28,45,29,26,119,23,2720,115,21,22,21,23,24,43,506,24,22,36,24,25,139,23,2536,140,22,22,23,26,23,45,672,31,25,37,28,28,150,26,2535,176,24,23,21,21,25,49,760,25,25,38,25,25,141,27,2868,138,25,25,27,26,25,36,572,23,23,35,27,22,116,23,2411,121,22,24,25,24,23,56,410,42,31,53,35,38,159,31,1978,341,26,28,32,36,33,39,515,26,23,38,27,24,140,24,2073,131,27,29,25,27,25,100,1546,76,67,128,86,49,152,38,2227,154,39,77,45,52,45,37,336,28,23,71,27,31,160,24,2384,140,24,23,24,29,28,28,330,21,18,26,20,17,107,18,2042,128,16,20,23,21,21,32,441,21,20,30,22,21,113,22,2211,128,22,20,21,24,22,43,311,26,25,34,26,27,131,27,2384,128,28,29,26,30,30,52,297,24,19,27,21,22,107,21,2206,118,22,19,22,23,27,55,269,30,27,38,25,24,156,24,2588,157,25,25,25,27,27,vips_MRURP
197,89,15,61,76,91,25,28,33,8757,6,13,26,68,65,77,51,4,4,4,8,7,4,2,5,8451,2,3,4,5,8,3,13,2,0,3,2,2,0,0,2,8465,0,1,1,3,4,5,36,4,1,4,4,3,3,2,1,9084,2,1,2,4,5,4,48,5,1,2,3,4,4,3,4,9140,1,2,2,5,4,4,52,3,5,5,6,6,2,2,5,9178,3,1,4,5,5,7,19,3,1,3,1,3,2,1,1,9102,1,0,1,2,2,2,19,3,1,2,2,3,2,2,1,9247,1,2,1,3,3,5,22,2,1,2,4,2,1,2,0,9068,2,1,2,1,3,4,20,2,1,1,1,3,1,1,1,8509,1,0,1,2,2,3,10,2,0,1,2,3,1,0,0,8436,0,0,0,3,2,2,14,3,0,3,3,2,0,0,0,8493,0,0,2,1,2,3,19,4,1,2,2,3,2,0,0,8426,1,1,2,4,1,3,40,4,2,3,4,4,1,2,3,8441,3,1,3,5,5,3,40,6,3,5,7,6,4,3,3,8629,4,3,3,6,7,8,42,4,1,3,4,3,4,6,4,8451,3,2,4,3,7,3,vips_MRURP
25503,17677,16590,17256,17504,17428,16645,16892,16937,17528,17410,16321,17052,17110,17385,17515,9353,2407,1319,2047,2475,2165,1956,1993,2130,2741,2701,1846,1829,2159,1744,2355,9263,2485,1430,2006,2436,2194,1929,1982,2050,2699,2666,1836,1948,2168,1798,2336,9362,2529,1548,2112,2529,2295,2010,2511,2129,2781,2673,1865,2045,2152,1972,2349,9200,2401,1445,2001,2426,2179,2192,2008,2136,2693,2578,1838,1893,2123,2000,2244,9433,2519,1670,1987,2459,2259,2266,1997,2125,2740,2679,2385,1909,2220,1973,2330,9362,2414,2487,1968,2525,2141,1999,1987,2104,2714,2630,2820,1852,2133,1814,2294,9262,2510,2533,2110,2580,2192,2265,2087,2139,2744,2671,2856,1967,2208,1964,2320,9233,2451,1745,2036,2534,2182,1995,2011,2160,2736,2622,2543,1956,2131,1910,2285,9152,2453,1609,1986,2427,2165,1904,2058,2079,2693,2657,2145,1957,2114,1802,2232,9104,2488,1781,2033,2415,2137,1881,2151,2042,2726,2624,1837,1961,2128,1797,2294,8929,2483,1427,2130,2368,2109,1827,2182,2017,2673,2630,1714,1865,2063,1733,2213,9364,2529,1539,2353,2534,2235,2059,2277,2223,2830,2732,1920,2052,2270,1946,2347,9306,2506,1434,2289,2476,2317,1956,1984,2111,2785,2652,1842,1933,2125,1862,2483,9388,2511,1435,2279,2558,2186,2028,2136,2137,2834,2689,1916,2259,2224,1913,2305,9393,2516,1376,2161,2567,2307,1952,2014,2143,2782,2656,1830,1926,2398,1932,2287,vips_MRURP
24147,15388,15897,16172,15389,15454,16310,15782,15529,14616,14567,14983,15709,15225,15516,15362,9377,1797,2419,2525,2031,1779,3040,2545,2421,1631,1535,2006,2165,1787,2156,1776,9323,1821,2363,2590,2274,1745,2996,2511,2356,1641,1658,2003,2173,1904,2180,1835,9578,1842,2462,2656,2157,1817,3255,3042,2542,1733,1762,2048,2239,1920,2213,1922,9366,1657,2431,2558,2052,1735,2999,2594,2480,1609,1556,2018,2242,1892,2156,1798,9720,1761,2443,2643,2059,1780,3054,2583,2401,1718,1587,2005,2289,2011,2188,2234,9468,1684,2445,2878,2007,1753,3023,2713,2490,1745,1559,2033,2218,1798,2203,1744,9309,1730,2460,2792,1907,1742,3107,2610,2359,1577,1627,2057,2240,1762,2174,1735,9295,1762,2436,2605,2063,1824,3015,2559,2412,1599,1558,2043,2249,1810,2184,1864,9248,1578,2403,2506,1836,1817,2943,2531,2311,1453,1414,1969,2225,1660,2137,1666,9148,1674,2372,2516,1849,1787,2880,2560,2279,1581,1480,1946,2237,1718,2126,1755,9084,1557,2275,2432,1764,1639,2866,2500,2260,1436,1405,1875,2037,1632,2081,1694,9473,1760,2432,2549,1920,1975,3064,2561,2347,1570,1612,2002,2269,1808,2220,1825,9494,1843,2472,2597,1990,1980,2973,2559,2352,1680,1627,2079,2328,1758,2189,2069,9372,1832,2482,2572,1966,1744,2969,2567,2403,1691,1675,1976,2193,1927,2101,1865,9612,1826,2536,2607,2086,1864,3102,2666,2476,1702,1606,2043,2274,2090,2222,1878,vips_MRURP
25950,18613,17085,17562,17690,18021,17048,17187,17345,17466,17864,16746,18579,18127,17379,18014,9450,3136,1569,1901,2245,2269,1857,1937,2238,2401,2803,1823,2420,2912,1914,2537,9285,2962,1551,1878,2151,2219,1856,2102,2165,2343,2720,1884,2716,2637,1914,2434,11020,3104,1804,2033,2265,2311,3412,2599,2124,2462,2793,2103,2944,2853,2087,2483,12075,3065,2240,2523,2178,2219,4316,3515,2110,2394,2806,1811,2300,2743,2037,2389,11002,3155,2335,2591,2226,2254,2280,3891,2100,2402,2833,1829,2207,2934,2172,2586,9692,3152,1660,2791,2340,2297,1827,2347,2119,2477,2797,1802,1713,2842,1989,2449,9706,3055,1668,2482,2289,2312,1965,2315,2071,2467,2822,1820,1583,2816,1865,2498,9382,3094,1703,2201,2272,2247,1882,2160,2111,2456,2794,1873,2093,2781,1912,2431,9218,3035,1552,2010,2223,2239,1807,2035,2052,2390,2799,1749,1873,2705,1789,2379,9150,3041,1585,1927,2224,2236,1800,1924,2088,2448,2804,1801,1908,2774,1818,2479,9065,2961,1456,1846,2139,2137,1745,1800,1986,2324,2734,1706,2485,2637,2029,2373,9303,3066,1571,2028,2265,2312,1959,1995,2158,2492,2831,1832,2252,2825,1905,2457,9374,3266,1645,1954,2281,2355,1814,1955,2113,2462,2810,1838,2461,2768,1849,2630,9501,3059,1643,1958,2330,2249,1904,1921,2141,2442,2814,1941,2848,2779,1905,2431,9545,3378,1610,2010,2316,2480,1906,1960,2183,2544,2919,1936,2663,3080,1897,2478,vips_MRURP
23598,15148,15920,16028,15262,15480,15787,16188,15478,14814,15016,15732,18093,15320,16109,15199,9201,1433,2122,2252,1547,1545,2247,2609,2117,1479,1479,2434,3161,1712,2323,1537,9193,1467,2069,2231,1643,1544,2239,2558,2051,1488,1646,2472,3046,1601,2332,1546,9262,1651,2057,2339,1677,1586,2281,2729,2089,1561,1940,2436,3838,1554,2353,1568,9204,1739,2036,2256,1669,1500,2204,2661,2061,1748,1840,2417,2828,1447,2297,1504,9402,1758,2199,2296,1760,1595,2300,2640,2103,1692,1666,2470,2748,1500,2387,2329,9143,1650,2058,2385,1735,1492,2245,2835,2132,1509,1517,2412,1791,1321,2316,1535,9200,1911,2129,2747,1671,1625,2468,2724,2085,1531,1490,2535,1659,1479,2404,1614,9080,1979,2059,2300,1695,1835,2231,2615,2117,1572,1433,2443,2472,1610,2316,1683,9062,1834,2119,2291,1531,1654,2255,2610,2012,1381,1751,2437,2191,1617,2364,1620,9029,2000,2150,2257,1590,1600,2228,2649,2084,1630,1483,2433,2163,1703,2356,1620,8999,1547,1953,2278,1518,1489,2192,2607,1980,1392,1404,2420,3336,1704,2305,1721,9145,1554,2069,2257,1623,1664,2287,2623,2064,1524,1510,2474,2722,1899,2369,1782,9216,1471,2148,2282,1639,1574,2278,2635,2093,1472,1588,2529,3036,1823,2358,1726,9222,1451,2184,2257,1606,1546,2226,2598,2036,1450,1508,2359,3756,1760,2287,1683,9208,1498,2226,2281,1553,1547,2276,2643,2036,1449,1486,2421,3372,1873,2386,1591,vips_MRURP
25767,18855,18116,17399,17529,18386,17190,17167,17275,18508,18518,16945,18333,18365,17512,18343,9466,3281,2309,1827,1971,2825,2014,1846,2088,3693,3017,1955,2340,3202,1823,2887,9456,3249,2240,1776,1899,2729,1966,1770,1993,3177,2962,1843,2249,3027,1824,2782,9620,3343,2470,1853,2029,2824,2163,2122,2104,3279,3041,1972,2835,3137,1904,2836,9431,3209,2353,1790,1903,2791,1867,1782,2001,3250,2941,1914,2332,3059,1743,2736,9435,3234,2405,1813,1960,2832,1915,1828,2296,3291,3103,1836,2291,3178,1813,3341,9352,3291,2419,2165,1974,2777,1853,1761,3336,3369,2955,1707,1849,3159,1844,2806,9442,3324,2405,1847,2022,2766,1864,2218,3833,3388,3008,1735,1814,3080,1818,2776,9383,3267,2347,1887,1997,2765,1901,2419,2566,3312,2975,1812,2101,2986,1823,2751,9338,3698,2357,1853,1970,2785,1846,2525,2103,3228,3102,1728,1965,3192,1776,2857,9388,3292,2319,1883,1981,2731,1868,2411,2054,3317,2983,1758,1998,3052,1828,2762,9282,3255,2295,1907,2038,2742,1812,2364,2087,3259,2962,1758,2599,3112,2135,2797,9606,3252,2411,2016,2036,2746,1915,2406,2116,3263,3034,1889,2150,3059,1982,2758,9499,3510,2401,2034,1975,2858,2019,2173,2091,3341,3102,1807,2276,3050,1938,2867,9709,3289,2428,1961,2000,2730,1992,1899,2101,3303,3060,1910,2560,3077,1926,2752,9664,3461,2541,1898,2041,3133,1959,1812,2102,3424,3076,1967,2426,3210,1878,2754,vips_MRURP
23493,14895,15371,15680,15654,15151,15324,15408,15328,14436,14537,15093,15522,14954,15678,15005,9105,1557,2059,2160,2217,1596,2380,2259,2422,1748,1686,2327,2557,1639,2410,1574,8854,1549,2046,2116,2183,1612,2294,2121,2279,1677,1633,2183,2483,1546,2267,1571,9080,1986,2034,2146,2250,1439,2394,2184,2372,3760,1894,2204,2469,1494,2343,1529,9017,2067,1942,2149,2180,1343,2352,2117,2473,3507,2454,2198,2476,1568,2353,1496,9253,2478,1976,2238,2298,1461,2445,2256,2481,1803,2523,2254,2591,1771,2450,2289,8766,2302,1888,2274,2285,1294,2312,2132,2377,1537,2372,2183,2462,1434,2299,1373,8900,1667,1870,2172,2150,1356,2302,2130,2310,1507,2049,2239,2460,1558,2340,1311,8814,1826,1893,2196,2329,1478,2332,2184,2387,1584,2274,2255,2546,1703,2337,1432,8884,2116,1909,2203,2233,1464,2394,2237,2384,1521,2110,2287,2585,1648,2424,1384,8828,1779,1941,2186,2327,1466,2418,2216,2478,1521,1667,2220,2576,1633,2366,1481,8718,1633,1801,2083,2071,1305,2278,2046,2303,1439,1515,2108,2380,1492,2261,1280,8807,1914,1900,2184,2193,1523,2376,2128,2381,1552,1626,2212,2504,1664,2312,1407,9034,1885,2113,2196,2246,1552,2455,2221,2469,1536,1674,2277,2495,1777,2385,1569,8943,1537,2153,2122,2222,1660,2310,2158,2321,1473,1587,2156,2457,1765,2295,1573,9144,1499,2195,2188,2306,1633,2411,2207,2427,1550,1626,2284,2540,1779,2406,1588,vips_MRURP
24947,17826,17421,16793,16916,17567,16398,16502,16502,17248,17131,16211,16582,17926,16727,17550,8979,2852,2398,1863,2168,2561,1944,1917,2170,2900,2693,1867,1779,3279,1724,2650,8968,2732,2317,1848,2095,2643,1887,1798,2065,2667,2544,1737,1618,3068,1717,2566,9635,2873,2503,2097,2231,2546,2315,2248,2356,2815,2670,1835,1721,3210,2132,2539,9486,2788,2468,1974,2197,2467,2233,1902,2284,2722,2557,1875,1601,3136,2020,2562,9215,2847,2456,2056,2275,2495,2452,1914,2488,2738,2597,1900,1674,3137,1927,2586,8756,2826,2418,2170,2267,2499,2076,1811,2294,2805,2578,1782,1671,3187,1819,2510,8778,2834,2409,1827,2142,2459,1848,1873,2144,2791,2621,1895,1633,3093,1890,2521,8732,2818,2355,1879,2179,2484,1905,2027,2094,2773,2659,2128,1748,3167,1989,2546,8732,3068,2381,1817,2154,2566,1874,2010,2106,2777,2688,1935,1683,3511,1775,2580,8704,2858,2448,1777,2174,2524,1853,1861,2109,2825,2588,1787,1850,3109,1716,2612,8573,2754,2249,1721,2078,2424,1716,1758,2017,2733,2527,1707,1705,3104,1810,2513,9140,2857,2438,1894,2183,2529,1954,1995,2156,2874,2734,1929,1907,3202,1859,2626,8996,2958,2491,1838,2170,2536,1860,1924,2115,3091,2635,1901,1838,3150,1762,2720,9052,2820,2521,1843,2213,2461,1881,1867,2131,2771,2580,1856,1993,3114,1756,2523,9017,2835,2594,1843,2208,2550,1872,1878,2167,2903,2647,1883,1877,3306,1819,2570,vips_MRURP
23916,15435,15248,15920,15625,15376,15615,15952,15488,14803,14950,16249,16614,15380,16592,15169,9486,1716,1415,2336,2144,1411,2391,2629,2213,1724,1833,3157,3220,1702,3100,1412,9314,1751,1450,2383,2109,2079,2407,2544,2225,1711,1892,3114,3173,1567,3092,1534,9407,1778,1619,2420,2181,1418,2414,2640,2289,1676,1896,3095,3164,1524,3139,1429,9382,1757,1677,2368,2178,1406,2342,2522,2258,1631,1852,3092,3246,1564,3178,1446,9520,1822,1856,2397,2179,1501,2377,2614,2205,1556,1812,3099,3194,1468,3093,1635,9192,1679,1362,2428,2156,1448,2404,2661,2230,1511,1786,3007,3121,1470,3088,1694,9291,1755,1382,2503,2168,1430,2472,2581,2201,1555,1847,3326,3135,1480,3189,1705,9248,1850,1434,2366,2241,1463,2425,2544,2217,1598,1804,3057,3160,1605,3097,1699,9169,1852,1316,2348,2138,1325,2385,2474,2117,1434,1829,3080,3174,1765,3067,1491,9121,1956,1348,2385,2134,1364,2375,2534,2158,1458,1763,3114,3186,1865,3053,1503,9118,2010,1304,2355,2144,1379,2265,2632,2122,1527,1875,2999,3166,1968,3318,1430,9361,2247,1452,2415,2178,1454,2422,2567,2225,1713,1991,3191,3165,1949,3259,1507,9410,2285,1544,2368,2252,1492,2384,2587,2217,2222,1910,3216,3228,1805,3199,1596,9350,2024,1492,2406,2160,1436,2333,2599,2169,1775,1886,3464,3373,1853,3126,1482,9494,1944,1466,2329,2147,1455,2358,2509,2197,1658,1789,3063,3222,2110,3188,1415,vips_MRURP
