From router 0 to router 0,From router 0 to router 1,From router 0 to router 2,From router 0 to router 3,From router 0 to router 4,From router 0 to router 5,From router 0 to router 6,From router 0 to router 7,From router 0 to router 8,From router 0 to router 9,From router 0 to router 10,From router 0 to router 11,From router 0 to router 12,From router 0 to router 13,From router 0 to router 14,From router 0 to router 15,From router 1 to router 0,From router 1 to router 1,From router 1 to router 2,From router 1 to router 3,From router 1 to router 4,From router 1 to router 5,From router 1 to router 6,From router 1 to router 7,From router 1 to router 8,From router 1 to router 9,From router 1 to router 10,From router 1 to router 11,From router 1 to router 12,From router 1 to router 13,From router 1 to router 14,From router 1 to router 15,From router 2 to router 0,From router 2 to router 1,From router 2 to router 2,From router 2 to router 3,From router 2 to router 4,From router 2 to router 5,From router 2 to router 6,From router 2 to router 7,From router 2 to router 8,From router 2 to router 9,From router 2 to router 10,From router 2 to router 11,From router 2 to router 12,From router 2 to router 13,From router 2 to router 14,From router 2 to router 15,From router 3 to router 0,From router 3 to router 1,From router 3 to router 2,From router 3 to router 3,From router 3 to router 4,From router 3 to router 5,From router 3 to router 6,From router 3 to router 7,From router 3 to router 8,From router 3 to router 9,From router 3 to router 10,From router 3 to router 11,From router 3 to router 12,From router 3 to router 13,From router 3 to router 14,From router 3 to router 15,From router 4 to router 0,From router 4 to router 1,From router 4 to router 2,From router 4 to router 3,From router 4 to router 4,From router 4 to router 5,From router 4 to router 6,From router 4 to router 7,From router 4 to router 8,From router 4 to router 9,From router 4 to router 10,From router 4 to router 11,From router 4 to router 12,From router 4 to router 13,From router 4 to router 14,From router 4 to router 15,From router 5 to router 0,From router 5 to router 1,From router 5 to router 2,From router 5 to router 3,From router 5 to router 4,From router 5 to router 5,From router 5 to router 6,From router 5 to router 7,From router 5 to router 8,From router 5 to router 9,From router 5 to router 10,From router 5 to router 11,From router 5 to router 12,From router 5 to router 13,From router 5 to router 14,From router 5 to router 15,From router 6 to router 0,From router 6 to router 1,From router 6 to router 2,From router 6 to router 3,From router 6 to router 4,From router 6 to router 5,From router 6 to router 6,From router 6 to router 7,From router 6 to router 8,From router 6 to router 9,From router 6 to router 10,From router 6 to router 11,From router 6 to router 12,From router 6 to router 13,From router 6 to router 14,From router 6 to router 15,From router 7 to router 0,From router 7 to router 1,From router 7 to router 2,From router 7 to router 3,From router 7 to router 4,From router 7 to router 5,From router 7 to router 6,From router 7 to router 7,From router 7 to router 8,From router 7 to router 9,From router 7 to router 10,From router 7 to router 11,From router 7 to router 12,From router 7 to router 13,From router 7 to router 14,From router 7 to router 15,From router 8 to router 0,From router 8 to router 1,From router 8 to router 2,From router 8 to router 3,From router 8 to router 4,From router 8 to router 5,From router 8 to router 6,From router 8 to router 7,From router 8 to router 8,From router 8 to router 9,From router 8 to router 10,From router 8 to router 11,From router 8 to router 12,From router 8 to router 13,From router 8 to router 14,From router 8 to router 15,From router 9 to router 0,From router 9 to router 1,From router 9 to router 2,From router 9 to router 3,From router 9 to router 4,From router 9 to router 5,From router 9 to router 6,From router 9 to router 7,From router 9 to router 8,From router 9 to router 9,From router 9 to router 10,From router 9 to router 11,From router 9 to router 12,From router 9 to router 13,From router 9 to router 14,From router 9 to router 15,From router 10 to router 0,From router 10 to router 1,From router 10 to router 2,From router 10 to router 3,From router 10 to router 4,From router 10 to router 5,From router 10 to router 6,From router 10 to router 7,From router 10 to router 8,From router 10 to router 9,From router 10 to router 10,From router 10 to router 11,From router 10 to router 12,From router 10 to router 13,From router 10 to router 14,From router 10 to router 15,From router 11 to router 0,From router 11 to router 1,From router 11 to router 2,From router 11 to router 3,From router 11 to router 4,From router 11 to router 5,From router 11 to router 6,From router 11 to router 7,From router 11 to router 8,From router 11 to router 9,From router 11 to router 10,From router 11 to router 11,From router 11 to router 12,From router 11 to router 13,From router 11 to router 14,From router 11 to router 15,From router 12 to router 0,From router 12 to router 1,From router 12 to router 2,From router 12 to router 3,From router 12 to router 4,From router 12 to router 5,From router 12 to router 6,From router 12 to router 7,From router 12 to router 8,From router 12 to router 9,From router 12 to router 10,From router 12 to router 11,From router 12 to router 12,From router 12 to router 13,From router 12 to router 14,From router 12 to router 15,From router 13 to router 0,From router 13 to router 1,From router 13 to router 2,From router 13 to router 3,From router 13 to router 4,From router 13 to router 5,From router 13 to router 6,From router 13 to router 7,From router 13 to router 8,From router 13 to router 9,From router 13 to router 10,From router 13 to router 11,From router 13 to router 12,From router 13 to router 13,From router 13 to router 14,From router 13 to router 15,From router 14 to router 0,From router 14 to router 1,From router 14 to router 2,From router 14 to router 3,From router 14 to router 4,From router 14 to router 5,From router 14 to router 6,From router 14 to router 7,From router 14 to router 8,From router 14 to router 9,From router 14 to router 10,From router 14 to router 11,From router 14 to router 12,From router 14 to router 13,From router 14 to router 14,From router 14 to router 15,From router 15 to router 0,From router 15 to router 1,From router 15 to router 2,From router 15 to router 3,From router 15 to router 4,From router 15 to router 5,From router 15 to router 6,From router 15 to router 7,From router 15 to router 8,From router 15 to router 9,From router 15 to router 10,From router 15 to router 11,From router 15 to router 12,From router 15 to router 13,From router 15 to router 14,From router 15 to router 15,Applications (Label Classes)
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x264_MRURP
3105,1966,1874,1918,1934,1873,1856,3962,1944,1893,5001,1883,1944,6312,1941,1919,976,13,20,16,21,14,16,1397,17,33,1611,16,12,2352,21,13,948,41,33,26,32,32,29,1386,32,46,1566,25,27,2296,36,31,958,12,11,10,15,13,7,1496,13,24,1551,7,10,2297,12,11,950,12,10,12,15,13,8,1340,12,17,1594,12,11,2275,22,9,925,5,7,5,8,7,6,1416,9,19,1629,5,5,2287,9,6,916,5,5,4,4,4,2,1217,4,18,1463,2,4,2198,12,4,969,16,20,17,23,14,15,1227,17,29,1617,10,11,2285,24,25,966,8,4,7,7,8,3,1265,6,24,1553,3,5,2190,21,5,931,14,19,13,14,17,10,1245,14,28,1491,11,12,2357,21,16,933,18,17,22,15,19,17,1381,25,39,1445,16,17,2568,28,18,930,6,4,4,7,5,2,1188,7,19,1532,5,7,2198,20,6,990,55,44,46,49,51,47,1264,59,60,1627,38,37,2187,49,46,962,18,17,18,22,17,20,1456,18,29,2012,14,19,2487,52,20,963,11,10,9,9,11,9,1358,11,19,1738,11,11,2494,22,11,968,28,33,27,29,24,35,1392,35,33,1672,28,27,2871,29,30,x264_MRURP
55,7,1,3,5,2,3,5,3,3,3,4,3,15,7,8,7,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,1,1,1,0,0,0,0,0,1,0,1,0,1,1,8,0,1,1,1,1,1,1,2,1,1,1,1,2,1,1,7,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,x264_MRURP
49,6,2,32,5,3,5,4,5,5,6,3,30,9,8,29,8,0,2,6,1,1,1,1,2,1,1,1,5,1,1,3,5,0,0,7,0,0,0,0,0,0,0,0,6,0,0,2,6,0,0,0,2,2,2,2,2,2,2,2,8,3,3,4,6,0,0,19,0,0,0,0,0,0,0,0,21,1,0,4,4,0,0,5,0,0,0,0,0,0,0,0,7,0,1,3,6,0,0,8,0,0,0,0,0,1,0,0,9,0,0,4,6,0,0,5,0,0,1,0,0,0,0,0,7,0,0,3,6,0,0,7,0,0,0,0,0,0,0,0,10,0,0,5,7,0,0,9,1,0,0,0,0,0,0,0,7,0,1,3,6,0,0,7,0,0,0,0,0,0,0,0,10,1,0,4,5,0,0,5,0,0,0,0,0,0,0,0,7,0,1,4,4,0,0,7,1,1,1,1,1,1,1,1,13,3,3,7,8,0,1,6,0,0,0,0,0,0,1,0,4,0,0,2,8,0,1,42,1,1,2,1,1,1,1,2,39,1,1,4,16,0,2,11,3,2,3,2,3,2,3,3,17,2,3,4,x264_MRURP
56,7,2,10,8,3,4,4,4,4,4,4,8,22,10,13,8,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,8,3,3,2,3,3,3,3,3,3,3,3,1,1,0,0,15,0,0,0,1,1,1,1,1,0,0,1,1,2,0,1,10,0,1,2,1,2,1,1,1,1,1,1,2,1,1,2,12,2,2,1,2,1,1,1,1,1,1,1,0,1,1,0,x264_MRURP
51,7,3,6,6,2,6,3,31,3,4,3,4,15,6,11,7,0,2,1,1,1,1,1,6,1,1,1,2,2,1,3,5,0,0,0,0,0,0,0,7,0,0,0,1,1,0,1,7,0,0,0,0,0,0,0,7,0,0,0,1,0,0,1,6,0,0,0,0,1,0,0,19,0,0,0,2,0,1,1,4,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,6,0,0,1,0,0,0,0,8,0,0,0,1,0,0,1,5,0,0,0,0,0,0,0,5,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0,3,2,2,2,2,2,2,3,6,0,0,0,0,0,0,0,5,0,0,0,1,1,0,1,5,0,0,0,1,0,0,0,7,0,0,0,1,0,0,1,5,0,0,0,0,0,1,0,5,0,0,0,1,0,0,1,6,0,0,0,1,0,0,0,12,1,1,1,2,2,3,2,12,1,0,0,0,0,0,0,5,1,0,0,2,0,1,2,7,0,1,1,1,1,1,1,39,2,1,1,2,2,1,2,7,0,0,0,0,0,1,0,9,1,1,1,2,2,1,4,x264_MRURP
59,6,3,3,6,2,3,3,7,4,3,4,2,10,8,6,7,0,2,1,1,1,1,1,1,1,1,1,1,1,1,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,9,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,8,0,1,1,2,1,1,1,2,1,2,1,1,1,1,1,6,1,1,1,2,1,1,1,1,0,0,0,0,0,0,0,x264_MRURP
49,6,2,4,6,3,3,4,3,3,3,3,2,20,6,8,8,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,0,0,0,1,1,1,1,1,0,0,1,1,2,0,0,7,0,1,1,2,1,1,2,1,1,1,1,1,1,1,1,6,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,x264_MRURP
57,8,3,4,8,3,4,4,4,4,5,4,3,16,8,9,8,0,2,1,1,1,1,1,1,1,1,1,1,2,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,13,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,9,0,2,1,1,1,1,1,1,1,1,1,1,2,1,1,7,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,x264_MRURP
54,6,3,3,4,2,3,3,3,4,3,3,2,10,8,8,7,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,8,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,6,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,x264_MRURP
