Features: 16,,,,,,,,,,
Target Class: x264,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,95.19840551,131
"Nu: 0.0001, Gamma: 0.0001",0,502,0,5017,90.9041493,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,502,0,5017,90.9041493,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",273,229,3357,1660,35.02446095,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",270,232,3329,1688,35.47744157,0,40,,,
"Nu: 0.0001, Gamma: 0.005",502,0,5016,1,9.113969922,0,40,,,
"Nu: 0.0001, Gamma: 0.05",502,0,5014,3,9.150208371,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",502,0,5014,3,9.150208371,0,40,,,
"Nu: 0.0001, Gamma: 0.1",502,0,5014,3,9.150208371,0,40,,,
"Nu: 0.0001, Gamma: 0.2",500,2,5006,11,9.258923718,0,40,,,
"Nu: 0.0001, Gamma: 0.5",377,125,4826,191,10.29171951,0,40,,,
"Nu: 0.0001, Gamma: 0.7",499,3,5002,15,9.313281392,0,40,,,
"Nu: 0.0001, Gamma: 0.9",498,4,5001,16,9.313281392,0,40,,,
"Nu: 0.0001, Gamma: 0.99",348,154,4700,317,12.04928429,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,502,0,5017,90.9041493,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",270,232,3340,1677,35.2781301,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",273,229,3357,1660,35.02446095,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",270,232,3329,1688,35.47744157,0,40,,,
"Nu: 0.0002, Gamma: 0.005",502,0,5015,2,9.132089147,0,40,,,
"Nu: 0.0002, Gamma: 0.05",502,0,5014,3,9.150208371,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",502,0,5014,3,9.150208371,0,40,,,
"Nu: 0.0002, Gamma: 0.1",367,135,4359,658,18.57220511,0,40,,,
"Nu: 0.0002, Gamma: 0.2",458,44,4992,25,8.751585432,0,40,,,
"Nu: 0.0002, Gamma: 0.5",330,172,4504,513,15.27450625,0,40,,,
"Nu: 0.0002, Gamma: 0.7",498,4,5002,15,9.295162167,0,40,,,
"Nu: 0.0002, Gamma: 0.9",337,165,4644,373,12.86464939,0,40,,,
"Nu: 0.0002, Gamma: 0.99",153,349,2086,2931,55.87968835,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",312,190,3810,1207,27.52310201,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",316,186,3852,1165,26.83457148,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",318,184,3856,1161,26.79833303,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",314,188,3835,1182,27.10635985,0,40,,,
"Nu: 0.0003, Gamma: 0.005",502,0,5015,2,9.132089147,0,40,,,
"Nu: 0.0003, Gamma: 0.05",342,160,4071,946,23.33756115,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",355,147,4188,829,21.4531618,0,40,,,
"Nu: 0.0003, Gamma: 0.1",376,126,4441,576,17.24950172,0,40,,,
"Nu: 0.0003, Gamma: 0.2",500,2,5005,12,9.277042943,0,40,,,
"Nu: 0.0003, Gamma: 0.5",498,4,5002,15,9.295162167,0,40,,,
"Nu: 0.0003, Gamma: 0.7",498,4,5002,15,9.295162167,0,40,,,
"Nu: 0.0003, Gamma: 0.9",493,9,5001,16,9.222685269,0,40,,,
"Nu: 0.0003, Gamma: 0.99",494,8,5001,16,9.240804494,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",312,190,3810,1207,27.52310201,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",316,186,3850,1167,26.87080993,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",318,184,3855,1162,26.81645226,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",314,188,3833,1184,27.1425983,0,40,,,
"Nu: 0.0004, Gamma: 0.005",502,0,5015,2,9.132089147,0,40,,,
"Nu: 0.0004, Gamma: 0.05",342,160,4071,946,23.33756115,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",350,152,4139,878,22.25040768,0,40,,,
"Nu: 0.0004, Gamma: 0.1",376,126,4438,579,17.30385939,0,40,,,
"Nu: 0.0004, Gamma: 0.2",455,47,4990,27,8.733466208,0,40,,,
"Nu: 0.0004, Gamma: 0.5",498,4,5002,15,9.295162167,0,40,,,
"Nu: 0.0004, Gamma: 0.7",498,4,5002,15,9.295162167,0,40,,,
"Nu: 0.0004, Gamma: 0.9",497,5,5001,16,9.295162167,0,40,,,
"Nu: 0.0004, Gamma: 0.99",185,317,2640,2377,46.42145316,0,40,,,
"Nu: 0.005, Gamma: 0.0001",500,2,5006,11,9.258923718,0,40,,,
"Nu: 0.005, Gamma: 0.0002",263,239,3571,1446,30.96575467,0,40,,,
"Nu: 0.005, Gamma: 0.0003",259,243,3559,1458,31.11070846,0,40,,,
"Nu: 0.005, Gamma: 0.0004",261,241,3566,1451,31.02011234,0,40,,,
"Nu: 0.005, Gamma: 0.005",261,241,3582,1435,30.73020475,0,40,,,
"Nu: 0.005, Gamma: 0.05",493,9,5003,14,9.18644682,0,40,,,
"Nu: 0.005, Gamma: 0.0625",493,9,5003,14,9.18644682,0,40,,,
"Nu: 0.005, Gamma: 0.1",493,9,5002,15,9.204566045,0,40,,,
"Nu: 0.005, Gamma: 0.2",493,9,5000,17,9.240804494,0,40,,,
"Nu: 0.005, Gamma: 0.5",494,8,4999,18,9.277042943,0,40,,,
"Nu: 0.005, Gamma: 0.7",494,8,4996,21,9.331400616,0,40,,,
"Nu: 0.005, Gamma: 0.9",495,7,4996,21,9.349519841,0,40,,,
"Nu: 0.005, Gamma: 0.99",495,7,4995,22,9.367639065,0,40,,,
"Nu: 0.05, Gamma: 0.0001",248,254,3333,1684,35.00634173,0,40,,,
"Nu: 0.05, Gamma: 0.0002",276,226,3686,1331,29.11759377,0,40,,,
"Nu: 0.05, Gamma: 0.0003",274,228,3628,1389,30.13227034,0,40,,,
"Nu: 0.05, Gamma: 0.0004",275,227,3654,1363,29.67928973,0,40,,,
"Nu: 0.05, Gamma: 0.005",468,34,4993,24,8.914658453,0,40,,,
"Nu: 0.05, Gamma: 0.05",465,37,4992,25,8.878420004,0,40,,,
"Nu: 0.05, Gamma: 0.0625",465,37,4992,25,8.878420004,0,40,,,
"Nu: 0.05, Gamma: 0.1",465,37,4990,27,8.914658453,0,40,,,
"Nu: 0.05, Gamma: 0.2",464,38,4987,30,8.950896902,0,40,,,
"Nu: 0.05, Gamma: 0.5",464,38,4768,249,12.91900707,0,40,,,
"Nu: 0.05, Gamma: 0.7",467,35,4477,540,18.24605907,0,40,,,
"Nu: 0.05, Gamma: 0.9",466,36,4374,643,20.09421997,0,40,,,
"Nu: 0.05, Gamma: 0.99",467,35,4341,676,20.7102736,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",416,86,4880,137,10.01993115,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",426,76,4941,76,9.095850698,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",426,76,4940,77,9.113969922,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",426,76,4938,79,9.150208371,0,40,,,
"Nu: 0.0625, Gamma: 0.005",460,42,4991,26,8.805943106,0,40,,,
"Nu: 0.0625, Gamma: 0.05",456,46,4988,29,8.787823881,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",456,46,4988,29,8.787823881,0,40,,,
"Nu: 0.0625, Gamma: 0.1",445,57,4979,38,8.751585432,0,40,,,
"Nu: 0.0625, Gamma: 0.2",444,58,4960,57,9.077731473,0,40,,,
"Nu: 0.0625, Gamma: 0.5",457,45,4482,535,17.9742707,0,40,,,
"Nu: 0.0625, Gamma: 0.7",461,41,4212,805,22.93893821,0,40,,,
"Nu: 0.0625, Gamma: 0.9",458,44,4151,866,23.98985323,0,40,,,
"Nu: 0.0625, Gamma: 0.99",460,42,4145,872,24.13480703,0,40,,,
"Nu: 0.1, Gamma: 0.0001",52,450,389,4628,84.79797065,0,40,,,
"Nu: 0.1, Gamma: 0.0002",94,408,1053,3964,73.52781301,0,40,,,
"Nu: 0.1, Gamma: 0.0003",76,426,809,4208,77.62275775,0,40,,,
"Nu: 0.1, Gamma: 0.0004",94,408,995,4022,74.57872803,0,40,,,
"Nu: 0.1, Gamma: 0.005",95,407,1028,3989,73.99891285,0,40,,,
"Nu: 0.1, Gamma: 0.05",447,55,4957,60,9.18644682,0,40,,,
"Nu: 0.1, Gamma: 0.0625",397,105,4718,299,12.61098025,0,40,,,
"Nu: 0.1, Gamma: 0.1",445,57,4935,82,9.54883131,0,40,,,
"Nu: 0.1, Gamma: 0.2",440,62,4636,381,14.87588331,0,40,,,
"Nu: 0.1, Gamma: 0.5",441,61,3569,1448,34.22721508,0,40,,,
"Nu: 0.1, Gamma: 0.7",438,64,3371,1646,37.76046385,0,40,,,
"Nu: 0.1, Gamma: 0.9",443,59,3901,1116,28.24787099,0,40,,,
"Nu: 0.1, Gamma: 0.99",443,59,3985,1032,26.72585613,0,40,,,
"Nu: 0.2, Gamma: 0.0001",75,427,523,4494,82.78673673,0,40,,,
"Nu: 0.2, Gamma: 0.0002",99,403,849,4168,77.31473093,0,40,,,
