6440,700,926,580,510,688,494,477,622,502,653,507,711,559,647,633,,,,,,,,bs,bs,bs,bs,bs,bs,,bt,bt,bt,bt,bt,bt,,Blackscholes- B,BB,BB,BB,BB,BB,,Combined,Combined,Combined,Combined,Combined,Combined,,,,,,,
4713,1861,2069,1719,2218,2132,1665,1529,1877,1432,1404,2408,1580,1313,1744,1835,,,,,,,,392425,392425,392425,404265,392425,2.71E+13,,7382275,7382275,7382275,7446172,7382275,2.86E+13,,418495,418495,418495,428577,418495,2.67E+13,,7774700,7774700,7774700,7850437,7774700,5.58E+13,,,,,,,
2778,668,778,573,770,806,555,399,525,689,603,574,735,603,645,693,,,,,,,,455311,455311,455311,466426,455311,2.71E+13,,11401598,11401598,11401598,11689298,11401598,2.86E+13,,448928,448928,448928,460158,448928,2.67E+13,,11856909,11856909,11856909,12155724,11856909,5.58E+13,,,,,,,
2028,163,143,87,174,143,107,63,138,118,162,138,172,156,168,135,,,,,,,,370025,370025,370025,376535,370025,2.71E+13,,18607491,18607491,18607491,19126067,18607491,2.86E+13,,307770,307770,307770,312150,307770,2.67E+13,,18977516,18977516,18977516,19502602,18977516,5.58E+13,,,,,,,
2844,755,991,608,553,786,491,505,637,460,952,614,656,560,727,664,,,,,,,,246284,246284,246284,249740,246284,2.71E+13,,10675242,10675242,10675242,10844395,10675242,2.86E+13,,144614,144614,144614,145272,144614,2.67E+13,,10921526,10921526,10921526,11094135,10921526,5.58E+13,,,,,,,
3706,1266,1571,1061,1499,1229,1020,981,1175,1036,1221,2216,1275,1045,1457,1366,,,,,,,,304425,304425,304425,311750,304425,2.71E+13,,8792370,8792370,8792370,8966377,8792370,2.86E+13,,385386,385386,385386,394298,385386,2.67E+13,,9096795,9096795,9096795,9278127,9096795,5.58E+13,,,,,,,
2423,581,1854,524,504,546,440,377,478,429,507,531,519,514,581,652,,,,,,,,440699,440699,440699,452463,440699,2.71E+13,,15792071,15792071,15792071,16298277,15792071,2.86E+13,,418373,418373,418373,432347,418373,2.67E+13,,16232770,16232770,16232770,16750740,16232770,5.58E+13,,,,,,,
1832,158,118,110,174,153,100,76,163,104,172,117,177,122,221,175,,,,,,,,500177,500177,500177,514831,500177,2.71E+13,,19895485,19895485,19895485,20482103,19895485,2.86E+13,,306712,306712,306712,314757,306712,2.67E+13,,20395662,20395662,20395662,20996934,20395662,5.58E+13,,,,,,,
9197,6658,5741,5066,5623,5726,5568,5000,4906,4915,6601,5360,5620,4979,5905,5816,,,,,,,,503964,503964,503964,519210,503964,2.71E+13,,14397999,14397999,14397999,14750945,14397999,2.86E+13,,170354,170354,170354,172523,170354,2.67E+13,,14901963,14901963,14901963,15270155,14901963,5.58E+13,,,,,,,
2908,930,2150,777,709,848,717,699,738,630,866,747,757,726,754,1001,,,,,,,,262863,262863,262863,269347,262863,2.71E+13,,11524240,11524240,11524240,11710697,11524240,2.86E+13,,595157,595157,595157,614142,595157,2.67E+13,,11787103,11787103,11787103,11980044,11787103,5.58E+13,,,,,,,
3182,942,806,854,1375,1006,858,838,913,810,902,2339,1024,904,1242,1105,,,,,,,,330188,330188,330188,337393,330188,2.71E+13,,16776252,16776252,16776252,17208184,16776252,2.86E+13,,448504,448504,448504,457003,448504,2.67E+13,,17106440,17106440,17106440,17545577,17106440,5.58E+13,,,,,,,
