ToRouter0,ToRouter1,ToRouter2,ToRouter3,ToRouter4,ToRouter5,ToRouter6,ToRouter7,ToRouter8,ToRouter9,ToRouter10,ToRouter11,ToRouter12,ToRouter13,ToRouter14,ToRouter15,Applications (Label Classes)
1332,1055,1086.0,5339.0,1330.0,1100.0,1258.0,1209.0,1290.0,1042.0,1010.0,892.0,1005.0,943.0,1101.0,1208.0,blackscholes
110,37,98.0,4269.0,151.0,77.0,230.0,94.0,235.0,100.0,73.0,30.0,67.0,31.0,88.0,82.0,blackscholes
104,39,74.0,3662.0,183.0,73.0,228.0,110.0,209.0,85.0,70.0,23.0,68.0,26.0,76.0,77.0,blackscholes
251,125,232.0,3045.0,401.0,196.0,424.0,338.0,334.0,186.0,193.0,44.0,171.0,62.0,219.0,216.0,blackscholes
201,70,128.0,2936.0,210.0,99.0,379.0,197.0,309.0,120.0,92.0,27.0,80.0,26.0,102.0,117.0,blackscholes
145,45,132.0,3045.0,189.0,89.0,268.0,147.0,252.0,117.0,84.0,26.0,79.0,28.0,88.0,97.0,blackscholes
135,48,85.0,3044.0,192.0,90.0,217.0,157.0,618.0,115.0,81.0,32.0,80.0,42.0,93.0,97.0,blackscholes
127,33,81.0,3025.0,177.0,78.0,210.0,121.0,235.0,100.0,81.0,26.0,69.0,24.0,126.0,92.0,blackscholes
167,52,108.0,3115.0,238.0,99.0,659.0,132.0,234.0,135.0,100.0,30.0,94.0,41.0,99.0,102.0,blackscholes
133,40,77.0,2769.0,146.0,74.0,227.0,87.0,220.0,80.0,69.0,31.0,123.0,34.0,79.0,96.0,blackscholes
132,35,81.0,3676.0,174.0,121.0,210.0,117.0,186.0,86.0,81.0,25.0,67.0,28.0,80.0,76.0,blackscholes
113,23,80.0,2667.0,151.0,76.0,202.0,100.0,184.0,79.0,69.0,17.0,63.0,18.0,77.0,72.0,blackscholes
134,43,99.0,3017.0,170.0,80.0,258.0,127.0,232.0,102.0,76.0,23.0,69.0,23.0,82.0,114.0,blackscholes
131,37,80.0,2750.0,165.0,70.0,255.0,118.0,233.0,93.0,75.0,26.0,75.0,24.0,82.0,76.0,blackscholes
179,65,115.0,3137.0,201.0,73.0,259.0,143.0,233.0,117.0,111.0,21.0,62.0,24.0,73.0,80.0,blackscholes
259,56,121.0,3247.0,221.0,87.0,274.0,142.0,249.0,128.0,91.0,27.0,82.0,26.0,95.0,99.0,blackscholes
151,117,11.0,6.0,40.0,12.0,25.0,16.0,12.0,8.0,12.0,14.0,10.0,17.0,32.0,22.0,blackscholes
10,65,2.0,1.0,4.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,blackscholes
12,68,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,blackscholes
11,66,0.0,0.0,4.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,blackscholes
30,62,1.0,0.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,0.0,0.0,1.0,2.0,0.0,blackscholes
14,70,0.0,0.0,1.0,0.0,4.0,0.0,0.0,1.0,3.0,0.0,1.0,0.0,1.0,0.0,blackscholes
30,56,0.0,0.0,5.0,0.0,4.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,3.0,0.0,blackscholes
17,56,0.0,0.0,1.0,0.0,2.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,4.0,1.0,blackscholes
21,73,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,1.0,2.0,1.0,0.0,0.0,1.0,blackscholes
8,53,1.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,blackscholes
19,47,2.0,2.0,3.0,1.0,7.0,1.0,2.0,1.0,2.0,1.0,1.0,4.0,4.0,1.0,blackscholes
