Features: 16,,,,,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,93.75,154
"Nu: 0.0001, Gamma: 0.0001",0,2,0,14,87.5,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,2,0,14,87.5,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,2,0,14,87.5,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,2,0,14,87.5,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,2,0,14,87.5,0,40,,,
"Nu: 0.0001, Gamma: 0.05",0,2,0,14,87.5,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",2,0,9,5,43.75,0,40,,,
"Nu: 0.0001, Gamma: 0.1",2,0,9,5,43.75,0,40,,,
"Nu: 0.0001, Gamma: 0.2",2,0,3,11,81.25,0,40,,,
"Nu: 0.0001, Gamma: 0.5",0,2,0,14,87.5,0,40,,,
"Nu: 0.0001, Gamma: 0.7",0,2,0,14,87.5,0,40,,,
"Nu: 0.0001, Gamma: 0.9",0,2,0,14,87.5,0,40,,,
"Nu: 0.0001, Gamma: 0.99",0,2,0,14,87.5,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,2,0,14,87.5,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,2,0,14,87.5,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,2,0,14,87.5,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,2,0,14,87.5,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,2,0,14,87.5,0,40,,,
"Nu: 0.0002, Gamma: 0.05",2,0,9,5,43.75,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",2,0,9,5,43.75,0,40,,,
"Nu: 0.0002, Gamma: 0.1",2,0,9,5,43.75,0,40,,,
"Nu: 0.0002, Gamma: 0.2",2,0,3,11,81.25,0,40,,,
"Nu: 0.0002, Gamma: 0.5",0,2,1,13,81.25,0,40,,,
"Nu: 0.0002, Gamma: 0.7",0,2,0,14,87.5,0,40,,,
"Nu: 0.0002, Gamma: 0.9",0,2,0,14,87.5,0,40,,,
"Nu: 0.0002, Gamma: 0.99",0,2,0,14,87.5,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,2,0,14,87.5,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,2,0,14,87.5,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,2,0,14,87.5,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,2,0,14,87.5,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,2,0,14,87.5,0,40,,,
"Nu: 0.0003, Gamma: 0.05",2,0,9,5,43.75,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",2,0,9,5,43.75,0,40,,,
"Nu: 0.0003, Gamma: 0.1",2,0,9,5,43.75,0,40,,,
"Nu: 0.0003, Gamma: 0.2",2,0,3,11,81.25,0,40,,,
"Nu: 0.0003, Gamma: 0.5",0,2,1,13,81.25,0,40,,,
"Nu: 0.0003, Gamma: 0.7",0,2,0,14,87.5,0,40,,,
"Nu: 0.0003, Gamma: 0.9",2,0,9,5,43.75,0,40,,,
"Nu: 0.0003, Gamma: 0.99",2,0,9,5,43.75,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,2,0,14,87.5,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,2,0,14,87.5,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,2,0,14,87.5,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,2,0,14,87.5,0,40,,,
"Nu: 0.0004, Gamma: 0.005",0,2,0,14,87.5,0,40,,,
"Nu: 0.0004, Gamma: 0.05",2,0,9,5,43.75,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",2,0,9,5,43.75,0,40,,,
"Nu: 0.0004, Gamma: 0.1",2,0,9,5,43.75,0,40,,,
"Nu: 0.0004, Gamma: 0.2",0,2,2,12,75,0,40,,,
