From router 0 to router 0,From router 0 to router 1,From router 0 to router 2,From router 0 to router 3,From router 0 to router 4,From router 0 to router 5,From router 0 to router 6,From router 0 to router 7,From router 0 to router 8,From router 0 to router 9,From router 0 to router 10,From router 0 to router 11,From router 0 to router 12,From router 0 to router 13,From router 0 to router 14,From router 0 to router 15,From router 1 to router 0,From router 1 to router 1,From router 1 to router 2,From router 1 to router 3,From router 1 to router 4,From router 1 to router 5,From router 1 to router 6,From router 1 to router 7,From router 1 to router 8,From router 1 to router 9,From router 1 to router 10,From router 1 to router 11,From router 1 to router 12,From router 1 to router 13,From router 1 to router 14,From router 1 to router 15,From router 2 to router 0,From router 2 to router 1,From router 2 to router 2,From router 2 to router 3,From router 2 to router 4,From router 2 to router 5,From router 2 to router 6,From router 2 to router 7,From router 2 to router 8,From router 2 to router 9,From router 2 to router 10,From router 2 to router 11,From router 2 to router 12,From router 2 to router 13,From router 2 to router 14,From router 2 to router 15,From router 3 to router 0,From router 3 to router 1,From router 3 to router 2,From router 3 to router 3,From router 3 to router 4,From router 3 to router 5,From router 3 to router 6,From router 3 to router 7,From router 3 to router 8,From router 3 to router 9,From router 3 to router 10,From router 3 to router 11,From router 3 to router 12,From router 3 to router 13,From router 3 to router 14,From router 3 to router 15,From router 4 to router 0,From router 4 to router 1,From router 4 to router 2,From router 4 to router 3,From router 4 to router 4,From router 4 to router 5,From router 4 to router 6,From router 4 to router 7,From router 4 to router 8,From router 4 to router 9,From router 4 to router 10,From router 4 to router 11,From router 4 to router 12,From router 4 to router 13,From router 4 to router 14,From router 4 to router 15,From router 5 to router 0,From router 5 to router 1,From router 5 to router 2,From router 5 to router 3,From router 5 to router 4,From router 5 to router 5,From router 5 to router 6,From router 5 to router 7,From router 5 to router 8,From router 5 to router 9,From router 5 to router 10,From router 5 to router 11,From router 5 to router 12,From router 5 to router 13,From router 5 to router 14,From router 5 to router 15,From router 6 to router 0,From router 6 to router 1,From router 6 to router 2,From router 6 to router 3,From router 6 to router 4,From router 6 to router 5,From router 6 to router 6,From router 6 to router 7,From router 6 to router 8,From router 6 to router 9,From router 6 to router 10,From router 6 to router 11,From router 6 to router 12,From router 6 to router 13,From router 6 to router 14,From router 6 to router 15,From router 7 to router 0,From router 7 to router 1,From router 7 to router 2,From router 7 to router 3,From router 7 to router 4,From router 7 to router 5,From router 7 to router 6,From router 7 to router 7,From router 7 to router 8,From router 7 to router 9,From router 7 to router 10,From router 7 to router 11,From router 7 to router 12,From router 7 to router 13,From router 7 to router 14,From router 7 to router 15,From router 8 to router 0,From router 8 to router 1,From router 8 to router 2,From router 8 to router 3,From router 8 to router 4,From router 8 to router 5,From router 8 to router 6,From router 8 to router 7,From router 8 to router 8,From router 8 to router 9,From router 8 to router 10,From router 8 to router 11,From router 8 to router 12,From router 8 to router 13,From router 8 to router 14,From router 8 to router 15,From router 9 to router 0,From router 9 to router 1,From router 9 to router 2,From router 9 to router 3,From router 9 to router 4,From router 9 to router 5,From router 9 to router 6,From router 9 to router 7,From router 9 to router 8,From router 9 to router 9,From router 9 to router 10,From router 9 to router 11,From router 9 to router 12,From router 9 to router 13,From router 9 to router 14,From router 9 to router 15,From router 10 to router 0,From router 10 to router 1,From router 10 to router 2,From router 10 to router 3,From router 10 to router 4,From router 10 to router 5,From router 10 to router 6,From router 10 to router 7,From router 10 to router 8,From router 10 to router 9,From router 10 to router 10,From router 10 to router 11,From router 10 to router 12,From router 10 to router 13,From router 10 to router 14,From router 10 to router 15,From router 11 to router 0,From router 11 to router 1,From router 11 to router 2,From router 11 to router 3,From router 11 to router 4,From router 11 to router 5,From router 11 to router 6,From router 11 to router 7,From router 11 to router 8,From router 11 to router 9,From router 11 to router 10,From router 11 to router 11,From router 11 to router 12,From router 11 to router 13,From router 11 to router 14,From router 11 to router 15,From router 12 to router 0,From router 12 to router 1,From router 12 to router 2,From router 12 to router 3,From router 12 to router 4,From router 12 to router 5,From router 12 to router 6,From router 12 to router 7,From router 12 to router 8,From router 12 to router 9,From router 12 to router 10,From router 12 to router 11,From router 12 to router 12,From router 12 to router 13,From router 12 to router 14,From router 12 to router 15,From router 13 to router 0,From router 13 to router 1,From router 13 to router 2,From router 13 to router 3,From router 13 to router 4,From router 13 to router 5,From router 13 to router 6,From router 13 to router 7,From router 13 to router 8,From router 13 to router 9,From router 13 to router 10,From router 13 to router 11,From router 13 to router 12,From router 13 to router 13,From router 13 to router 14,From router 13 to router 15,From router 14 to router 0,From router 14 to router 1,From router 14 to router 2,From router 14 to router 3,From router 14 to router 4,From router 14 to router 5,From router 14 to router 6,From router 14 to router 7,From router 14 to router 8,From router 14 to router 9,From router 14 to router 10,From router 14 to router 11,From router 14 to router 12,From router 14 to router 13,From router 14 to router 14,From router 14 to router 15,From router 15 to router 0,From router 15 to router 1,From router 15 to router 2,From router 15 to router 3,From router 15 to router 4,From router 15 to router 5,From router 15 to router 6,From router 15 to router 7,From router 15 to router 8,From router 15 to router 9,From router 15 to router 10,From router 15 to router 11,From router 15 to router 12,From router 15 to router 13,From router 15 to router 14,From router 15 to router 15,Applications (Label Classes)
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blackscholes
125.0,58.0,53.0,59.0,78.0,82.0,26.0,51.0,48.0,53.0,23.0,55.0,38.0,49.0,77.0,70.0,40.0,18.0,32.0,21.0,23.0,34.0,4.0,18.0,22.0,11.0,4.0,22.0,18.0,20.0,23.0,19.0,33.0,13.0,19.0,17.0,20.0,36.0,3.0,14.0,16.0,12.0,4.0,31.0,18.0,17.0,19.0,22.0,46.0,14.0,32.0,11.0,20.0,34.0,4.0,20.0,14.0,10.0,4.0,28.0,17.0,17.0,20.0,18.0,53.0,17.0,37.0,17.0,18.0,37.0,3.0,13.0,11.0,13.0,4.0,40.0,18.0,13.0,20.0,22.0,45.0,19.0,27.0,18.0,20.0,31.0,5.0,20.0,20.0,22.0,3.0,36.0,19.0,20.0,21.0,21.0,28.0,14.0,16.0,12.0,16.0,28.0,1.0,15.0,18.0,9.0,2.0,27.0,13.0,17.0,17.0,12.0,41.0,17.0,23.0,14.0,16.0,29.0,1.0,17.0,17.0,8.0,1.0,23.0,16.0,15.0,19.0,12.0,47.0,18.0,27.0,19.0,20.0,43.0,1.0,18.0,16.0,10.0,2.0,24.0,19.0,19.0,24.0,20.0,44.0,18.0,22.0,19.0,20.0,52.0,1.0,20.0,22.0,4.0,7.0,29.0,21.0,20.0,20.0,14.0,27.0,17.0,21.0,17.0,18.0,35.0,3.0,18.0,15.0,6.0,0.0,23.0,16.0,22.0,24.0,15.0,28.0,13.0,19.0,10.0,16.0,27.0,4.0,13.0,13.0,10.0,4.0,15.0,16.0,19.0,17.0,9.0,28.0,12.0,26.0,19.0,18.0,32.0,2.0,16.0,20.0,11.0,1.0,31.0,17.0,11.0,22.0,17.0,35.0,22.0,17.0,15.0,13.0,33.0,2.0,15.0,15.0,11.0,2.0,20.0,20.0,15.0,22.0,11.0,43.0,13.0,45.0,14.0,19.0,33.0,3.0,14.0,12.0,13.0,6.0,52.0,16.0,15.0,19.0,17.0,53.0,16.0,42.0,14.0,17.0,37.0,3.0,14.0,14.0,11.0,7.0,29.0,21.0,13.0,23.0,17.0,blackscholes
94.0,28.0,22.0,37.0,43.0,20.0,15.0,17.0,24.0,22.0,11.0,19.0,19.0,20.0,26.0,26.0,15.0,3.0,6.0,2.0,3.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,4.0,2.0,2.0,6.0,15.0,4.0,3.0,7.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,20.0,2.0,8.0,4.0,6.0,7.0,3.0,1.0,2.0,1.0,3.0,3.0,1.0,1.0,2.0,1.0,20.0,3.0,3.0,3.0,4.0,8.0,2.0,2.0,3.0,2.0,1.0,3.0,1.0,2.0,3.0,0.0,15.0,2.0,1.0,1.0,2.0,5.0,2.0,1.0,2.0,4.0,2.0,0.0,2.0,1.0,1.0,0.0,9.0,4.0,3.0,3.0,3.0,4.0,0.0,4.0,2.0,2.0,3.0,1.0,3.0,1.0,2.0,0.0,12.0,3.0,4.0,2.0,4.0,3.0,4.0,2.0,7.0,2.0,2.0,0.0,3.0,1.0,1.0,0.0,15.0,2.0,2.0,0.0,1.0,6.0,1.0,0.0,0.0,6.0,1.0,1.0,3.0,2.0,2.0,0.0,11.0,2.0,1.0,1.0,1.0,5.0,2.0,0.0,1.0,2.0,3.0,2.0,1.0,0.0,1.0,1.0,12.0,4.0,3.0,3.0,3.0,6.0,1.0,3.0,4.0,2.0,3.0,5.0,5.0,3.0,3.0,3.0,12.0,3.0,4.0,5.0,7.0,5.0,4.0,4.0,4.0,3.0,5.0,2.0,2.0,2.0,4.0,1.0,14.0,3.0,3.0,2.0,4.0,9.0,4.0,2.0,4.0,2.0,3.0,2.0,3.0,5.0,3.0,1.0,14.0,2.0,4.0,3.0,4.0,6.0,1.0,1.0,0.0,1.0,3.0,5.0,1.0,2.0,4.0,1.0,20.0,1.0,3.0,3.0,2.0,4.0,2.0,1.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,15.0,3.0,4.0,3.0,2.0,2.0,1.0,1.0,1.0,2.0,4.0,1.0,0.0,1.0,0.0,2.0,blackscholes
238.0,139.0,29.0,31.0,36.0,38.0,95.0,20.0,30.0,16.0,11.0,10.0,31.0,21.0,20.0,41.0,13.0,72.0,5.0,1.0,3.0,7.0,48.0,2.0,2.0,1.0,2.0,3.0,5.0,1.0,2.0,4.0,16.0,82.0,1.0,3.0,3.0,5.0,49.0,0.0,3.0,1.0,1.0,0.0,12.0,2.0,3.0,0.0,14.0,83.0,3.0,1.0,3.0,8.0,48.0,3.0,2.0,2.0,1.0,3.0,4.0,1.0,1.0,3.0,17.0,86.0,0.0,1.0,1.0,10.0,53.0,1.0,5.0,0.0,1.0,0.0,10.0,3.0,1.0,0.0,17.0,82.0,1.0,1.0,2.0,12.0,42.0,1.0,4.0,0.0,2.0,3.0,18.0,1.0,6.0,0.0,14.0,113.0,7.0,3.0,7.0,11.0,30.0,4.0,1.0,2.0,1.0,2.0,10.0,4.0,2.0,3.0,8.0,68.0,1.0,1.0,3.0,5.0,32.0,1.0,5.0,0.0,1.0,3.0,4.0,1.0,0.0,3.0,19.0,88.0,5.0,1.0,4.0,13.0,44.0,2.0,3.0,2.0,2.0,1.0,7.0,0.0,0.0,0.0,10.0,60.0,2.0,1.0,2.0,10.0,32.0,1.0,0.0,1.0,4.0,0.0,8.0,1.0,1.0,0.0,11.0,60.0,1.0,1.0,1.0,19.0,45.0,1.0,1.0,2.0,2.0,2.0,11.0,0.0,1.0,1.0,9.0,58.0,0.0,2.0,2.0,13.0,40.0,0.0,3.0,0.0,0.0,1.0,11.0,0.0,4.0,1.0,10.0,59.0,3.0,1.0,4.0,25.0,36.0,1.0,2.0,1.0,2.0,3.0,6.0,3.0,1.0,1.0,15.0,63.0,0.0,2.0,2.0,14.0,38.0,1.0,2.0,0.0,1.0,0.0,9.0,0.0,1.0,1.0,14.0,53.0,1.0,2.0,1.0,9.0,35.0,1.0,2.0,1.0,2.0,1.0,9.0,2.0,1.0,7.0,18.0,65.0,0.0,1.0,0.0,4.0,42.0,0.0,1.0,1.0,1.0,2.0,6.0,1.0,4.0,2.0,blackscholes
733.0,529.0,78.0,59.0,68.0,152.0,131.0,28.0,45.0,36.0,41.0,32.0,56.0,41.0,149.0,78.0,27.0,252.0,8.0,10.0,19.0,62.0,79.0,8.0,12.0,3.0,3.0,2.0,11.0,3.0,84.0,10.0,22.0,364.0,10.0,20.0,17.0,55.0,57.0,9.0,9.0,2.0,3.0,2.0,5.0,1.0,42.0,3.0,22.0,320.0,11.0,10.0,13.0,52.0,53.0,10.0,15.0,1.0,3.0,1.0,9.0,2.0,49.0,2.0,23.0,352.0,8.0,4.0,7.0,58.0,64.0,6.0,7.0,1.0,2.0,1.0,5.0,0.0,55.0,3.0,33.0,352.0,8.0,8.0,13.0,62.0,80.0,15.0,15.0,1.0,3.0,4.0,8.0,8.0,100.0,5.0,17.0,337.0,14.0,8.0,9.0,145.0,44.0,12.0,13.0,7.0,5.0,6.0,12.0,13.0,100.0,7.0,15.0,267.0,5.0,7.0,9.0,60.0,44.0,5.0,14.0,3.0,2.0,1.0,7.0,1.0,51.0,2.0,24.0,301.0,4.0,5.0,4.0,59.0,50.0,4.0,12.0,5.0,1.0,0.0,6.0,0.0,50.0,5.0,19.0,239.0,1.0,2.0,0.0,42.0,40.0,2.0,10.0,0.0,7.0,1.0,8.0,0.0,50.0,2.0,15.0,214.0,4.0,4.0,10.0,56.0,46.0,5.0,8.0,1.0,2.0,5.0,7.0,2.0,59.0,2.0,21.0,494.0,4.0,5.0,10.0,609.0,302.0,4.0,3.0,1.0,1.0,0.0,6.0,0.0,406.0,4.0,25.0,241.0,6.0,6.0,8.0,68.0,58.0,8.0,7.0,0.0,2.0,1.0,7.0,5.0,54.0,2.0,20.0,214.0,8.0,4.0,4.0,59.0,58.0,4.0,7.0,0.0,1.0,0.0,5.0,1.0,63.0,4.0,51.0,273.0,8.0,11.0,12.0,83.0,154.0,17.0,18.0,6.0,7.0,5.0,12.0,12.0,55.0,11.0,39.0,253.0,7.0,6.0,8.0,65.0,58.0,7.0,5.0,2.0,2.0,1.0,8.0,2.0,69.0,2.0,blackscholes
316.0,389.0,159.0,174.0,229.0,376.0,403.0,140.0,175.0,143.0,141.0,175.0,363.0,246.0,668.0,1080.0,35.0,128.0,6.0,19.0,28.0,161.0,183.0,5.0,13.0,3.0,3.0,8.0,123.0,34.0,291.0,508.0,19.0,149.0,1.0,10.0,27.0,127.0,158.0,2.0,11.0,3.0,3.0,3.0,110.0,37.0,260.0,543.0,21.0,137.0,1.0,8.0,22.0,151.0,181.0,4.0,7.0,4.0,5.0,5.0,100.0,40.0,286.0,605.0,26.0,150.0,4.0,11.0,23.0,158.0,209.0,2.0,8.0,5.0,3.0,5.0,108.0,53.0,290.0,726.0,28.0,196.0,4.0,24.0,21.0,179.0,245.0,6.0,15.0,6.0,5.0,24.0,117.0,52.0,363.0,666.0,21.0,153.0,6.0,15.0,25.0,220.0,127.0,6.0,17.0,4.0,3.0,16.0,112.0,38.0,237.0,550.0,16.0,158.0,3.0,8.0,16.0,150.0,152.0,2.0,9.0,3.0,3.0,4.0,106.0,35.0,230.0,506.0,21.0,141.0,3.0,5.0,17.0,139.0,153.0,2.0,7.0,6.0,5.0,6.0,113.0,41.0,229.0,495.0,17.0,126.0,2.0,3.0,14.0,136.0,140.0,2.0,2.0,0.0,3.0,0.0,109.0,40.0,237.0,405.0,17.0,130.0,2.0,3.0,7.0,135.0,151.0,1.0,5.0,1.0,2.0,3.0,106.0,53.0,250.0,431.0,19.0,518.0,3.0,5.0,13.0,897.0,489.0,0.0,7.0,2.0,3.0,2.0,100.0,42.0,696.0,562.0,30.0,158.0,4.0,12.0,20.0,169.0,198.0,11.0,18.0,5.0,5.0,7.0,102.0,68.0,308.0,510.0,39.0,162.0,7.0,10.0,21.0,161.0,196.0,6.0,8.0,3.0,6.0,3.0,96.0,43.0,244.0,531.0,70.0,272.0,6.0,16.0,44.0,206.0,244.0,7.0,11.0,7.0,9.0,15.0,112.0,90.0,255.0,609.0,56.0,228.0,4.0,12.0,21.0,199.0,273.0,4.0,11.0,3.0,4.0,8.0,167.0,48.0,327.0,593.0,blackscholes
158.0,63.0,37.0,53.0,53.0,51.0,38.0,35.0,47.0,53.0,49.0,54.0,68.0,80.0,67.0,728.0,27.0,16.0,4.0,4.0,18.0,19.0,20.0,1.0,4.0,4.0,2.0,13.0,22.0,14.0,24.0,547.0,19.0,11.0,0.0,6.0,4.0,17.0,13.0,0.0,2.0,1.0,3.0,11.0,20.0,20.0,24.0,619.0,17.0,16.0,2.0,4.0,10.0,14.0,14.0,2.0,3.0,1.0,4.0,12.0,25.0,22.0,26.0,638.0,16.0,18.0,1.0,3.0,5.0,13.0,15.0,2.0,2.0,1.0,4.0,5.0,23.0,9.0,18.0,633.0,19.0,18.0,2.0,2.0,4.0,15.0,16.0,0.0,0.0,0.0,4.0,10.0,21.0,13.0,24.0,702.0,12.0,12.0,1.0,1.0,6.0,14.0,13.0,3.0,3.0,2.0,2.0,12.0,21.0,13.0,27.0,544.0,14.0,12.0,2.0,2.0,3.0,13.0,15.0,3.0,3.0,1.0,4.0,8.0,18.0,13.0,28.0,622.0,18.0,18.0,0.0,1.0,3.0,16.0,14.0,1.0,1.0,4.0,3.0,6.0,19.0,18.0,23.0,548.0,25.0,16.0,2.0,2.0,4.0,16.0,16.0,1.0,3.0,2.0,5.0,3.0,19.0,10.0,19.0,728.0,21.0,12.0,2.0,3.0,3.0,15.0,15.0,3.0,2.0,3.0,4.0,9.0,19.0,14.0,27.0,676.0,17.0,10.0,0.0,1.0,3.0,8.0,11.0,0.0,1.0,2.0,3.0,4.0,20.0,10.0,17.0,712.0,23.0,13.0,1.0,2.0,2.0,12.0,11.0,3.0,3.0,1.0,3.0,7.0,22.0,22.0,24.0,655.0,26.0,17.0,3.0,2.0,10.0,18.0,11.0,1.0,6.0,5.0,2.0,10.0,21.0,16.0,30.0,627.0,25.0,12.0,3.0,2.0,4.0,11.0,9.0,2.0,2.0,4.0,3.0,7.0,18.0,16.0,22.0,656.0,36.0,14.0,2.0,6.0,3.0,13.0,12.0,3.0,2.0,1.0,3.0,10.0,22.0,19.0,28.0,628.0,blackscholes
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blackscholes
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blackscholes
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,blackscholes
