Features: 16,,,,,,,,,,
Target Class: bodytrack,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,100,212
"Nu: 0.0001, Gamma: 0.0001",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.0001, Gamma: 0.05",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.0001, Gamma: 0.1",1,3,21,20,46.66666667,0,40,,,
"Nu: 0.0001, Gamma: 0.2",2,2,4,37,86.66666667,0,40,,,
"Nu: 0.0001, Gamma: 0.5",2,2,0,41,95.55555556,0,40,,,
"Nu: 0.0001, Gamma: 0.7",2,2,0,41,95.55555556,0,40,,,
"Nu: 0.0001, Gamma: 0.9",2,2,0,41,95.55555556,0,40,,,
"Nu: 0.0001, Gamma: 0.99",2,2,0,41,95.55555556,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.0002, Gamma: 0.05",3,1,30,11,31.11111111,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",3,1,30,11,31.11111111,0,40,,,
"Nu: 0.0002, Gamma: 0.1",3,1,26,15,40,0,40,,,
"Nu: 0.0002, Gamma: 0.2",2,2,4,37,86.66666667,0,40,,,
"Nu: 0.0002, Gamma: 0.5",3,1,16,25,62.22222222,0,40,,,
"Nu: 0.0002, Gamma: 0.7",3,1,11,30,73.33333333,0,40,,,
"Nu: 0.0002, Gamma: 0.9",3,1,0,41,97.77777778,0,40,,,
"Nu: 0.0002, Gamma: 0.99",3,1,0,41,97.77777778,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,4,0,41,91.11111111,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,4,0,41,91.11111111,0,40,,,
