Features: 16,,,,,,,,,,
Target Class: canneal,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,93.10344828,163
"Nu: 0.0001, Gamma: 0.0001",0,5,0,53,91.37931034,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,5,0,53,91.37931034,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,5,0,53,91.37931034,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,5,0,53,91.37931034,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,5,0,53,91.37931034,0,40,,,
"Nu: 0.0001, Gamma: 0.05",4,1,44,9,22.4137931,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",4,1,44,9,22.4137931,0,40,,,
"Nu: 0.0001, Gamma: 0.1",4,1,44,9,22.4137931,0,40,,,
"Nu: 0.0001, Gamma: 0.2",4,1,31,22,44.82758621,0,40,,,
"Nu: 0.0001, Gamma: 0.5",3,2,26,27,51.72413793,0,40,,,
"Nu: 0.0001, Gamma: 0.7",2,3,37,16,31.03448276,0,40,,,
"Nu: 0.0001, Gamma: 0.9",2,3,37,16,31.03448276,0,40,,,
"Nu: 0.0001, Gamma: 0.99",2,3,37,16,31.03448276,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,5,0,53,91.37931034,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,5,0,53,91.37931034,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,5,0,53,91.37931034,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,5,0,53,91.37931034,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,5,0,53,91.37931034,0,40,,,
"Nu: 0.0002, Gamma: 0.05",4,1,44,9,22.4137931,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",4,1,44,9,22.4137931,0,40,,,
"Nu: 0.0002, Gamma: 0.1",4,1,44,9,22.4137931,0,40,,,
"Nu: 0.0002, Gamma: 0.2",4,1,31,22,44.82758621,0,40,,,
"Nu: 0.0002, Gamma: 0.5",2,3,39,14,27.5862069,0,40,,,
"Nu: 0.0002, Gamma: 0.7",2,3,37,16,31.03448276,0,40,,,
"Nu: 0.0002, Gamma: 0.9",2,3,37,16,31.03448276,0,40,,,
"Nu: 0.0002, Gamma: 0.99",2,3,23,30,55.17241379,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,5,0,53,91.37931034,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,5,0,53,91.37931034,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,5,0,53,91.37931034,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,5,0,53,91.37931034,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,5,0,53,91.37931034,0,40,,,
"Nu: 0.0003, Gamma: 0.05",4,1,44,9,22.4137931,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",4,1,44,9,22.4137931,0,40,,,
"Nu: 0.0003, Gamma: 0.1",4,1,44,9,22.4137931,0,40,,,
"Nu: 0.0003, Gamma: 0.2",4,1,31,22,44.82758621,0,40,,,
"Nu: 0.0003, Gamma: 0.5",4,1,18,35,67.24137931,0,40,,,
"Nu: 0.0003, Gamma: 0.7",1,4,24,29,51.72413793,0,40,,,
"Nu: 0.0003, Gamma: 0.9",3,2,12,41,75.86206897,0,40,,,
"Nu: 0.0003, Gamma: 0.99",2,3,12,41,74.13793103,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,5,0,53,91.37931034,0,40,,,
