Features: 16,,,,,,,,,,
Target Class: dedup,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.98266297,117
"Nu: 0.0001, Gamma: 0.0001",0,10,0,23062,99.95665742,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,10,0,23062,99.95665742,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,10,0,23062,99.95665742,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,10,0,23062,99.95665742,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,10,0,23062,99.95665742,0,40,,,
"Nu: 0.0001, Gamma: 0.05",9,1,23055,7,0.069348128,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",8,2,23054,8,0.069348128,0,40,,,
"Nu: 0.0001, Gamma: 0.1",9,1,23030,32,0.177704577,0,40,,,
"Nu: 0.0001, Gamma: 0.2",9,1,22978,84,0.403085992,0,40,,,
"Nu: 0.0001, Gamma: 0.5",1,9,12,23050,99.90898058,0,40,,,
"Nu: 0.0001, Gamma: 0.7",4,6,22920,142,0.632801664,0,40,,,
"Nu: 0.0001, Gamma: 0.9",3,7,0,23062,99.96966019,0,40,,,
"Nu: 0.0001, Gamma: 0.99",3,7,0,23062,99.96966019,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,10,0,23062,99.95665742,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,10,0,23062,99.95665742,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,10,0,23062,99.95665742,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,10,0,23062,99.95665742,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,10,0,23062,99.95665742,0,40,,,
"Nu: 0.0002, Gamma: 0.05",9,1,23055,7,0.069348128,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",8,2,23054,8,0.069348128,0,40,,,
"Nu: 0.0002, Gamma: 0.1",10,0,23055,7,0.073682386,0,40,,,
"Nu: 0.0002, Gamma: 0.2",9,1,137,22925,99.4018724,0,40,,,
"Nu: 0.0002, Gamma: 0.5",9,1,22936,126,0.585124827,0,40,,,
"Nu: 0.0002, Gamma: 0.7",5,5,2,23060,99.96966019,0,40,,,
"Nu: 0.0002, Gamma: 0.9",3,7,0,23062,99.96966019,0,40,,,
"Nu: 0.0002, Gamma: 0.99",3,7,0,23062,99.96966019,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,10,0,23062,99.95665742,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,10,0,23062,99.95665742,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,10,0,23062,99.95665742,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,10,0,23062,99.95665742,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,10,0,23062,99.95665742,0,40,,,
