From router 0 to router 0,From router 0 to router 1,From router 0 to router 2,From router 0 to router 3,From router 0 to router 4,From router 0 to router 5,From router 0 to router 6,From router 0 to router 7,From router 0 to router 8,From router 0 to router 9,From router 0 to router 10,From router 0 to router 11,From router 0 to router 12,From router 0 to router 13,From router 0 to router 14,From router 0 to router 15,From router 1 to router 0,From router 1 to router 1,From router 1 to router 2,From router 1 to router 3,From router 1 to router 4,From router 1 to router 5,From router 1 to router 6,From router 1 to router 7,From router 1 to router 8,From router 1 to router 9,From router 1 to router 10,From router 1 to router 11,From router 1 to router 12,From router 1 to router 13,From router 1 to router 14,From router 1 to router 15,From router 2 to router 0,From router 2 to router 1,From router 2 to router 2,From router 2 to router 3,From router 2 to router 4,From router 2 to router 5,From router 2 to router 6,From router 2 to router 7,From router 2 to router 8,From router 2 to router 9,From router 2 to router 10,From router 2 to router 11,From router 2 to router 12,From router 2 to router 13,From router 2 to router 14,From router 2 to router 15,From router 3 to router 0,From router 3 to router 1,From router 3 to router 2,From router 3 to router 3,From router 3 to router 4,From router 3 to router 5,From router 3 to router 6,From router 3 to router 7,From router 3 to router 8,From router 3 to router 9,From router 3 to router 10,From router 3 to router 11,From router 3 to router 12,From router 3 to router 13,From router 3 to router 14,From router 3 to router 15,From router 4 to router 0,From router 4 to router 1,From router 4 to router 2,From router 4 to router 3,From router 4 to router 4,From router 4 to router 5,From router 4 to router 6,From router 4 to router 7,From router 4 to router 8,From router 4 to router 9,From router 4 to router 10,From router 4 to router 11,From router 4 to router 12,From router 4 to router 13,From router 4 to router 14,From router 4 to router 15,From router 5 to router 0,From router 5 to router 1,From router 5 to router 2,From router 5 to router 3,From router 5 to router 4,From router 5 to router 5,From router 5 to router 6,From router 5 to router 7,From router 5 to router 8,From router 5 to router 9,From router 5 to router 10,From router 5 to router 11,From router 5 to router 12,From router 5 to router 13,From router 5 to router 14,From router 5 to router 15,From router 6 to router 0,From router 6 to router 1,From router 6 to router 2,From router 6 to router 3,From router 6 to router 4,From router 6 to router 5,From router 6 to router 6,From router 6 to router 7,From router 6 to router 8,From router 6 to router 9,From router 6 to router 10,From router 6 to router 11,From router 6 to router 12,From router 6 to router 13,From router 6 to router 14,From router 6 to router 15,From router 7 to router 0,From router 7 to router 1,From router 7 to router 2,From router 7 to router 3,From router 7 to router 4,From router 7 to router 5,From router 7 to router 6,From router 7 to router 7,From router 7 to router 8,From router 7 to router 9,From router 7 to router 10,From router 7 to router 11,From router 7 to router 12,From router 7 to router 13,From router 7 to router 14,From router 7 to router 15,From router 8 to router 0,From router 8 to router 1,From router 8 to router 2,From router 8 to router 3,From router 8 to router 4,From router 8 to router 5,From router 8 to router 6,From router 8 to router 7,From router 8 to router 8,From router 8 to router 9,From router 8 to router 10,From router 8 to router 11,From router 8 to router 12,From router 8 to router 13,From router 8 to router 14,From router 8 to router 15,From router 9 to router 0,From router 9 to router 1,From router 9 to router 2,From router 9 to router 3,From router 9 to router 4,From router 9 to router 5,From router 9 to router 6,From router 9 to router 7,From router 9 to router 8,From router 9 to router 9,From router 9 to router 10,From router 9 to router 11,From router 9 to router 12,From router 9 to router 13,From router 9 to router 14,From router 9 to router 15,From router 10 to router 0,From router 10 to router 1,From router 10 to router 2,From router 10 to router 3,From router 10 to router 4,From router 10 to router 5,From router 10 to router 6,From router 10 to router 7,From router 10 to router 8,From router 10 to router 9,From router 10 to router 10,From router 10 to router 11,From router 10 to router 12,From router 10 to router 13,From router 10 to router 14,From router 10 to router 15,From router 11 to router 0,From router 11 to router 1,From router 11 to router 2,From router 11 to router 3,From router 11 to router 4,From router 11 to router 5,From router 11 to router 6,From router 11 to router 7,From router 11 to router 8,From router 11 to router 9,From router 11 to router 10,From router 11 to router 11,From router 11 to router 12,From router 11 to router 13,From router 11 to router 14,From router 11 to router 15,From router 12 to router 0,From router 12 to router 1,From router 12 to router 2,From router 12 to router 3,From router 12 to router 4,From router 12 to router 5,From router 12 to router 6,From router 12 to router 7,From router 12 to router 8,From router 12 to router 9,From router 12 to router 10,From router 12 to router 11,From router 12 to router 12,From router 12 to router 13,From router 12 to router 14,From router 12 to router 15,From router 13 to router 0,From router 13 to router 1,From router 13 to router 2,From router 13 to router 3,From router 13 to router 4,From router 13 to router 5,From router 13 to router 6,From router 13 to router 7,From router 13 to router 8,From router 13 to router 9,From router 13 to router 10,From router 13 to router 11,From router 13 to router 12,From router 13 to router 13,From router 13 to router 14,From router 13 to router 15,From router 14 to router 0,From router 14 to router 1,From router 14 to router 2,From router 14 to router 3,From router 14 to router 4,From router 14 to router 5,From router 14 to router 6,From router 14 to router 7,From router 14 to router 8,From router 14 to router 9,From router 14 to router 10,From router 14 to router 11,From router 14 to router 12,From router 14 to router 13,From router 14 to router 14,From router 14 to router 15,From router 15 to router 0,From router 15 to router 1,From router 15 to router 2,From router 15 to router 3,From router 15 to router 4,From router 15 to router 5,From router 15 to router 6,From router 15 to router 7,From router 15 to router 8,From router 15 to router 9,From router 15 to router 10,From router 15 to router 11,From router 15 to router 12,From router 15 to router 13,From router 15 to router 14,From router 15 to router 15,Applications (Label Classes)
4215,2337,2679,4503,2800,2329,2221,2223,2238,2233,2187,2202,2599,2262,2355,2355,1595,11,143,2171,186,14,7,7,7,8,7,7,129,10,15,14,1661,14,153,2172,201,14,6,7,5,4,4,7,175,12,30,24,1552,5,144,2139,201,6,8,5,5,5,5,6,149,6,8,6,1689,16,188,2172,212,13,10,5,13,10,12,15,247,13,14,12,1630,11,170,2161,176,10,9,7,7,7,6,5,179,8,9,10,1514,7,117,2144,125,8,3,7,4,4,6,3,122,6,6,8,1471,9,113,2146,115,8,4,6,6,5,4,3,109,6,7,9,1558,7,139,2149,156,7,6,4,5,7,4,5,145,4,7,8,1466,7,128,2149,139,7,4,6,4,5,6,4,113,5,8,11,1533,7,118,2145,177,5,3,4,4,4,2,5,131,5,5,8,1483,4,118,2147,143,3,4,4,4,4,3,3,131,3,7,9,1531,12,144,2179,272,14,7,10,15,11,10,8,134,9,11,9,1502,6,132,2169,162,8,4,5,4,7,4,4,133,6,10,10,1598,8,178,2156,171,8,8,8,7,8,5,8,127,6,10,12,1674,8,177,2156,184,8,6,6,6,6,5,8,157,7,11,12,dedup_Pileline
5052,1069,739,4712,4729,952,756,4441,843,4437,3985,4876,877,4487,5970,4300,2220,13,13,2689,2447,13,9,2699,11,2270,2094,3028,12,2081,3334,1738,2132,9,7,2693,2231,7,5,2531,5,2123,1966,2633,5,2005,3200,1685,2478,60,19,2675,2516,28,7,2735,25,2374,2276,2795,28,2235,3619,1941,2714,101,32,2915,2449,59,36,2893,39,2594,2511,3179,43,2545,3991,1979,2668,14,8,3061,2694,11,7,2984,10,2743,2409,3205,10,2510,3739,2189,2084,10,6,2679,1952,6,3,2369,4,2284,1926,2718,6,1813,2968,1439,2049,56,18,2808,2102,43,9,2495,26,2205,2066,2589,29,1884,3064,1676,1984,8,3,2782,2103,8,3,2521,4,2370,1915,2500,5,1870,2907,1631,2021,93,19,2954,2125,79,18,2425,95,2085,2171,2640,34,2131,3173,1698,2235,96,19,3171,2590,35,16,2814,28,2339,1923,2797,31,2495,3581,1902,2109,90,21,2962,2276,39,6,2857,24,2227,2050,2559,38,2055,3707,2221,2225,8,5,2583,2019,7,4,2652,4,2070,1939,2458,5,1839,3033,1713,2189,105,41,2982,2494,51,11,3067,34,2337,2219,2802,48,1925,3400,1927,2208,108,31,2953,2389,68,11,2951,36,2323,2242,2935,44,2202,3191,2010,2997,88,24,3616,3174,36,8,3680,36,3059,2947,3612,34,2872,4266,2434,dedup_Pileline
44,37,3,2,2,8,5,3,2,8,3,3,4,3,4,5,6,5,3,3,2,3,3,3,3,3,11,3,3,3,3,4,6,4,0,1,0,0,0,0,0,0,1,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19,0,1,0,0,0,0,0,1,1,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,12,2,2,1,2,2,2,2,0,0,0,0,0,1,1,5,15,1,0,1,1,0,0,0,0,0,0,1,0,1,1,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,18,1,1,0,1,1,1,1,0,0,1,2,1,1,2,5,6,0,0,0,0,0,0,0,0,0,0,1,0,0,1,6,39,1,1,0,1,1,1,1,2,2,1,2,1,1,2,5,19,1,1,0,1,1,1,1,1,1,1,2,1,1,2,dedup_Pileline
29,5,2,3,4,7,2,3,2,2,3,4,2,2,4,11,6,0,2,1,0,1,1,1,1,1,1,1,1,1,1,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,2,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,5,1,1,1,0,1,1,1,1,1,1,1,1,1,1,3,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,1,1,0,1,1,1,1,1,0,1,1,1,1,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,8,6,0,1,1,0,1,1,1,1,1,2,1,1,1,1,5,10,4,3,4,1,4,4,4,3,3,17,3,3,3,3,4,dedup_Pileline
20,6,1,2,7,9,2,2,2,3,3,2,2,2,3,5,6,0,2,1,0,1,1,1,1,1,1,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dedup_Pileline
47,8,3,8,7,55,9,37,38,4,9,4,36,5,36,71,13,0,2,1,0,7,1,5,5,1,1,1,8,1,5,13,12,0,0,1,0,7,0,6,5,0,1,0,7,0,5,20,14,0,0,0,0,8,0,3,7,0,0,0,5,0,8,18,20,0,0,0,0,18,0,17,18,0,1,1,17,0,19,44,12,1,1,0,0,0,2,21,6,2,6,2,8,2,8,24,14,0,0,0,0,4,0,7,5,0,0,0,6,0,6,21,10,1,0,0,1,3,1,0,20,2,4,2,8,2,6,21,13,1,1,0,1,5,1,5,1,2,11,2,17,2,9,32,9,0,0,0,0,3,0,3,3,0,0,0,7,0,3,12,24,0,2,0,1,6,0,2,6,0,0,0,15,1,4,31,11,0,0,0,1,4,0,4,3,0,0,0,7,0,3,8,16,2,1,1,2,19,1,21,23,1,0,1,19,3,38,71,10,0,0,0,0,3,0,3,4,0,0,0,5,0,5,20,43,1,2,2,0,40,2,38,40,1,3,1,40,1,35,111,25,1,2,1,1,21,1,22,24,1,1,1,21,1,23,56,dedup_Pileline
26,7,40,35,7,8,2,11,7,2,4,3,9,2,8,13,7,0,8,6,1,1,1,1,1,1,1,1,2,1,1,4,6,1,5,20,2,3,2,2,2,2,6,2,3,2,3,6,7,2,9,5,2,7,3,3,5,3,12,3,3,3,5,7,4,0,15,18,0,1,0,1,1,0,2,0,1,2,2,2,6,2,7,5,1,0,0,0,0,0,2,0,0,0,0,1,4,0,5,5,1,0,0,0,0,0,1,0,0,0,0,3,7,3,6,6,2,3,3,1,1,1,1,1,1,1,1,3,9,2,6,8,1,2,2,2,0,0,0,0,0,0,0,3,4,0,3,3,1,0,0,0,0,0,0,0,0,0,0,2,4,1,5,4,1,1,1,1,1,1,1,1,1,1,1,3,5,1,4,4,1,0,0,0,0,0,0,0,0,0,0,0,8,3,24,24,1,3,3,3,4,3,4,3,1,1,1,3,4,0,3,3,2,0,0,0,0,0,1,0,0,0,0,6,9,2,41,44,1,4,3,4,4,3,6,3,4,3,2,5,12,4,43,26,2,4,4,4,4,3,11,3,6,3,5,7,dedup_Pileline
13,5,7,8,4,7,33,2,3,2,4,3,3,2,3,5,6,0,2,1,0,1,8,1,1,1,1,1,2,1,1,2,6,2,0,0,1,0,7,0,0,0,1,0,1,0,0,1,9,2,6,4,0,0,16,0,0,0,0,0,1,0,1,1,3,1,2,2,0,1,18,2,1,1,2,1,1,0,1,0,5,0,0,0,0,0,6,0,0,0,0,0,1,0,0,1,5,1,0,0,1,0,2,2,2,2,11,2,2,2,2,3,4,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,7,0,0,0,0,0,1,0,0,1,4,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,6,0,1,0,0,1,15,0,0,0,0,0,1,0,1,1,4,0,0,0,0,0,6,0,0,0,0,0,1,0,0,1,5,1,0,0,0,0,11,1,1,1,0,1,2,1,1,2,4,0,0,0,0,0,5,0,0,0,0,0,1,0,0,1,5,0,2,2,1,1,41,1,1,1,2,1,2,1,1,2,5,1,1,0,0,0,13,1,1,1,1,1,2,1,1,2,dedup_Pileline
22,5,1,4,4,4,10,2,3,32,4,2,3,3,4,5,6,0,2,1,1,1,1,1,1,8,1,1,2,1,1,2,4,0,0,0,0,0,0,0,0,6,1,0,1,0,0,1,6,0,0,0,0,0,3,0,0,10,0,0,1,0,0,1,2,0,1,0,0,0,1,0,0,19,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,7,2,2,2,0,2,0,0,0,12,1,0,1,0,1,1,4,0,0,1,0,0,0,0,0,5,0,0,1,0,0,1,5,0,0,0,0,0,0,0,0,7,0,0,1,0,0,1,4,1,0,0,2,0,0,0,0,0,11,2,2,2,2,3,6,0,1,0,1,1,0,0,0,15,0,0,1,0,1,1,4,0,0,0,0,0,0,0,0,6,0,0,1,0,0,1,5,1,1,1,0,1,1,0,0,11,0,1,2,1,1,2,5,0,0,0,0,0,0,0,0,5,0,0,1,0,0,1,6,0,1,1,0,1,2,1,1,41,2,1,2,1,1,2,5,1,1,1,0,1,0,0,0,13,1,1,2,1,1,2,dedup_Pileline
22,37,2,2,4,4,4,2,2,10,3,2,4,2,3,43,7,3,3,3,1,3,3,3,3,3,11,3,3,3,4,24,5,5,0,1,0,0,0,0,0,0,1,0,1,0,0,15,4,7,0,0,1,0,0,0,0,3,0,0,1,0,0,20,2,19,0,0,0,0,0,0,0,1,1,0,0,0,0,26,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0,9,4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,18,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0,12,4,5,0,0,0,0,0,0,0,0,0,0,1,0,0,23,8,12,3,2,1,2,2,2,2,0,0,0,1,0,1,17,6,13,2,0,1,2,0,0,0,0,0,0,2,1,2,38,5,6,0,0,0,0,0,0,0,0,0,0,2,0,0,7,6,18,1,1,0,1,1,1,1,0,0,1,3,1,1,33,4,5,0,0,0,0,0,0,0,0,0,0,2,0,0,22,5,39,1,1,0,1,1,1,1,2,2,1,3,1,1,49,5,19,1,1,1,1,1,1,1,1,1,1,2,1,1,21,dedup_Pileline
16,14,1,2,4,9,2,2,2,4,3,32,3,2,3,13,8,0,2,1,0,1,1,1,1,1,1,9,2,1,1,5,4,0,0,0,0,0,0,0,0,0,1,7,1,0,0,3,4,3,1,1,0,1,1,1,1,1,1,6,2,1,1,7,2,1,0,1,1,0,0,0,1,0,1,16,0,0,0,1,4,0,0,0,0,0,0,0,0,0,2,5,1,0,0,2,5,0,0,0,0,0,0,0,0,0,1,7,1,0,0,3,5,1,1,1,0,1,1,1,1,1,1,6,2,1,1,4,4,1,0,0,1,0,0,0,0,0,0,7,1,0,0,3,4,0,0,0,0,0,0,0,0,0,0,5,1,0,0,3,6,1,2,1,0,2,1,1,1,1,1,14,2,1,2,5,4,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,5,1,1,1,0,1,1,1,1,1,0,12,1,1,1,4,4,0,0,0,0,0,0,0,0,0,1,3,0,0,0,6,5,2,1,1,0,1,1,1,1,1,2,36,1,1,1,5,12,4,4,4,2,4,4,4,3,3,17,24,4,3,5,6,dedup_Pileline
22,5,1,2,4,7,3,3,3,2,4,8,2,3,4,4,6,0,2,1,0,1,1,1,1,1,1,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,2,2,1,2,2,2,2,2,11,0,0,0,0,1,5,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,0,1,1,1,1,1,2,2,1,1,1,1,5,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,dedup_Pileline
46,11,2,8,6,6,3,4,2,2,2,34,4,3,5,5,8,0,2,1,0,1,1,1,1,1,1,12,2,1,2,2,5,0,0,0,0,0,0,0,0,0,0,6,1,0,0,1,7,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,3,1,0,0,0,0,0,1,0,0,0,19,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,6,0,0,0,1,0,0,0,0,0,0,5,1,0,0,1,4,0,0,0,0,0,0,0,0,0,0,7,1,0,0,1,4,0,0,0,1,0,0,0,0,0,0,5,1,0,0,1,5,1,1,0,1,1,0,0,0,0,0,18,1,0,1,1,5,0,0,0,1,0,0,0,0,0,0,0,2,2,2,2,6,1,0,0,0,0,0,0,0,0,0,10,2,1,1,2,6,0,0,0,0,0,0,0,0,0,0,5,1,0,0,1,7,2,1,1,0,1,1,1,1,1,1,39,2,1,1,2,5,1,0,0,0,0,0,0,0,0,0,11,2,1,1,2,dedup_Pileline
13,5,1,2,2,7,2,2,4,2,3,2,3,30,3,5,6,0,2,1,0,1,1,1,1,1,1,1,2,8,1,2,5,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,17,0,0,4,0,0,0,1,0,0,0,0,0,0,0,1,5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,7,0,1,4,0,0,0,0,0,0,0,0,0,0,0,1,5,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,8,0,1,4,0,0,0,0,0,0,0,1,0,0,0,1,5,0,1,6,0,1,0,1,1,0,0,0,0,0,0,1,14,1,1,6,0,0,0,1,0,0,0,0,0,0,0,1,11,1,1,4,0,0,0,0,0,0,0,0,0,0,0,1,10,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,0,1,1,0,1,1,1,1,1,1,1,2,41,1,2,4,0,0,0,0,0,0,0,0,0,0,0,1,13,1,2,dedup_Pileline
16,5,2,2,5,7,3,2,2,2,4,2,4,3,3,45,6,0,2,1,0,1,1,1,1,1,1,1,2,1,1,13,4,0,0,0,0,0,0,0,0,0,1,0,1,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,2,0,0,0,0,1,0,0,0,0,1,1,0,1,0,22,5,0,0,0,0,0,0,0,0,0,1,0,1,0,0,9,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,5,0,1,0,0,1,0,0,0,0,0,0,1,1,1,37,4,0,0,0,1,0,0,0,0,0,0,0,1,0,0,10,6,1,1,1,0,1,1,1,1,1,0,1,2,1,0,30,7,3,3,2,1,2,2,2,2,2,11,2,4,0,1,33,5,0,1,1,0,1,1,1,1,1,2,1,2,2,1,48,5,1,1,1,0,1,1,1,1,1,1,1,1,0,0,19,dedup_Pileline
16,5,1,2,4,8,2,3,2,2,3,2,3,2,3,11,7,0,2,1,0,1,1,1,1,1,1,1,1,1,1,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,6,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,4,1,1,1,0,1,1,1,1,1,1,1,1,1,1,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,1,0,1,1,1,1,1,0,1,1,1,1,3,4,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8,5,0,1,1,0,1,1,1,1,1,2,1,1,1,1,5,10,4,3,4,1,4,4,4,3,3,17,3,3,3,3,4,dedup_Pileline
19,6,1,2,2,7,2,2,2,3,2,4,2,2,3,4,6,0,2,1,0,1,1,1,1,1,1,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,dedup_Pileline
19,5,1,2,7,7,2,3,4,2,2,2,2,2,4,4,6,0,2,1,1,1,1,1,1,1,1,1,1,1,1,1,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,1,1,1,1,1,1,2,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,1,1,2,1,1,1,1,1,1,1,1,1,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,dedup_Pileline
13,5,1,2,2,4,2,2,2,2,2,2,3,3,3,44,6,0,2,1,1,1,1,1,1,1,1,1,2,1,1,12,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,15,2,1,2,1,0,1,1,0,0,0,0,0,0,0,0,22,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,9,5,0,0,0,0,0,0,0,0,0,0,0,1,0,0,14,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,12,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,21,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,11,5,0,1,0,1,1,0,0,0,0,0,0,1,1,1,39,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,28,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,22,5,0,1,1,0,1,1,1,1,1,1,1,2,1,1,47,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,dedup_Pileline
