Features: 16,,,,,,,,,,
Target Class: facesim,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,99.302866,128
"Nu: 0.0001, Gamma: 0.0001",0,23,0,1268,98.21843532,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,23,0,1268,98.21843532,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,23,0,1268,98.21843532,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,23,0,1268,98.21843532,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,23,0,1268,98.21843532,0,40,,,
"Nu: 0.0001, Gamma: 0.05",23,0,1251,17,3.098373354,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",23,0,1251,17,3.098373354,0,40,,,
"Nu: 0.0001, Gamma: 0.1",23,0,1251,17,3.098373354,0,40,,,
"Nu: 0.0001, Gamma: 0.2",22,1,1200,68,6.971340046,0,40,,,
"Nu: 0.0001, Gamma: 0.5",22,1,886,382,31.29357088,0,40,,,
"Nu: 0.0001, Gamma: 0.7",1,22,388,880,68.24167312,0,40,,,
"Nu: 0.0001, Gamma: 0.9",1,22,157,1111,86.13477924,0,40,,,
"Nu: 0.0001, Gamma: 0.99",1,22,70,1198,92.87374129,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,23,0,1268,98.21843532,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,23,0,1268,98.21843532,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,23,0,1268,98.21843532,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,23,0,1268,98.21843532,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,23,0,1268,98.21843532,0,40,,,
"Nu: 0.0002, Gamma: 0.05",23,0,1251,17,3.098373354,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",23,0,1251,17,3.098373354,0,40,,,
"Nu: 0.0002, Gamma: 0.1",23,0,1251,17,3.098373354,0,40,,,
"Nu: 0.0002, Gamma: 0.2",22,1,1200,68,6.971340046,0,40,,,
"Nu: 0.0002, Gamma: 0.5",21,2,926,342,28.11773819,0,40,,,
"Nu: 0.0002, Gamma: 0.7",23,0,633,635,50.96824167,0,40,,,
"Nu: 0.0002, Gamma: 0.9",23,0,406,862,68.55151046,0,40,,,
"Nu: 0.0002, Gamma: 0.99",14,9,396,872,68.62896979,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,23,0,1268,98.21843532,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,23,0,1268,98.21843532,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,23,0,1268,98.21843532,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,23,0,1268,98.21843532,0,40,,,
"Nu: 0.0003, Gamma: 0.005",23,0,1251,17,3.098373354,0,40,,,
"Nu: 0.0003, Gamma: 0.05",23,0,1251,17,3.098373354,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",23,0,1251,17,3.098373354,0,40,,,
"Nu: 0.0003, Gamma: 0.1",23,0,1251,17,3.098373354,0,40,,,
"Nu: 0.0003, Gamma: 0.2",22,1,1200,68,6.971340046,0,40,,,
"Nu: 0.0003, Gamma: 0.5",20,3,906,362,29.58946553,0,40,,,
"Nu: 0.0003, Gamma: 0.7",23,0,633,635,50.96824167,0,40,,,
"Nu: 0.0003, Gamma: 0.9",7,16,377,891,69.5584818,0,40,,,
"Nu: 0.0003, Gamma: 0.99",6,17,153,1115,86.83191325,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,23,0,1268,98.21843532,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,23,0,1268,98.21843532,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,23,0,1268,98.21843532,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,23,0,1268,98.21843532,0,40,,,
"Nu: 0.0004, Gamma: 0.005",23,0,1251,17,3.098373354,0,40,,,
"Nu: 0.0004, Gamma: 0.05",23,0,1251,17,3.098373354,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",23,0,1251,17,3.098373354,0,40,,,
"Nu: 0.0004, Gamma: 0.1",23,0,1251,17,3.098373354,0,40,,,
"Nu: 0.0004, Gamma: 0.2",22,1,1200,68,6.971340046,0,40,,,
"Nu: 0.0004, Gamma: 0.5",23,0,917,351,28.96979086,0,40,,,
"Nu: 0.0004, Gamma: 0.7",23,0,633,635,50.96824167,0,40,,,
"Nu: 0.0004, Gamma: 0.9",7,16,377,891,69.5584818,0,40,,,
"Nu: 0.0004, Gamma: 0.99",6,17,153,1115,86.83191325,0,40,,,
"Nu: 0.005, Gamma: 0.0001",6,17,863,405,31.83578621,0,40,,,
"Nu: 0.005, Gamma: 0.0002",6,17,863,405,31.83578621,0,40,,,
"Nu: 0.005, Gamma: 0.0003",23,0,1251,17,3.098373354,0,40,,,
"Nu: 0.005, Gamma: 0.0004",23,0,1251,17,3.098373354,0,40,,,
"Nu: 0.005, Gamma: 0.005",23,0,1251,17,3.098373354,0,40,,,
"Nu: 0.005, Gamma: 0.05",23,0,1251,17,3.098373354,0,40,,,
"Nu: 0.005, Gamma: 0.0625",23,0,1251,17,3.098373354,0,40,,,
"Nu: 0.005, Gamma: 0.1",23,0,1251,17,3.098373354,0,40,,,
"Nu: 0.005, Gamma: 0.2",23,0,1205,63,6.661502711,0,40,,,
"Nu: 0.005, Gamma: 0.5",23,0,1108,160,14.17505809,0,40,,,
"Nu: 0.005, Gamma: 0.7",23,0,644,624,50.116189,0,40,,,
"Nu: 0.005, Gamma: 0.9",23,0,387,881,70.0232378,0,40,,,
"Nu: 0.005, Gamma: 0.99",23,0,384,884,70.2556158,0,40,,,
"Nu: 0.05, Gamma: 0.0001",1,22,375,893,69.24864446,0,40,,,
"Nu: 0.05, Gamma: 0.0002",17,6,398,870,68.70642912,0,40,,,
"Nu: 0.05, Gamma: 0.0003",23,0,657,611,49.10921766,0,40,,,
"Nu: 0.05, Gamma: 0.0004",23,0,657,611,49.10921766,0,40,,,
"Nu: 0.05, Gamma: 0.005",23,0,647,621,49.883811,0,40,,,
"Nu: 0.05, Gamma: 0.05",23,0,653,615,49.419055,0,40,,,
"Nu: 0.05, Gamma: 0.0625",23,0,651,617,49.57397366,0,40,,,
"Nu: 0.05, Gamma: 0.1",23,0,650,618,49.651433,0,40,,,
"Nu: 0.05, Gamma: 0.2",23,0,649,619,49.72889233,0,40,,,
"Nu: 0.05, Gamma: 0.5",23,0,301,967,76.68474051,0,40,,,
"Nu: 0.05, Gamma: 0.7",22,1,63,1205,95.04260263,0,40,,,
"Nu: 0.05, Gamma: 0.9",22,1,64,1204,94.9651433,0,40,,,
"Nu: 0.05, Gamma: 0.99",22,1,229,1039,82.18435321,0,40,,,
