Features: 16,,,,,,,,,,
Target Class: ferret,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,97.61904762,157
"Nu: 0.0001, Gamma: 0.0001",0,4,0,122,96.82539683,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,122,96.82539683,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,122,96.82539683,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,122,96.82539683,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,4,0,122,96.82539683,0,40,,,
"Nu: 0.0001, Gamma: 0.05",3,1,58,64,53.17460317,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",3,1,56,66,54.76190476,0,40,,,
"Nu: 0.0001, Gamma: 0.1",3,1,50,72,59.52380952,0,40,,,
"Nu: 0.0001, Gamma: 0.2",1,3,1,121,96.82539683,0,40,,,
"Nu: 0.0001, Gamma: 0.5",1,3,7,115,92.06349206,0,40,,,
"Nu: 0.0001, Gamma: 0.7",0,4,0,122,96.82539683,0,40,,,
"Nu: 0.0001, Gamma: 0.9",0,4,0,122,96.82539683,0,40,,,
"Nu: 0.0001, Gamma: 0.99",0,4,0,122,96.82539683,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,122,96.82539683,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,122,96.82539683,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,4,0,122,96.82539683,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,4,0,122,96.82539683,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,4,0,122,96.82539683,0,40,,,
"Nu: 0.0002, Gamma: 0.05",3,1,58,64,53.17460317,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",3,1,56,66,54.76190476,0,40,,,
"Nu: 0.0002, Gamma: 0.1",3,1,50,72,59.52380952,0,40,,,
"Nu: 0.0002, Gamma: 0.2",1,3,1,121,96.82539683,0,40,,,
"Nu: 0.0002, Gamma: 0.5",1,3,4,118,94.44444444,0,40,,,
"Nu: 0.0002, Gamma: 0.7",1,3,35,87,69.84126984,0,40,,,
"Nu: 0.0002, Gamma: 0.9",1,3,13,109,87.3015873,0,40,,,
"Nu: 0.0002, Gamma: 0.99",1,3,10,112,89.68253968,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,122,96.82539683,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,4,0,122,96.82539683,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,4,0,122,96.82539683,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,4,0,122,96.82539683,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,4,0,122,96.82539683,0,40,,,
"Nu: 0.0003, Gamma: 0.05",3,1,58,64,53.17460317,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",3,1,56,66,54.76190476,0,40,,,
"Nu: 0.0003, Gamma: 0.1",3,1,50,72,59.52380952,0,40,,,
"Nu: 0.0003, Gamma: 0.2",3,1,41,81,66.66666667,0,40,,,
"Nu: 0.0003, Gamma: 0.5",1,3,60,62,50,0,40,,,
"Nu: 0.0003, Gamma: 0.7",1,3,34,88,70.63492063,0,40,,,
"Nu: 0.0003, Gamma: 0.9",1,3,28,94,75.3968254,0,40,,,
"Nu: 0.0003, Gamma: 0.99",1,3,19,103,82.53968254,0,40,,,
