Features: 16,,,,,,,,,,
Target Class: fluidanimate,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.10526316,160
"Nu: 0.0001, Gamma: 0.0001",0,4,0,34,89.47368421,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,34,89.47368421,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,34,89.47368421,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,34,89.47368421,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,4,0,34,89.47368421,0,40,,,
"Nu: 0.0001, Gamma: 0.05",1,3,15,19,52.63157895,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",1,3,15,19,52.63157895,0,40,,,
"Nu: 0.0001, Gamma: 0.1",1,3,15,19,52.63157895,0,40,,,
"Nu: 0.0001, Gamma: 0.2",1,3,15,19,52.63157895,0,40,,,
"Nu: 0.0001, Gamma: 0.5",0,4,0,34,89.47368421,0,40,,,
"Nu: 0.0001, Gamma: 0.7",0,4,4,30,78.94736842,0,40,,,
"Nu: 0.0001, Gamma: 0.9",0,4,4,30,78.94736842,0,40,,,
"Nu: 0.0001, Gamma: 0.99",0,4,4,30,78.94736842,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,34,89.47368421,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,34,89.47368421,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,4,0,34,89.47368421,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,4,0,34,89.47368421,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,4,0,34,89.47368421,0,40,,,
"Nu: 0.0002, Gamma: 0.05",1,3,15,19,52.63157895,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",1,3,15,19,52.63157895,0,40,,,
"Nu: 0.0002, Gamma: 0.1",1,3,15,19,52.63157895,0,40,,,
"Nu: 0.0002, Gamma: 0.2",1,3,15,19,52.63157895,0,40,,,
"Nu: 0.0002, Gamma: 0.5",0,4,5,29,76.31578947,0,40,,,
"Nu: 0.0002, Gamma: 0.7",3,1,29,5,21.05263158,0,40,,,
"Nu: 0.0002, Gamma: 0.9",3,1,26,8,28.94736842,0,40,,,
"Nu: 0.0002, Gamma: 0.99",3,1,24,10,34.21052632,0,40,,,
