Features: 16,,,,,,,,,,
Target Class: fluidanimate,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,98.38709677,155
"Nu: 0.0001, Gamma: 0.0001",0,4,0,182,97.84946237,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,182,97.84946237,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,182,97.84946237,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,182,97.84946237,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,4,0,182,97.84946237,0,40,,,
"Nu: 0.0001, Gamma: 0.05",1,3,45,137,74.19354839,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",1,3,45,137,74.19354839,0,40,,,
"Nu: 0.0001, Gamma: 0.1",1,3,45,137,74.19354839,0,40,,,
"Nu: 0.0001, Gamma: 0.2",1,3,45,137,74.19354839,0,40,,,
"Nu: 0.0001, Gamma: 0.5",0,4,0,182,97.84946237,0,40,,,
"Nu: 0.0001, Gamma: 0.7",0,4,5,177,95.16129032,0,40,,,
"Nu: 0.0001, Gamma: 0.9",0,4,3,179,96.23655914,0,40,,,
"Nu: 0.0001, Gamma: 0.99",0,4,2,180,96.77419355,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,182,97.84946237,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,182,97.84946237,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,4,0,182,97.84946237,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,4,0,182,97.84946237,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,4,0,182,97.84946237,0,40,,,
"Nu: 0.0002, Gamma: 0.05",1,3,45,137,74.19354839,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",1,3,45,137,74.19354839,0,40,,,
"Nu: 0.0002, Gamma: 0.1",1,3,45,137,74.19354839,0,40,,,
"Nu: 0.0002, Gamma: 0.2",1,3,45,137,74.19354839,0,40,,,
"Nu: 0.0002, Gamma: 0.5",0,4,13,169,90.86021505,0,40,,,
"Nu: 0.0002, Gamma: 0.7",3,1,149,33,19.35483871,0,40,,,
