Features: 16,,,,,,,,,,
Target Class: raytrace,TP,FN,FP,TN,ACC (%),Noise Percantages,Upsampling,,91.42857143,174
"Nu: 0.0001, Gamma: 0.0001",0,4,0,26,86.66666667,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,4,0,26,86.66666667,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,4,0,26,86.66666667,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,4,0,26,86.66666667,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,4,0,26,86.66666667,0,40,,,
"Nu: 0.0001, Gamma: 0.05",4,0,24,2,20,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",4,0,24,2,20,0,40,,,
"Nu: 0.0001, Gamma: 0.1",4,0,24,2,20,0,40,,,
"Nu: 0.0001, Gamma: 0.2",2,2,12,14,53.33333333,0,40,,,
"Nu: 0.0001, Gamma: 0.5",0,4,0,26,86.66666667,0,40,,,
"Nu: 0.0001, Gamma: 0.7",2,2,11,15,56.66666667,0,40,,,
"Nu: 0.0001, Gamma: 0.9",2,2,10,16,60,0,40,,,
"Nu: 0.0001, Gamma: 0.99",2,2,9,17,63.33333333,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,4,0,26,86.66666667,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,4,0,26,86.66666667,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,4,0,26,86.66666667,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,4,0,26,86.66666667,0,40,,,
"Nu: 0.0002, Gamma: 0.005",0,4,0,26,86.66666667,0,40,,,
"Nu: 0.0002, Gamma: 0.05",4,0,24,2,20,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",4,0,24,2,20,0,40,,,
"Nu: 0.0002, Gamma: 0.1",4,0,24,2,20,0,40,,,
"Nu: 0.0002, Gamma: 0.2",2,2,12,14,53.33333333,0,40,,,
"Nu: 0.0002, Gamma: 0.5",2,2,19,7,30,0,40,,,
"Nu: 0.0002, Gamma: 0.7",1,3,8,18,63.33333333,0,40,,,
"Nu: 0.0002, Gamma: 0.9",1,3,13,13,46.66666667,0,40,,,
"Nu: 0.0002, Gamma: 0.99",1,3,13,13,46.66666667,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,4,0,26,86.66666667,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,4,0,26,86.66666667,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,4,0,26,86.66666667,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,4,0,26,86.66666667,0,40,,,
"Nu: 0.0003, Gamma: 0.005",0,4,0,26,86.66666667,0,40,,,
