From router 0 to router 0,From router 0 to router 1,From router 0 to router 2,From router 0 to router 3,From router 0 to router 4,From router 0 to router 5,From router 0 to router 6,From router 0 to router 7,From router 0 to router 8,From router 0 to router 9,From router 0 to router 10,From router 0 to router 11,From router 0 to router 12,From router 0 to router 13,From router 0 to router 14,From router 0 to router 15,From router 1 to router 0,From router 1 to router 1,From router 1 to router 2,From router 1 to router 3,From router 1 to router 4,From router 1 to router 5,From router 1 to router 6,From router 1 to router 7,From router 1 to router 8,From router 1 to router 9,From router 1 to router 10,From router 1 to router 11,From router 1 to router 12,From router 1 to router 13,From router 1 to router 14,From router 1 to router 15,From router 2 to router 0,From router 2 to router 1,From router 2 to router 2,From router 2 to router 3,From router 2 to router 4,From router 2 to router 5,From router 2 to router 6,From router 2 to router 7,From router 2 to router 8,From router 2 to router 9,From router 2 to router 10,From router 2 to router 11,From router 2 to router 12,From router 2 to router 13,From router 2 to router 14,From router 2 to router 15,From router 3 to router 0,From router 3 to router 1,From router 3 to router 2,From router 3 to router 3,From router 3 to router 4,From router 3 to router 5,From router 3 to router 6,From router 3 to router 7,From router 3 to router 8,From router 3 to router 9,From router 3 to router 10,From router 3 to router 11,From router 3 to router 12,From router 3 to router 13,From router 3 to router 14,From router 3 to router 15,From router 4 to router 0,From router 4 to router 1,From router 4 to router 2,From router 4 to router 3,From router 4 to router 4,From router 4 to router 5,From router 4 to router 6,From router 4 to router 7,From router 4 to router 8,From router 4 to router 9,From router 4 to router 10,From router 4 to router 11,From router 4 to router 12,From router 4 to router 13,From router 4 to router 14,From router 4 to router 15,From router 5 to router 0,From router 5 to router 1,From router 5 to router 2,From router 5 to router 3,From router 5 to router 4,From router 5 to router 5,From router 5 to router 6,From router 5 to router 7,From router 5 to router 8,From router 5 to router 9,From router 5 to router 10,From router 5 to router 11,From router 5 to router 12,From router 5 to router 13,From router 5 to router 14,From router 5 to router 15,From router 6 to router 0,From router 6 to router 1,From router 6 to router 2,From router 6 to router 3,From router 6 to router 4,From router 6 to router 5,From router 6 to router 6,From router 6 to router 7,From router 6 to router 8,From router 6 to router 9,From router 6 to router 10,From router 6 to router 11,From router 6 to router 12,From router 6 to router 13,From router 6 to router 14,From router 6 to router 15,From router 7 to router 0,From router 7 to router 1,From router 7 to router 2,From router 7 to router 3,From router 7 to router 4,From router 7 to router 5,From router 7 to router 6,From router 7 to router 7,From router 7 to router 8,From router 7 to router 9,From router 7 to router 10,From router 7 to router 11,From router 7 to router 12,From router 7 to router 13,From router 7 to router 14,From router 7 to router 15,From router 8 to router 0,From router 8 to router 1,From router 8 to router 2,From router 8 to router 3,From router 8 to router 4,From router 8 to router 5,From router 8 to router 6,From router 8 to router 7,From router 8 to router 8,From router 8 to router 9,From router 8 to router 10,From router 8 to router 11,From router 8 to router 12,From router 8 to router 13,From router 8 to router 14,From router 8 to router 15,From router 9 to router 0,From router 9 to router 1,From router 9 to router 2,From router 9 to router 3,From router 9 to router 4,From router 9 to router 5,From router 9 to router 6,From router 9 to router 7,From router 9 to router 8,From router 9 to router 9,From router 9 to router 10,From router 9 to router 11,From router 9 to router 12,From router 9 to router 13,From router 9 to router 14,From router 9 to router 15,From router 10 to router 0,From router 10 to router 1,From router 10 to router 2,From router 10 to router 3,From router 10 to router 4,From router 10 to router 5,From router 10 to router 6,From router 10 to router 7,From router 10 to router 8,From router 10 to router 9,From router 10 to router 10,From router 10 to router 11,From router 10 to router 12,From router 10 to router 13,From router 10 to router 14,From router 10 to router 15,From router 11 to router 0,From router 11 to router 1,From router 11 to router 2,From router 11 to router 3,From router 11 to router 4,From router 11 to router 5,From router 11 to router 6,From router 11 to router 7,From router 11 to router 8,From router 11 to router 9,From router 11 to router 10,From router 11 to router 11,From router 11 to router 12,From router 11 to router 13,From router 11 to router 14,From router 11 to router 15,From router 12 to router 0,From router 12 to router 1,From router 12 to router 2,From router 12 to router 3,From router 12 to router 4,From router 12 to router 5,From router 12 to router 6,From router 12 to router 7,From router 12 to router 8,From router 12 to router 9,From router 12 to router 10,From router 12 to router 11,From router 12 to router 12,From router 12 to router 13,From router 12 to router 14,From router 12 to router 15,From router 13 to router 0,From router 13 to router 1,From router 13 to router 2,From router 13 to router 3,From router 13 to router 4,From router 13 to router 5,From router 13 to router 6,From router 13 to router 7,From router 13 to router 8,From router 13 to router 9,From router 13 to router 10,From router 13 to router 11,From router 13 to router 12,From router 13 to router 13,From router 13 to router 14,From router 13 to router 15,From router 14 to router 0,From router 14 to router 1,From router 14 to router 2,From router 14 to router 3,From router 14 to router 4,From router 14 to router 5,From router 14 to router 6,From router 14 to router 7,From router 14 to router 8,From router 14 to router 9,From router 14 to router 10,From router 14 to router 11,From router 14 to router 12,From router 14 to router 13,From router 14 to router 14,From router 14 to router 15,From router 15 to router 0,From router 15 to router 1,From router 15 to router 2,From router 15 to router 3,From router 15 to router 4,From router 15 to router 5,From router 15 to router 6,From router 15 to router 7,From router 15 to router 8,From router 15 to router 9,From router 15 to router 10,From router 15 to router 11,From router 15 to router 12,From router 15 to router 13,From router 15 to router 14,From router 15 to router 15,Applications (Label Classes)
1338.0,1201.0,1121.0,1174.0,1205.0,1159.0,1060.0,1103.0,5231.0,1324.0,1147.0,1180.0,1101.0,1128.0,1162.0,1384.0,87.0,53.0,63.0,68.0,76.0,60.0,62.0,55.0,3822.0,202.0,92.0,113.0,55.0,56.0,59.0,55.0,61.0,62.0,55.0,64.0,84.0,59.0,62.0,53.0,3314.0,184.0,88.0,100.0,64.0,54.0,55.0,59.0,81.0,46.0,58.0,56.0,77.0,50.0,55.0,54.0,2771.0,178.0,80.0,90.0,48.0,50.0,49.0,53.0,84.0,52.0,62.0,62.0,67.0,52.0,55.0,55.0,2943.0,191.0,101.0,121.0,50.0,50.0,53.0,54.0,81.0,56.0,77.0,63.0,71.0,55.0,58.0,55.0,3098.0,205.0,98.0,102.0,52.0,51.0,54.0,61.0,52.0,40.0,48.0,45.0,50.0,40.0,38.0,44.0,2873.0,155.0,75.0,71.0,41.0,39.0,38.0,45.0,59.0,47.0,53.0,47.0,58.0,45.0,43.0,45.0,2878.0,178.0,78.0,87.0,43.0,43.0,43.0,46.0,182.0,180.0,150.0,148.0,155.0,140.0,143.0,157.0,2963.0,216.0,135.0,165.0,156.0,148.0,172.0,200.0,85.0,55.0,64.0,60.0,93.0,59.0,55.0,58.0,2927.0,185.0,104.0,97.0,66.0,59.0,72.0,76.0,79.0,55.0,63.0,57.0,79.0,60.0,55.0,58.0,3619.0,216.0,85.0,189.0,65.0,56.0,68.0,77.0,70.0,49.0,68.0,56.0,75.0,54.0,46.0,44.0,2810.0,170.0,125.0,79.0,58.0,49.0,77.0,79.0,68.0,48.0,60.0,58.0,69.0,53.0,53.0,52.0,2889.0,180.0,95.0,118.0,49.0,57.0,58.0,59.0,89.0,58.0,60.0,68.0,82.0,56.0,55.0,54.0,2897.0,181.0,88.0,102.0,58.0,55.0,65.0,63.0,93.0,47.0,55.0,54.0,68.0,52.0,44.0,45.0,2959.0,197.0,108.0,141.0,46.0,58.0,52.0,62.0,210.0,63.0,78.0,78.0,82.0,61.0,58.0,57.0,3150.0,235.0,113.0,151.0,67.0,65.0,67.0,66.0,raytrace
1539.0,1016.0,1022.0,1026.0,1026.0,1705.0,917.0,1043.0,978.0,959.0,1558.0,987.0,977.0,1001.0,991.0,984.0,516.0,9.0,7.0,11.0,8.0,713.0,8.0,35.0,4.0,8.0,661.0,9.0,8.0,11.0,10.0,12.0,515.0,4.0,2.0,6.0,8.0,735.0,2.0,30.0,4.0,9.0,680.0,4.0,6.0,7.0,7.0,7.0,519.0,7.0,7.0,7.0,9.0,762.0,7.0,40.0,5.0,6.0,635.0,9.0,7.0,9.0,12.0,10.0,517.0,11.0,6.0,9.0,9.0,741.0,7.0,55.0,6.0,12.0,671.0,6.0,10.0,10.0,6.0,11.0,499.0,21.0,17.0,14.0,16.0,714.0,13.0,37.0,12.0,10.0,730.0,12.0,9.0,14.0,11.0,11.0,464.0,9.0,7.0,5.0,6.0,738.0,4.0,28.0,4.0,8.0,646.0,5.0,9.0,7.0,8.0,8.0,496.0,9.0,6.0,8.0,11.0,749.0,10.0,30.0,10.0,12.0,674.0,12.0,10.0,9.0,9.0,8.0,496.0,5.0,3.0,6.0,5.0,714.0,3.0,31.0,4.0,5.0,590.0,4.0,6.0,4.0,5.0,5.0,486.0,7.0,4.0,6.0,8.0,715.0,5.0,34.0,5.0,9.0,634.0,8.0,5.0,12.0,9.0,9.0,468.0,7.0,10.0,11.0,8.0,786.0,9.0,30.0,6.0,7.0,653.0,10.0,6.0,11.0,11.0,5.0,499.0,7.0,9.0,3.0,5.0,705.0,2.0,20.0,5.0,12.0,686.0,5.0,4.0,5.0,8.0,3.0,496.0,9.0,6.0,11.0,8.0,771.0,4.0,37.0,9.0,8.0,689.0,6.0,8.0,7.0,10.0,5.0,508.0,13.0,7.0,8.0,9.0,793.0,5.0,33.0,7.0,10.0,636.0,7.0,6.0,8.0,7.0,8.0,502.0,10.0,10.0,7.0,8.0,770.0,5.0,67.0,5.0,11.0,652.0,7.0,4.0,8.0,7.0,6.0,500.0,9.0,7.0,6.0,9.0,711.0,6.0,56.0,8.0,8.0,627.0,7.0,11.0,11.0,11.0,17.0,raytrace
7599.0,3004.0,2787.0,2794.0,2785.0,3330.0,2744.0,2646.0,3143.0,2570.0,2959.0,2577.0,2660.0,2661.0,2765.0,2786.0,1560.0,245.0,244.0,229.0,170.0,588.0,155.0,145.0,657.0,93.0,419.0,133.0,108.0,115.0,243.0,193.0,1472.0,257.0,199.0,244.0,148.0,632.0,152.0,129.0,500.0,78.0,384.0,112.0,92.0,90.0,233.0,161.0,1480.0,270.0,210.0,230.0,169.0,597.0,150.0,147.0,494.0,105.0,403.0,128.0,108.0,116.0,267.0,186.0,1511.0,317.0,199.0,209.0,165.0,609.0,157.0,144.0,569.0,99.0,458.0,135.0,115.0,104.0,274.0,199.0,1564.0,305.0,216.0,223.0,178.0,573.0,155.0,141.0,650.0,108.0,399.0,133.0,106.0,111.0,278.0,229.0,1500.0,265.0,211.0,220.0,179.0,604.0,141.0,143.0,503.0,79.0,394.0,122.0,104.0,103.0,239.0,194.0,1438.0,270.0,200.0,238.0,156.0,573.0,143.0,124.0,430.0,81.0,443.0,128.0,111.0,99.0,225.0,181.0,1469.0,524.0,232.0,233.0,206.0,568.0,163.0,154.0,467.0,114.0,470.0,142.0,149.0,121.0,260.0,197.0,1440.0,222.0,173.0,213.0,147.0,574.0,148.0,109.0,472.0,80.0,438.0,124.0,101.0,103.0,228.0,199.0,1428.0,215.0,179.0,241.0,181.0,629.0,152.0,121.0,497.0,93.0,395.0,136.0,107.0,105.0,280.0,191.0,1422.0,229.0,197.0,218.0,157.0,603.0,158.0,108.0,413.0,93.0,391.0,130.0,102.0,100.0,233.0,169.0,1489.0,251.0,200.0,209.0,175.0,606.0,147.0,133.0,623.0,122.0,480.0,141.0,110.0,112.0,246.0,170.0,1499.0,222.0,187.0,212.0,163.0,570.0,148.0,134.0,542.0,102.0,466.0,130.0,114.0,108.0,238.0,186.0,1462.0,233.0,257.0,188.0,181.0,616.0,180.0,146.0,626.0,106.0,483.0,133.0,111.0,113.0,286.0,185.0,1501.0,235.0,252.0,208.0,174.0,675.0,184.0,165.0,579.0,101.0,428.0,129.0,114.0,113.0,249.0,173.0,raytrace
11894.0,7949.0,7984.0,7989.0,8004.0,7903.0,7936.0,7944.0,7990.0,8095.0,8103.0,8095.0,7854.0,8156.0,8195.0,8113.0,4544.0,600.0,679.0,725.0,695.0,653.0,812.0,588.0,709.0,613.0,725.0,755.0,506.0,757.0,715.0,722.0,4457.0,523.0,644.0,699.0,685.0,635.0,703.0,527.0,714.0,592.0,673.0,628.0,454.0,698.0,699.0,697.0,4352.0,530.0,679.0,677.0,693.0,651.0,643.0,504.0,709.0,616.0,690.0,570.0,425.0,695.0,666.0,675.0,4425.0,568.0,691.0,715.0,728.0,662.0,640.0,629.0,652.0,651.0,724.0,559.0,488.0,644.0,617.0,712.0,4357.0,614.0,669.0,739.0,689.0,643.0,672.0,549.0,657.0,649.0,708.0,632.0,480.0,723.0,709.0,740.0,4267.0,577.0,659.0,726.0,698.0,623.0,670.0,524.0,621.0,578.0,730.0,621.0,450.0,664.0,689.0,671.0,4380.0,611.0,669.0,716.0,681.0,652.0,699.0,558.0,723.0,650.0,792.0,709.0,476.0,698.0,681.0,697.0,4444.0,668.0,694.0,727.0,751.0,703.0,712.0,646.0,699.0,699.0,829.0,689.0,494.0,770.0,772.0,747.0,4439.0,576.0,635.0,646.0,733.0,662.0,670.0,581.0,594.0,639.0,759.0,684.0,467.0,735.0,682.0,723.0,4385.0,622.0,712.0,722.0,753.0,682.0,720.0,615.0,666.0,627.0,795.0,692.0,464.0,723.0,747.0,808.0,4401.0,677.0,627.0,703.0,728.0,615.0,695.0,550.0,626.0,584.0,787.0,709.0,434.0,638.0,688.0,657.0,4462.0,618.0,652.0,743.0,767.0,648.0,725.0,570.0,638.0,575.0,796.0,680.0,428.0,723.0,738.0,686.0,4461.0,575.0,646.0,712.0,719.0,620.0,700.0,522.0,712.0,616.0,774.0,717.0,452.0,711.0,705.0,656.0,4515.0,612.0,658.0,720.0,641.0,637.0,748.0,537.0,666.0,639.0,677.0,701.0,449.0,683.0,766.0,721.0,4446.0,554.0,649.0,682.0,701.0,651.0,727.0,577.0,737.0,599.0,672.0,692.0,488.0,748.0,681.0,714.0,raytrace
12084.0,8374.0,8306.0,8263.0,8193.0,7960.0,8074.0,8338.0,8078.0,8021.0,8090.0,7975.0,8361.0,8275.0,8157.0,8380.0,4613.0,627.0,734.0,779.0,732.0,645.0,533.0,736.0,733.0,660.0,713.0,611.0,878.0,767.0,720.0,788.0,4538.0,612.0,639.0,716.0,715.0,587.0,461.0,721.0,721.0,688.0,692.0,548.0,751.0,749.0,643.0,773.0,4435.0,625.0,611.0,650.0,649.0,600.0,487.0,741.0,706.0,610.0,678.0,521.0,769.0,736.0,627.0,769.0,4437.0,549.0,651.0,719.0,682.0,646.0,482.0,785.0,745.0,704.0,763.0,518.0,794.0,725.0,687.0,733.0,4304.0,542.0,640.0,658.0,704.0,596.0,444.0,757.0,675.0,679.0,748.0,534.0,746.0,698.0,665.0,778.0,4531.0,537.0,672.0,745.0,712.0,632.0,453.0,776.0,646.0,669.0,768.0,552.0,795.0,771.0,662.0,830.0,4509.0,576.0,651.0,739.0,698.0,637.0,448.0,759.0,640.0,699.0,772.0,505.0,782.0,795.0,695.0,739.0,4353.0,624.0,649.0,710.0,724.0,632.0,518.0,812.0,680.0,664.0,695.0,500.0,799.0,802.0,692.0,798.0,4347.0,595.0,594.0,724.0,715.0,546.0,489.0,813.0,661.0,635.0,732.0,529.0,781.0,708.0,679.0,781.0,4342.0,591.0,628.0,733.0,682.0,628.0,490.0,731.0,681.0,732.0,740.0,505.0,806.0,734.0,661.0,856.0,4463.0,634.0,668.0,642.0,746.0,602.0,502.0,752.0,665.0,715.0,712.0,539.0,733.0,769.0,641.0,827.0,4566.0,629.0,651.0,763.0,726.0,663.0,523.0,786.0,718.0,712.0,667.0,583.0,800.0,754.0,630.0,798.0,4501.0,547.0,635.0,739.0,662.0,598.0,508.0,751.0,714.0,706.0,740.0,577.0,757.0,730.0,660.0,742.0,4433.0,550.0,602.0,811.0,673.0,610.0,478.0,752.0,701.0,710.0,718.0,548.0,813.0,795.0,622.0,826.0,4468.0,571.0,617.0,727.0,771.0,620.0,471.0,686.0,753.0,716.0,717.0,522.0,806.0,797.0,653.0,828.0,raytrace
11961.0,8122.0,7876.0,8012.0,8158.0,8185.0,8170.0,8149.0,8191.0,8156.0,8114.0,8168.0,8270.0,8162.0,8285.0,8284.0,4435.0,654.0,632.0,596.0,690.0,696.0,724.0,647.0,715.0,620.0,754.0,812.0,731.0,715.0,671.0,641.0,4290.0,641.0,587.0,514.0,667.0,653.0,654.0,629.0,680.0,620.0,694.0,671.0,722.0,699.0,630.0,581.0,4401.0,657.0,620.0,537.0,640.0,657.0,654.0,671.0,686.0,596.0,731.0,700.0,700.0,662.0,728.0,628.0,4475.0,612.0,621.0,600.0,630.0,704.0,715.0,771.0,734.0,649.0,698.0,665.0,732.0,668.0,715.0,638.0,4431.0,621.0,687.0,621.0,638.0,667.0,692.0,646.0,667.0,675.0,731.0,649.0,697.0,700.0,678.0,617.0,4449.0,633.0,658.0,545.0,703.0,680.0,708.0,702.0,686.0,659.0,798.0,781.0,699.0,713.0,688.0,672.0,4458.0,677.0,665.0,579.0,706.0,675.0,723.0,680.0,625.0,606.0,753.0,719.0,700.0,700.0,720.0,731.0,4419.0,678.0,651.0,549.0,608.0,654.0,742.0,619.0,680.0,626.0,737.0,723.0,770.0,709.0,660.0,685.0,4440.0,682.0,686.0,518.0,673.0,676.0,710.0,659.0,693.0,642.0,738.0,700.0,784.0,743.0,680.0,749.0,4338.0,690.0,634.0,541.0,654.0,668.0,689.0,662.0,753.0,621.0,737.0,728.0,776.0,708.0,623.0,767.0,4371.0,691.0,677.0,568.0,634.0,652.0,650.0,638.0,716.0,612.0,713.0,733.0,658.0,738.0,659.0,755.0,4507.0,672.0,686.0,581.0,614.0,658.0,718.0,700.0,739.0,649.0,725.0,735.0,679.0,733.0,735.0,755.0,4422.0,663.0,660.0,538.0,624.0,682.0,727.0,712.0,787.0,665.0,730.0,677.0,659.0,706.0,645.0,675.0,4462.0,710.0,685.0,547.0,691.0,713.0,689.0,750.0,777.0,633.0,722.0,705.0,738.0,650.0,708.0,755.0,4463.0,617.0,672.0,573.0,679.0,648.0,723.0,708.0,803.0,618.0,740.0,767.0,667.0,681.0,717.0,697.0,raytrace
8831.0,5803.0,5466.0,5727.0,5671.0,6042.0,5964.0,5831.0,5934.0,5842.0,6097.0,5807.0,6176.0,5664.0,6124.0,5873.0,3338.0,412.0,275.0,345.0,280.0,633.0,642.0,525.0,581.0,684.0,697.0,531.0,790.0,224.0,652.0,405.0,3204.0,405.0,272.0,307.0,266.0,672.0,583.0,500.0,545.0,610.0,637.0,496.0,689.0,204.0,628.0,409.0,3316.0,420.0,262.0,329.0,273.0,577.0,616.0,565.0,568.0,662.0,685.0,434.0,745.0,242.0,736.0,423.0,3349.0,414.0,285.0,340.0,267.0,687.0,635.0,588.0,562.0,644.0,715.0,485.0,813.0,1144.0,763.0,437.0,3294.0,386.0,255.0,330.0,295.0,666.0,639.0,517.0,487.0,582.0,589.0,509.0,780.0,212.0,696.0,450.0,3319.0,383.0,284.0,328.0,259.0,654.0,685.0,533.0,524.0,666.0,717.0,412.0,764.0,205.0,740.0,448.0,3257.0,347.0,252.0,301.0,286.0,603.0,729.0,526.0,571.0,635.0,716.0,512.0,758.0,220.0,673.0,432.0,3301.0,380.0,288.0,320.0,276.0,599.0,739.0,501.0,585.0,600.0,630.0,466.0,764.0,241.0,635.0,434.0,3289.0,323.0,264.0,326.0,248.0,620.0,708.0,521.0,511.0,628.0,612.0,484.0,769.0,237.0,651.0,437.0,3403.0,380.0,247.0,322.0,254.0,652.0,715.0,525.0,581.0,669.0,695.0,551.0,753.0,230.0,669.0,484.0,3290.0,342.0,220.0,321.0,246.0,672.0,675.0,573.0,561.0,664.0,652.0,473.0,775.0,207.0,648.0,436.0,3370.0,409.0,260.0,348.0,360.0,681.0,766.0,534.0,665.0,699.0,730.0,462.0,772.0,239.0,625.0,440.0,3407.0,437.0,252.0,339.0,1176.0,699.0,676.0,597.0,581.0,661.0,687.0,551.0,764.0,226.0,681.0,430.0,3391.0,393.0,251.0,317.0,314.0,689.0,703.0,577.0,593.0,605.0,655.0,527.0,820.0,249.0,691.0,456.0,3358.0,414.0,282.0,343.0,333.0,676.0,711.0,540.0,578.0,640.0,766.0,499.0,796.0,259.0,710.0,447.0,raytrace
2664.0,1612.0,1597.0,1634.0,1640.0,1825.0,2258.0,2317.0,1807.0,1792.0,2253.0,1573.0,1649.0,1588.0,1859.0,1637.0,896.0,31.0,8.0,11.0,10.0,183.0,684.0,562.0,158.0,165.0,642.0,23.0,98.0,13.0,182.0,27.0,885.0,21.0,8.0,6.0,9.0,172.0,776.0,564.0,184.0,193.0,575.0,17.0,102.0,6.0,188.0,18.0,907.0,22.0,9.0,12.0,12.0,160.0,691.0,600.0,155.0,175.0,653.0,19.0,94.0,11.0,160.0,18.0,910.0,26.0,11.0,15.0,13.0,178.0,674.0,573.0,183.0,201.0,658.0,23.0,99.0,10.0,178.0,20.0,887.0,17.0,8.0,10.0,14.0,177.0,689.0,572.0,169.0,222.0,620.0,20.0,104.0,14.0,176.0,22.0,869.0,12.0,10.0,12.0,13.0,181.0,698.0,563.0,141.0,167.0,740.0,17.0,86.0,11.0,169.0,10.0,934.0,15.0,6.0,6.0,8.0,181.0,707.0,570.0,154.0,146.0,744.0,17.0,84.0,5.0,183.0,10.0,927.0,20.0,7.0,5.0,6.0,187.0,646.0,572.0,185.0,168.0,616.0,22.0,104.0,5.0,214.0,20.0,885.0,21.0,4.0,5.0,4.0,165.0,711.0,573.0,193.0,147.0,681.0,22.0,89.0,9.0,234.0,18.0,846.0,25.0,10.0,9.0,9.0,154.0,736.0,579.0,164.0,178.0,655.0,21.0,70.0,8.0,243.0,17.0,851.0,20.0,7.0,9.0,5.0,163.0,686.0,558.0,124.0,135.0,684.0,11.0,76.0,11.0,198.0,13.0,866.0,17.0,8.0,11.0,8.0,193.0,682.0,550.0,165.0,163.0,678.0,20.0,92.0,8.0,170.0,19.0,869.0,24.0,15.0,16.0,12.0,202.0,679.0,624.0,174.0,151.0,686.0,23.0,108.0,13.0,208.0,27.0,886.0,21.0,13.0,7.0,9.0,217.0,687.0,633.0,171.0,210.0,605.0,19.0,112.0,10.0,221.0,18.0,917.0,30.0,12.0,13.0,9.0,198.0,673.0,626.0,178.0,200.0,677.0,23.0,111.0,14.0,206.0,23.0,raytrace
1382.0,921.0,850.0,898.0,903.0,870.0,1376.0,833.0,854.0,795.0,1501.0,819.0,857.0,878.0,858.0,828.0,470.0,6.0,8.0,6.0,7.0,7.0,576.0,19.0,6.0,7.0,706.0,17.0,9.0,9.0,13.0,11.0,435.0,5.0,6.0,9.0,5.0,7.0,550.0,13.0,3.0,6.0,753.0,19.0,5.0,9.0,12.0,8.0,457.0,13.0,11.0,9.0,13.0,17.0,536.0,17.0,9.0,11.0,730.0,25.0,11.0,6.0,10.0,9.0,464.0,9.0,10.0,16.0,4.0,10.0,552.0,22.0,6.0,11.0,719.0,35.0,5.0,6.0,9.0,8.0,442.0,11.0,8.0,10.0,5.0,5.0,479.0,16.0,7.0,9.0,718.0,21.0,7.0,5.0,17.0,7.0,413.0,5.0,7.0,13.0,3.0,10.0,495.0,17.0,3.0,13.0,775.0,22.0,6.0,6.0,7.0,9.0,416.0,5.0,4.0,7.0,9.0,3.0,551.0,17.0,6.0,8.0,669.0,24.0,10.0,6.0,10.0,9.0,435.0,8.0,6.0,6.0,4.0,6.0,566.0,19.0,8.0,5.0,706.0,16.0,5.0,8.0,9.0,7.0,409.0,10.0,9.0,10.0,11.0,11.0,555.0,21.0,12.0,8.0,666.0,18.0,5.0,6.0,20.0,8.0,401.0,6.0,6.0,7.0,9.0,6.0,537.0,12.0,9.0,5.0,691.0,21.0,6.0,5.0,11.0,6.0,397.0,6.0,4.0,3.0,5.0,5.0,482.0,10.0,5.0,5.0,685.0,12.0,8.0,6.0,10.0,12.0,436.0,6.0,5.0,6.0,5.0,3.0,556.0,13.0,6.0,8.0,732.0,18.0,4.0,4.0,7.0,7.0,451.0,6.0,4.0,8.0,8.0,6.0,544.0,15.0,5.0,7.0,710.0,24.0,6.0,5.0,12.0,9.0,439.0,9.0,7.0,11.0,8.0,8.0,513.0,16.0,6.0,10.0,657.0,59.0,6.0,11.0,8.0,9.0,422.0,12.0,11.0,9.0,10.0,7.0,513.0,23.0,7.0,6.0,641.0,30.0,7.0,7.0,9.0,10.0,raytrace
4470.0,3058.0,3119.0,3078.0,2973.0,3104.0,3062.0,2981.0,3100.0,2940.0,3476.0,2864.0,2942.0,3196.0,3042.0,3145.0,1678.0,227.0,270.0,189.0,207.0,229.0,249.0,198.0,268.0,134.0,619.0,143.0,134.0,294.0,118.0,269.0,1667.0,194.0,240.0,174.0,180.0,241.0,249.0,196.0,297.0,139.0,634.0,122.0,130.0,281.0,103.0,299.0,1665.0,202.0,247.0,187.0,211.0,259.0,274.0,209.0,279.0,147.0,653.0,123.0,135.0,272.0,118.0,281.0,1650.0,194.0,254.0,187.0,202.0,259.0,368.0,202.0,306.0,154.0,650.0,144.0,138.0,275.0,126.0,273.0,1691.0,211.0,256.0,196.0,208.0,236.0,258.0,206.0,325.0,147.0,666.0,130.0,130.0,286.0,125.0,263.0,1639.0,192.0,260.0,181.0,274.0,272.0,246.0,214.0,308.0,132.0,665.0,123.0,131.0,300.0,120.0,272.0,1646.0,187.0,264.0,179.0,231.0,223.0,252.0,193.0,294.0,123.0,653.0,125.0,121.0,278.0,117.0,257.0,1683.0,192.0,278.0,195.0,252.0,273.0,293.0,242.0,273.0,164.0,688.0,144.0,150.0,303.0,146.0,277.0,1659.0,170.0,248.0,176.0,244.0,215.0,275.0,206.0,266.0,119.0,676.0,118.0,126.0,271.0,120.0,239.0,1664.0,164.0,230.0,194.0,232.0,241.0,268.0,190.0,353.0,134.0,686.0,128.0,138.0,321.0,123.0,249.0,1600.0,153.0,262.0,186.0,218.0,222.0,254.0,183.0,270.0,136.0,662.0,121.0,142.0,236.0,131.0,274.0,1662.0,204.0,269.0,196.0,205.0,222.0,285.0,213.0,293.0,131.0,685.0,131.0,143.0,258.0,138.0,272.0,1706.0,189.0,264.0,184.0,227.0,230.0,251.0,243.0,288.0,131.0,679.0,132.0,147.0,258.0,140.0,274.0,1704.0,219.0,269.0,190.0,193.0,245.0,309.0,256.0,343.0,150.0,698.0,136.0,140.0,286.0,130.0,283.0,1672.0,207.0,299.0,203.0,213.0,260.0,276.0,238.0,295.0,133.0,647.0,148.0,142.0,276.0,132.0,281.0,raytrace
