Features: 16,,,,,,,,
Target Class: swaptions,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 0.0001, Gamma: 0.0001",0,5,0,28,84.84848484848484,0,40,
"Nu: 0.0001, Gamma: 0.0002",0,5,0,28,84.84848484848484,0,40,
"Nu: 0.0001, Gamma: 0.0003",0,5,0,28,84.84848484848484,0,40,
"Nu: 0.0001, Gamma: 0.0004",0,5,0,28,84.84848484848484,0,40,
"Nu: 0.0001, Gamma: 0.005",0,5,0,28,84.84848484848484,0,40,
"Nu: 0.0001, Gamma: 0.05",4,1,24,4,24.242424242424242,0,40,
"Nu: 0.0001, Gamma: 0.0625",4,1,24,4,24.242424242424242,0,40,
"Nu: 0.0001, Gamma: 0.1",3,2,20,8,33.33333333333333,0,40,
"Nu: 0.0001, Gamma: 0.2",0,5,0,28,84.84848484848484,0,40,
"Nu: 0.0001, Gamma: 0.5",0,5,0,28,84.84848484848484,0,40,
"Nu: 0.0001, Gamma: 0.7",0,5,0,28,84.84848484848484,0,40,
"Nu: 0.0001, Gamma: 0.9",0,5,0,28,84.84848484848484,0,40,
"Nu: 0.0001, Gamma: 0.99",0,5,0,28,84.84848484848484,0,40,
"Nu: 0.0002, Gamma: 0.0001",0,5,0,28,84.84848484848484,0,40,
"Nu: 0.0002, Gamma: 0.0002",0,5,0,28,84.84848484848484,0,40,
"Nu: 0.0002, Gamma: 0.0003",0,5,0,28,84.84848484848484,0,40,
"Nu: 0.0002, Gamma: 0.0004",0,5,0,28,84.84848484848484,0,40,
"Nu: 0.0002, Gamma: 0.005",0,5,0,28,84.84848484848484,0,40,
"Nu: 0.0002, Gamma: 0.05",4,1,24,4,24.242424242424242,0,40,
"Nu: 0.0002, Gamma: 0.0625",4,1,24,4,24.242424242424242,0,40,
"Nu: 0.0002, Gamma: 0.1",3,2,20,8,33.33333333333333,0,40,
"Nu: 0.0002, Gamma: 0.2",3,2,18,10,39.39393939393939,0,40,
"Nu: 0.0002, Gamma: 0.5",2,3,13,15,51.515151515151516,0,40,
"Nu: 0.0002, Gamma: 0.7",0,5,0,28,84.84848484848484,0,40,
"Nu: 0.0002, Gamma: 0.9",0,5,0,28,84.84848484848484,0,40,
"Nu: 0.0002, Gamma: 0.99",0,5,0,28,84.84848484848484,0,40,
