Features: 16,,,,,,,,,,
Target Class: vips,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,92.30769231,329
"Nu: 0.0001, Gamma: 0.0001",0,12,0,120,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,12,0,120,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",0,12,0,120,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",0,12,0,120,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.005",0,12,0,120,90.90909091,0,40,,,
"Nu: 0.0001, Gamma: 0.05",12,0,102,18,22.72727273,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",12,0,102,18,22.72727273,0,40,,,
"Nu: 0.0001, Gamma: 0.1",11,1,84,36,35.60606061,0,40,,,
"Nu: 0.0001, Gamma: 0.2",10,2,54,66,57.57575758,0,40,,,
"Nu: 0.0001, Gamma: 0.5",11,1,88,32,32.57575758,0,40,,,
"Nu: 0.0001, Gamma: 0.7",6,6,33,87,70.45454545,0,40,,,
"Nu: 0.0001, Gamma: 0.9",5,7,30,90,71.96969697,0,40,,,
"Nu: 0.0001, Gamma: 0.99",2,10,17,103,79.54545455,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,12,0,120,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",0,12,0,120,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",0,12,0,120,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",0,12,0,120,90.90909091,0,40,,,
"Nu: 0.0002, Gamma: 0.005",12,0,104,16,21.21212121,0,40,,,
"Nu: 0.0002, Gamma: 0.05",12,0,102,18,22.72727273,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",12,0,102,18,22.72727273,0,40,,,
"Nu: 0.0002, Gamma: 0.1",11,1,84,36,35.60606061,0,40,,,
"Nu: 0.0002, Gamma: 0.2",10,2,54,66,57.57575758,0,40,,,
"Nu: 0.0002, Gamma: 0.5",9,3,97,23,24.24242424,0,40,,,
"Nu: 0.0002, Gamma: 0.7",6,6,53,67,55.3030303,0,40,,,
"Nu: 0.0002, Gamma: 0.9",7,5,51,69,57.57575758,0,40,,,
"Nu: 0.0002, Gamma: 0.99",2,10,36,84,65.15151515,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",0,12,0,120,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",0,12,0,120,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",0,12,0,120,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",0,12,0,120,90.90909091,0,40,,,
"Nu: 0.0003, Gamma: 0.005",12,0,104,16,21.21212121,0,40,,,
"Nu: 0.0003, Gamma: 0.05",12,0,120,0,9.090909091,0,40,,,
"Nu: 0.0003, Gamma: 0.0625",12,0,120,0,9.090909091,0,40,,,
"Nu: 0.0003, Gamma: 0.1",11,1,100,20,23.48484848,0,40,,,
"Nu: 0.0003, Gamma: 0.2",11,1,91,29,30.3030303,0,40,,,
"Nu: 0.0003, Gamma: 0.5",11,1,89,31,31.81818182,0,40,,,
"Nu: 0.0003, Gamma: 0.7",6,6,57,63,52.27272727,0,40,,,
"Nu: 0.0003, Gamma: 0.9",8,4,64,56,48.48484848,0,40,,,
"Nu: 0.0003, Gamma: 0.99",7,5,68,52,44.6969697,0,40,,,
"Nu: 0.0004, Gamma: 0.0001",0,12,0,120,90.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.0002",0,12,0,120,90.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.0003",0,12,0,120,90.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.0004",0,12,0,120,90.90909091,0,40,,,
"Nu: 0.0004, Gamma: 0.005",12,0,104,16,21.21212121,0,40,,,
"Nu: 0.0004, Gamma: 0.05",12,0,120,0,9.090909091,0,40,,,
"Nu: 0.0004, Gamma: 0.0625",12,0,120,0,9.090909091,0,40,,,
"Nu: 0.0004, Gamma: 0.1",11,1,100,20,23.48484848,0,40,,,
"Nu: 0.0004, Gamma: 0.2",11,1,91,29,30.3030303,0,40,,,
"Nu: 0.0004, Gamma: 0.5",11,1,89,31,31.81818182,0,40,,,
"Nu: 0.0004, Gamma: 0.7",11,1,102,18,21.96969697,0,40,,,
"Nu: 0.0004, Gamma: 0.9",10,2,80,40,37.87878788,0,40,,,
"Nu: 0.0004, Gamma: 0.99",10,2,75,45,41.66666667,0,40,,,
"Nu: 0.005, Gamma: 0.0001",0,12,0,120,90.90909091,0,40,,,
"Nu: 0.005, Gamma: 0.0002",12,0,104,16,21.21212121,0,40,,,
"Nu: 0.005, Gamma: 0.0003",12,0,104,16,21.21212121,0,40,,,
"Nu: 0.005, Gamma: 0.0004",12,0,104,16,21.21212121,0,40,,,
"Nu: 0.005, Gamma: 0.005",12,0,120,0,9.090909091,0,40,,,
"Nu: 0.005, Gamma: 0.05",12,0,120,0,9.090909091,0,40,,,
"Nu: 0.005, Gamma: 0.0625",12,0,120,0,9.090909091,0,40,,,
"Nu: 0.005, Gamma: 0.1",12,0,105,15,20.45454545,0,40,,,
"Nu: 0.005, Gamma: 0.2",11,1,101,19,22.72727273,0,40,,,
"Nu: 0.005, Gamma: 0.5",12,0,108,12,18.18181818,0,40,,,
"Nu: 0.005, Gamma: 0.7",12,0,107,13,18.93939394,0,40,,,
"Nu: 0.005, Gamma: 0.9",12,0,99,21,25,0,40,,,
"Nu: 0.005, Gamma: 0.99",11,1,100,20,23.48484848,0,40,,,
"Nu: 0.05, Gamma: 0.0001",12,0,109,11,17.42424242,0,40,,,
"Nu: 0.05, Gamma: 0.0002",12,0,116,4,12.12121212,0,40,,,
"Nu: 0.05, Gamma: 0.0003",12,0,116,4,12.12121212,0,40,,,
"Nu: 0.05, Gamma: 0.0004",12,0,116,4,12.12121212,0,40,,,
"Nu: 0.05, Gamma: 0.005",12,0,116,4,12.12121212,0,40,,,
"Nu: 0.05, Gamma: 0.05",12,0,116,4,12.12121212,0,40,,,
"Nu: 0.05, Gamma: 0.0625",12,0,116,4,12.12121212,0,40,,,
"Nu: 0.05, Gamma: 0.1",12,0,103,17,21.96969697,0,40,,,
"Nu: 0.05, Gamma: 0.2",12,0,106,14,19.6969697,0,40,,,
"Nu: 0.05, Gamma: 0.5",12,0,103,17,21.96969697,0,40,,,
"Nu: 0.05, Gamma: 0.7",12,0,102,18,22.72727273,0,40,,,
"Nu: 0.05, Gamma: 0.9",12,0,100,20,24.24242424,0,40,,,
"Nu: 0.05, Gamma: 0.99",12,0,97,23,26.51515152,0,40,,,
"Nu: 0.0625, Gamma: 0.0001",11,1,102,18,21.96969697,0,40,,,
"Nu: 0.0625, Gamma: 0.0002",12,0,112,8,15.15151515,0,40,,,
"Nu: 0.0625, Gamma: 0.0003",12,0,112,8,15.15151515,0,40,,,
"Nu: 0.0625, Gamma: 0.0004",12,0,112,8,15.15151515,0,40,,,
"Nu: 0.0625, Gamma: 0.005",12,0,110,10,16.66666667,0,40,,,
"Nu: 0.0625, Gamma: 0.05",12,0,92,28,30.3030303,0,40,,,
"Nu: 0.0625, Gamma: 0.0625",12,0,93,27,29.54545455,0,40,,,
"Nu: 0.0625, Gamma: 0.1",12,0,99,21,25,0,40,,,
"Nu: 0.0625, Gamma: 0.2",12,0,109,11,17.42424242,0,40,,,
"Nu: 0.0625, Gamma: 0.5",12,0,102,18,22.72727273,0,40,,,
"Nu: 0.0625, Gamma: 0.7",12,0,103,17,21.96969697,0,40,,,
"Nu: 0.0625, Gamma: 0.9",12,0,100,20,24.24242424,0,40,,,
"Nu: 0.0625, Gamma: 0.99",12,0,97,23,26.51515152,0,40,,,
"Nu: 0.1, Gamma: 0.0001",11,1,83,37,36.36363636,0,40,,,
"Nu: 0.1, Gamma: 0.0002",11,1,83,37,36.36363636,0,40,,,
"Nu: 0.1, Gamma: 0.0003",11,1,89,31,31.81818182,0,40,,,
"Nu: 0.1, Gamma: 0.0004",11,1,89,31,31.81818182,0,40,,,
"Nu: 0.1, Gamma: 0.005",12,0,90,30,31.81818182,0,40,,,
"Nu: 0.1, Gamma: 0.05",12,0,90,30,31.81818182,0,40,,,
"Nu: 0.1, Gamma: 0.0625",12,0,91,29,31.06060606,0,40,,,
"Nu: 0.1, Gamma: 0.1",12,0,90,30,31.81818182,0,40,,,
"Nu: 0.1, Gamma: 0.2",12,0,90,30,31.81818182,0,40,,,
"Nu: 0.1, Gamma: 0.5",12,0,88,32,33.33333333,0,40,,,
"Nu: 0.1, Gamma: 0.7",12,0,86,34,34.84848485,0,40,,,
"Nu: 0.1, Gamma: 0.9",11,1,84,36,35.60606061,0,40,,,
"Nu: 0.1, Gamma: 0.99",11,1,84,36,35.60606061,0,40,,,
"Nu: 0.2, Gamma: 0.0001",12,0,85,35,35.60606061,0,40,,,
"Nu: 0.2, Gamma: 0.0002",10,2,79,41,38.63636364,0,40,,,
"Nu: 0.2, Gamma: 0.0003",11,1,83,37,36.36363636,0,40,,,
"Nu: 0.2, Gamma: 0.0004",11,1,83,37,36.36363636,0,40,,,
"Nu: 0.2, Gamma: 0.005",11,1,83,37,36.36363636,0,40,,,
"Nu: 0.2, Gamma: 0.05",11,1,83,37,36.36363636,0,40,,,
"Nu: 0.2, Gamma: 0.0625",11,1,83,37,36.36363636,0,40,,,
"Nu: 0.2, Gamma: 0.1",11,1,82,38,37.12121212,0,40,,,
"Nu: 0.2, Gamma: 0.2",11,1,78,42,40.15151515,0,40,,,
"Nu: 0.2, Gamma: 0.5",12,0,78,42,40.90909091,0,40,,,
"Nu: 0.2, Gamma: 0.7",12,0,77,43,41.66666667,0,40,,,
"Nu: 0.2, Gamma: 0.9",11,1,75,45,42.42424242,0,40,,,
"Nu: 0.2, Gamma: 0.99",11,1,71,49,45.45454545,0,40,,,
"Nu: 0.5, Gamma: 0.0001",6,6,58,62,51.51515152,0,40,,,
"Nu: 0.5, Gamma: 0.0002",6,6,58,62,51.51515152,0,40,,,
"Nu: 0.5, Gamma: 0.0003",6,6,58,62,51.51515152,0,40,,,
"Nu: 0.5, Gamma: 0.0004",6,6,58,62,51.51515152,0,40,,,
"Nu: 0.5, Gamma: 0.005",6,6,58,62,51.51515152,0,40,,,
"Nu: 0.5, Gamma: 0.05",6,6,60,60,50,0,40,,,
"Nu: 0.5, Gamma: 0.0625",6,6,59,61,50.75757576,0,40,,,
"Nu: 0.5, Gamma: 0.1",6,6,58,62,51.51515152,0,40,,,
"Nu: 0.5, Gamma: 0.2",6,6,52,68,56.06060606,0,40,,,
"Nu: 0.5, Gamma: 0.5",9,3,52,68,58.33333333,0,40,,,
"Nu: 0.5, Gamma: 0.7",8,4,50,70,59.09090909,0,40,,,
