From router 0 to router 0,From router 0 to router 1,From router 0 to router 2,From router 0 to router 3,From router 0 to router 4,From router 0 to router 5,From router 0 to router 6,From router 0 to router 7,From router 0 to router 8,From router 0 to router 9,From router 0 to router 10,From router 0 to router 11,From router 0 to router 12,From router 0 to router 13,From router 0 to router 14,From router 0 to router 15,From router 1 to router 0,From router 1 to router 1,From router 1 to router 2,From router 1 to router 3,From router 1 to router 4,From router 1 to router 5,From router 1 to router 6,From router 1 to router 7,From router 1 to router 8,From router 1 to router 9,From router 1 to router 10,From router 1 to router 11,From router 1 to router 12,From router 1 to router 13,From router 1 to router 14,From router 1 to router 15,From router 2 to router 0,From router 2 to router 1,From router 2 to router 2,From router 2 to router 3,From router 2 to router 4,From router 2 to router 5,From router 2 to router 6,From router 2 to router 7,From router 2 to router 8,From router 2 to router 9,From router 2 to router 10,From router 2 to router 11,From router 2 to router 12,From router 2 to router 13,From router 2 to router 14,From router 2 to router 15,From router 3 to router 0,From router 3 to router 1,From router 3 to router 2,From router 3 to router 3,From router 3 to router 4,From router 3 to router 5,From router 3 to router 6,From router 3 to router 7,From router 3 to router 8,From router 3 to router 9,From router 3 to router 10,From router 3 to router 11,From router 3 to router 12,From router 3 to router 13,From router 3 to router 14,From router 3 to router 15,From router 4 to router 0,From router 4 to router 1,From router 4 to router 2,From router 4 to router 3,From router 4 to router 4,From router 4 to router 5,From router 4 to router 6,From router 4 to router 7,From router 4 to router 8,From router 4 to router 9,From router 4 to router 10,From router 4 to router 11,From router 4 to router 12,From router 4 to router 13,From router 4 to router 14,From router 4 to router 15,From router 5 to router 0,From router 5 to router 1,From router 5 to router 2,From router 5 to router 3,From router 5 to router 4,From router 5 to router 5,From router 5 to router 6,From router 5 to router 7,From router 5 to router 8,From router 5 to router 9,From router 5 to router 10,From router 5 to router 11,From router 5 to router 12,From router 5 to router 13,From router 5 to router 14,From router 5 to router 15,From router 6 to router 0,From router 6 to router 1,From router 6 to router 2,From router 6 to router 3,From router 6 to router 4,From router 6 to router 5,From router 6 to router 6,From router 6 to router 7,From router 6 to router 8,From router 6 to router 9,From router 6 to router 10,From router 6 to router 11,From router 6 to router 12,From router 6 to router 13,From router 6 to router 14,From router 6 to router 15,From router 7 to router 0,From router 7 to router 1,From router 7 to router 2,From router 7 to router 3,From router 7 to router 4,From router 7 to router 5,From router 7 to router 6,From router 7 to router 7,From router 7 to router 8,From router 7 to router 9,From router 7 to router 10,From router 7 to router 11,From router 7 to router 12,From router 7 to router 13,From router 7 to router 14,From router 7 to router 15,From router 8 to router 0,From router 8 to router 1,From router 8 to router 2,From router 8 to router 3,From router 8 to router 4,From router 8 to router 5,From router 8 to router 6,From router 8 to router 7,From router 8 to router 8,From router 8 to router 9,From router 8 to router 10,From router 8 to router 11,From router 8 to router 12,From router 8 to router 13,From router 8 to router 14,From router 8 to router 15,From router 9 to router 0,From router 9 to router 1,From router 9 to router 2,From router 9 to router 3,From router 9 to router 4,From router 9 to router 5,From router 9 to router 6,From router 9 to router 7,From router 9 to router 8,From router 9 to router 9,From router 9 to router 10,From router 9 to router 11,From router 9 to router 12,From router 9 to router 13,From router 9 to router 14,From router 9 to router 15,From router 10 to router 0,From router 10 to router 1,From router 10 to router 2,From router 10 to router 3,From router 10 to router 4,From router 10 to router 5,From router 10 to router 6,From router 10 to router 7,From router 10 to router 8,From router 10 to router 9,From router 10 to router 10,From router 10 to router 11,From router 10 to router 12,From router 10 to router 13,From router 10 to router 14,From router 10 to router 15,From router 11 to router 0,From router 11 to router 1,From router 11 to router 2,From router 11 to router 3,From router 11 to router 4,From router 11 to router 5,From router 11 to router 6,From router 11 to router 7,From router 11 to router 8,From router 11 to router 9,From router 11 to router 10,From router 11 to router 11,From router 11 to router 12,From router 11 to router 13,From router 11 to router 14,From router 11 to router 15,From router 12 to router 0,From router 12 to router 1,From router 12 to router 2,From router 12 to router 3,From router 12 to router 4,From router 12 to router 5,From router 12 to router 6,From router 12 to router 7,From router 12 to router 8,From router 12 to router 9,From router 12 to router 10,From router 12 to router 11,From router 12 to router 12,From router 12 to router 13,From router 12 to router 14,From router 12 to router 15,From router 13 to router 0,From router 13 to router 1,From router 13 to router 2,From router 13 to router 3,From router 13 to router 4,From router 13 to router 5,From router 13 to router 6,From router 13 to router 7,From router 13 to router 8,From router 13 to router 9,From router 13 to router 10,From router 13 to router 11,From router 13 to router 12,From router 13 to router 13,From router 13 to router 14,From router 13 to router 15,From router 14 to router 0,From router 14 to router 1,From router 14 to router 2,From router 14 to router 3,From router 14 to router 4,From router 14 to router 5,From router 14 to router 6,From router 14 to router 7,From router 14 to router 8,From router 14 to router 9,From router 14 to router 10,From router 14 to router 11,From router 14 to router 12,From router 14 to router 13,From router 14 to router 14,From router 14 to router 15,From router 15 to router 0,From router 15 to router 1,From router 15 to router 2,From router 15 to router 3,From router 15 to router 4,From router 15 to router 5,From router 15 to router 6,From router 15 to router 7,From router 15 to router 8,From router 15 to router 9,From router 15 to router 10,From router 15 to router 11,From router 15 to router 12,From router 15 to router 13,From router 15 to router 14,From router 15 to router 15,Applications (Label Classes)
6326,2104,2006,2042,2084,2060,2599,6201,2100,4141,1963,2007,2043,2029,2026,2050,3142,17,14,16,26,25,572,2048,17,996,23,17,35,22,15,16,3069,7,5,5,19,11,627,2072,7,1059,5,2,16,4,8,7,2981,10,6,5,17,12,674,2020,13,1001,9,8,22,6,8,7,3038,14,10,7,19,39,608,2063,15,993,16,11,25,10,11,12,3033,10,5,10,27,14,601,2033,7,991,8,9,16,7,9,10,2938,14,11,12,28,22,621,2129,15,981,22,16,25,15,11,15,3105,71,71,76,69,70,712,1997,56,2587,55,51,66,57,64,59,3043,45,43,30,43,62,698,2120,41,966,33,38,54,39,39,37,3032,31,25,26,43,41,663,2593,22,984,35,24,39,33,29,30,2866,11,10,10,27,22,542,1799,16,871,12,9,26,7,13,10,2889,26,31,20,31,34,591,1961,26,944,25,16,33,20,32,27,3008,23,27,24,42,40,639,2067,30,930,31,27,34,19,24,27,3232,6,3,6,17,11,626,2099,10,964,10,7,22,5,6,5,3071,8,10,8,18,21,599,1992,13,985,7,7,18,8,12,10,3273,7,5,5,20,12,593,2201,6,1141,8,7,18,5,5,6,x264_Pipeline
68,8,3,7,15,26,5,5,4,2,3,3,4,11,11,8,6,0,2,1,1,2,1,1,1,1,1,1,1,1,1,1,5,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,6,2,2,0,0,1,0,0,0,0,0,0,0,1,0,0,10,2,2,4,0,2,0,0,0,0,0,0,0,2,0,0,19,0,1,1,1,2,1,1,1,0,1,0,0,2,2,0,6,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,10,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,11,0,1,2,3,2,2,1,1,2,2,1,1,1,1,2,8,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,x264_Pipeline
49,5,6,4,8,4,3,3,3,3,4,4,3,7,7,10,6,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,7,0,1,1,1,2,1,1,1,1,2,1,1,1,1,2,6,0,0,0,0,0,2,1,1,1,1,1,1,1,1,2,x264_Pipeline
57,12,3,4,9,3,4,3,31,8,30,30,5,26,8,14,9,0,2,1,1,1,1,1,7,1,5,5,2,1,1,2,4,0,0,0,0,0,0,0,7,0,5,4,1,1,0,1,5,0,0,0,0,0,0,0,5,0,3,3,1,1,0,1,8,0,0,0,0,1,0,0,24,0,20,20,1,2,1,2,5,0,0,0,0,0,0,0,5,0,3,3,1,1,0,2,6,0,0,0,1,0,0,0,7,0,4,5,1,1,0,1,6,0,0,0,0,0,0,0,5,0,3,3,1,1,0,2,5,0,0,0,0,0,1,0,2,2,11,7,2,3,5,3,7,0,0,0,0,0,0,0,6,0,6,3,2,1,0,3,6,1,1,0,0,0,0,0,7,1,2,12,4,3,3,4,5,1,0,0,0,0,0,0,5,0,3,0,3,2,2,3,6,0,0,0,0,0,0,0,9,2,21,21,2,2,1,2,17,0,1,1,2,1,0,1,6,1,4,3,2,2,1,1,7,0,1,1,1,1,2,1,41,1,37,38,2,2,1,2,10,2,1,2,1,2,0,1,8,2,20,21,2,1,1,2,x264_Pipeline
48,5,4,5,11,3,3,4,9,3,9,9,3,4,12,10,6,0,2,1,2,1,1,1,1,1,1,1,1,2,2,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,2,1,2,1,2,2,1,1,3,1,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,2,2,2,3,2,2,2,0,0,0,0,0,0,0,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,7,2,2,2,3,2,2,2,2,2,0,0,0,0,0,0,7,2,2,2,3,2,2,2,2,2,3,0,0,0,0,0,6,1,1,1,2,1,1,1,2,1,0,1,0,0,0,0,5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,11,1,1,1,4,1,1,1,2,1,2,2,1,1,1,2,7,1,1,1,3,1,1,1,1,1,1,0,0,1,1,0,x264_Pipeline
45,5,4,6,6,4,3,3,3,3,4,4,4,6,32,10,7,0,2,1,1,1,1,1,1,1,1,1,2,1,6,2,4,0,0,0,1,0,0,0,0,0,0,0,1,0,7,2,5,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,7,1,1,1,1,1,0,0,0,1,0,0,1,0,22,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,4,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,5,0,0,1,0,0,0,0,0,0,0,0,1,0,5,1,4,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2,6,0,0,0,0,0,0,0,0,0,0,0,1,1,9,1,5,0,0,0,0,0,0,0,0,0,0,0,1,0,7,2,6,1,0,0,0,0,0,0,0,0,0,0,1,0,5,2,6,0,1,1,1,1,1,1,1,2,1,1,1,1,35,3,8,0,0,0,0,0,0,0,0,0,1,0,1,1,8,2,x264_Pipeline
54,6,4,4,9,3,4,36,3,6,3,5,33,7,16,12,6,0,2,1,1,1,1,6,1,1,1,1,5,1,1,2,5,0,0,0,0,0,0,7,0,0,0,0,6,0,1,1,5,0,0,0,0,0,0,5,0,0,0,0,4,0,0,1,6,0,1,0,0,0,0,22,0,0,0,0,22,0,1,1,5,0,0,0,0,0,0,5,0,0,0,0,4,0,0,1,6,0,0,0,0,0,0,7,0,0,0,0,6,0,0,1,5,0,0,0,1,0,0,0,3,2,2,2,8,2,2,3,6,0,0,0,0,0,0,5,0,0,0,0,7,0,0,1,6,0,0,0,0,0,0,3,0,0,0,0,7,0,0,1,5,0,0,0,0,0,0,4,0,0,0,0,8,0,0,1,5,0,0,0,0,0,0,3,0,0,0,0,6,0,0,1,7,1,1,1,2,1,1,15,1,1,1,1,16,4,3,4,6,0,0,0,0,0,0,3,0,0,0,1,4,0,1,0,10,2,3,4,3,3,3,43,3,3,4,3,41,4,3,3,8,1,2,1,1,1,1,15,1,1,1,1,18,1,2,4,x264_Pipeline
52,5,3,5,7,3,3,10,4,3,3,4,9,26,11,7,6,0,2,1,1,1,1,1,1,1,1,1,1,1,2,2,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,2,0,0,0,0,1,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,8,2,2,2,2,2,2,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,3,3,3,3,3,3,3,3,3,3,3,1,1,1,0,17,0,1,1,1,1,0,1,1,1,1,0,1,2,2,0,9,0,3,2,2,2,2,3,2,2,2,2,3,3,3,2,7,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,x264_Pipeline
49,5,6,4,8,4,3,5,3,3,4,4,3,4,5,11,6,0,1,1,1,1,1,1,1,1,1,1,1,2,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,7,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,7,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,x264_Pipeline
57,6,3,4,9,3,4,3,3,4,3,5,4,6,5,9,6,0,2,1,1,1,1,1,1,1,1,1,1,1,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,1,1,1,2,1,1,1,1,1,1,1,1,1,1,7,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,x264_Pipeline
