Features: 16,,,,,,,,,,
Target Class: x264,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,,94.6719826,303
"Nu: 0.0001, Gamma: 0.0001",0,502,0,5016,90.90250091,0,40,,,
"Nu: 0.0001, Gamma: 0.0002",0,502,0,5016,90.90250091,0,40,,,
"Nu: 0.0001, Gamma: 0.0003",273,229,2675,2341,47.37223632,0,40,,,
"Nu: 0.0001, Gamma: 0.0004",270,232,2661,2355,47.57158391,0,40,,,
"Nu: 0.0001, Gamma: 0.005",502,0,5014,2,9.13374411,0,40,,,
"Nu: 0.0001, Gamma: 0.05",502,0,5013,3,9.151866618,0,40,,,
"Nu: 0.0001, Gamma: 0.0625",502,0,5013,3,9.151866618,0,40,,,
"Nu: 0.0001, Gamma: 0.1",502,0,5014,2,9.13374411,0,40,,,
"Nu: 0.0001, Gamma: 0.2",500,2,5005,11,9.260601667,0,40,,,
"Nu: 0.0001, Gamma: 0.5",377,125,3736,1280,30.02899601,0,40,,,
"Nu: 0.0001, Gamma: 0.7",499,3,5000,16,9.3330917,0,40,,,
"Nu: 0.0001, Gamma: 0.9",498,4,5000,16,9.314969192,0,40,,,
"Nu: 0.0001, Gamma: 0.99",348,154,3027,1989,42.35230156,0,40,,,
"Nu: 0.0002, Gamma: 0.0001",0,502,0,5016,90.90250091,0,40,,,
"Nu: 0.0002, Gamma: 0.0002",270,232,2666,2350,47.48097137,0,40,,,
"Nu: 0.0002, Gamma: 0.0003",273,229,2675,2341,47.37223632,0,40,,,
"Nu: 0.0002, Gamma: 0.0004",270,232,2661,2355,47.57158391,0,40,,,
"Nu: 0.0002, Gamma: 0.005",502,0,5014,2,9.13374411,0,40,,,
"Nu: 0.0002, Gamma: 0.05",502,0,5013,3,9.151866618,0,40,,,
"Nu: 0.0002, Gamma: 0.0625",502,0,5013,3,9.151866618,0,40,,,
"Nu: 0.0002, Gamma: 0.1",367,135,4046,970,24.2297934,0,40,,,
"Nu: 0.0002, Gamma: 0.2",458,44,4770,246,12.75824574,0,40,,,
"Nu: 0.0002, Gamma: 0.5",330,172,3304,1712,37.00616165,0,40,,,
"Nu: 0.0002, Gamma: 0.7",498,4,5000,16,9.314969192,0,40,,,
"Nu: 0.0002, Gamma: 0.9",337,165,3030,1986,42.09858644,0,40,,,
"Nu: 0.0002, Gamma: 0.99",153,349,1377,3639,68.72055092,0,40,,,
"Nu: 0.0003, Gamma: 0.0001",312,190,3022,1994,41.79050381,0,40,,,
"Nu: 0.0003, Gamma: 0.0002",316,186,3062,1954,41.13809351,0,40,,,
"Nu: 0.0003, Gamma: 0.0003",318,184,3070,1946,41.02935846,0,40,,,
"Nu: 0.0003, Gamma: 0.0004",314,188,3040,1976,41.50054368,0,40,,,
"Nu: 0.0003, Gamma: 0.005",502,0,5014,2,9.13374411,0,40,,,
"Nu: 0.0003, Gamma: 0.05",342,160,3818,1198,27.90866256,0,40,,,
