Features: 16,,,,,,,,
Target Class: blackscholes,TP,FP,FN,TN,ACC (%),Noise Percantages,Upsampling,
"Nu: 5e-05, Gamma: 1e-05",960,36,0,0,96.3855421686747,0,40,
"Nu: 5e-05, Gamma: 2e-05",960,36,0,0,96.3855421686747,0,40,
"Nu: 5e-05, Gamma: 3e-05",960,36,0,0,96.3855421686747,0,40,
"Nu: 5e-05, Gamma: 4e-05",960,36,0,0,96.3855421686747,0,40,
"Nu: 5e-05, Gamma: 5e-05",960,36,0,0,96.3855421686747,0,40,
"Nu: 5e-05, Gamma: 6e-05",960,36,0,0,96.3855421686747,0,40,
"Nu: 5e-05, Gamma: 7e-05",960,36,0,0,96.3855421686747,0,40,
"Nu: 5e-05, Gamma: 8e-05",960,36,0,0,96.3855421686747,0,40,
"Nu: 5e-05, Gamma: 9e-05",960,36,0,0,96.3855421686747,0,40,
"Nu: 5e-05, Gamma: 0.0001",960,36,0,0,96.3855421686747,0,40,
"Nu: 5e-05, Gamma: 0.0002",960,36,0,0,96.3855421686747,0,40,
"Nu: 5e-05, Gamma: 0.0003",960,36,0,0,96.3855421686747,0,40,
"Nu: 5e-05, Gamma: 0.0004",960,36,0,0,96.3855421686747,0,40,
"Nu: 5e-05, Gamma: 0.005",960,36,0,0,96.3855421686747,0,40,
"Nu: 5e-05, Gamma: 0.05",960,36,0,0,96.3855421686747,0,40,
"Nu: 5e-05, Gamma: 0.0625",960,36,0,0,96.3855421686747,0,40,
"Nu: 5e-05, Gamma: 0.1",960,36,0,0,96.3855421686747,0,40,
"Nu: 5e-05, Gamma: 0.2",960,36,0,0,96.3855421686747,0,40,
"Nu: 5e-05, Gamma: 0.5",960,36,0,0,96.3855421686747,0,40,
"Nu: 5e-05, Gamma: 0.7",960,36,0,0,96.3855421686747,0,40,
"Nu: 5e-05, Gamma: 0.9",960,36,0,0,96.3855421686747,0,40,
"Nu: 5e-05, Gamma: 0.99",960,36,0,0,96.3855421686747,0,40,
"Nu: 6e-05, Gamma: 1e-05",960,35,0,1,96.4859437751004,0,40,
"Nu: 6e-05, Gamma: 2e-05",960,36,0,0,96.3855421686747,0,40,
"Nu: 6e-05, Gamma: 3e-05",954,31,6,5,96.285140562249,0,40,
"Nu: 6e-05, Gamma: 4e-05",960,35,0,1,96.4859437751004,0,40,
"Nu: 6e-05, Gamma: 5e-05",960,35,0,1,96.4859437751004,0,40,
"Nu: 6e-05, Gamma: 6e-05",960,36,0,0,96.3855421686747,0,40,
"Nu: 6e-05, Gamma: 7e-05",960,36,0,0,96.3855421686747,0,40,
